SocOrigin	GeneClass	RealDataFreqUnderSel	BootStrapMean	LowerCI	UpperCI	PropRealDataResult	NullHypothesis
AllComplex	Canon	2	1.4609	0	4	0.25302	Accept
AllOrigin	Canon	0	0.57641	0	2	0.55725	Accept
AllOriginEpi	Canon	1	0.33541	0	2	0.2467	Accept
Apis	Canon	3	3.06202	0	7	0.22573	Accept
CorbSoc	Canon	0	0.37237	0	2	0.6859	Accept
CorbSocEpi	Canon	0	0.12377	0	1	0.88202	Accept
Halictid	Canon	12	11.85063	6	19	0.11811	Accept
Meli	Canon	27	22.2129	14	31	0.04798	Accept
Xylo	Canon	3	1.76491	0	5	0.15818	Accept
AllComplex	NonCanon	4	6.96301	3	12	0.08703	Accept
AllOrigin	NonCanon	1	2.76935	0	6	0.16302	Accept
AllOriginEpi	NonCanon	2	1.60068	0	4	0.28349	Accept
Apis	NonCanon	16	14.5631	8	22	0.10031	Accept
CorbSoc	NonCanon	1	1.76006	0	4	0.30723	Accept
CorbSocEpi	NonCanon	2	0.57668	0	2	0.09153	Accept
Halictid	NonCanon	55	56.48059	44	70	0.05932	Accept
Meli	NonCanon	103	105.8826	89	124	0.04188	Accept
Xylo	NonCanon	9	8.39574	4	14	0.1404	Accept
