TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0007464	R3/R4_cell_fate_commitment	0.106	7.902	0.084	1.114	-2.278	0.908	0.000	-1	False
GO:0042051	compound_eye_photoreceptor_development	0.670	null	null	1.886	-2.168	0.887	0.700	7464	True
GO:0045470	R8_cell-mediated_photoreceptor_organization	0.018	null	null	0.477	-1.558	0.909	0.725	7464	True
GO:0045463	R8_cell_development	0.035	null	null	0.699	-1.435	0.906	0.763	7464	True
GO:0045467	R7_cell_development	0.123	null	null	1.176	-1.883	0.898	0.845	7464	True
GO:0046580	negative_regulation_of_Ras_protein_signal_transduction	0.053	-3.782	-3.577	0.845	-3.051	0.815	0.000	-1	False
GO:2000051	negative_regulation_of_non-canonical_Wnt_signaling_pathway	0.361	null	null	1.623	-2.032	0.788	0.515	46580	True
GO:0035695	mitophagy_by_induced_vacuole_formation	0.009	1.935	6.688	0.301	-2.032	0.940	0.012	-1	False
GO:0044351	macropinocytosis	0.009	-3.970	5.646	0.301	-2.032	0.972	0.012	-1	False
GO:0016444	somatic_cell_DNA_recombination	0.009	3.792	2.537	0.301	-2.032	0.899	0.060	-1	False
GO:0000724	double-strand_break_repair_via_homologous_recombination	0.538	null	null	1.792	-1.360	0.785	0.644	16444	True
GO:0045002	double-strand_break_repair_via_single-strand_annealing	0.026	null	null	0.602	-1.340	0.828	0.709	16444	True
GO:0000725	recombinational_repair	0.538	null	null	1.792	-1.360	0.788	0.897	16444	True
GO:1902803	regulation_of_synaptic_vesicle_transport	0.009	-2.266	0.264	0.301	-1.340	0.850	0.079	-1	False
GO:0019218	regulation_of_steroid_metabolic_process	0.070	-4.380	-5.471	0.954	-1.340	0.745	0.082	-1	False
GO:0045998	positive_regulation_of_ecdysteroid_biosynthetic_process	0.053	null	null	0.845	-1.435	0.616	0.733	19218	True
GO:0010566	regulation_of_ketone_biosynthetic_process	0.062	null	null	0.903	-1.435	0.765	0.886	19218	True
GO:0032352	positive_regulation_of_hormone_metabolic_process	0.053	null	null	0.845	-1.435	0.709	0.887	19218	True
GO:0046885	regulation_of_hormone_biosynthetic_process	0.097	null	null	1.079	-1.340	0.684	0.924	19218	True
GO:0045940	positive_regulation_of_steroid_metabolic_process	0.053	null	null	0.845	-1.435	0.703	0.961	19218	True
GO:0050810	regulation_of_steroid_biosynthetic_process	0.053	null	null	0.845	-1.435	0.696	0.961	19218	True
GO:0007553	regulation_of_ecdysteroid_metabolic_process	0.062	null	null	0.903	-1.340	0.634	0.971	19218	True
GO:0007554	regulation_of_ecdysteroid_biosynthetic_process	0.053	null	null	0.845	-1.435	0.622	0.999	19218	True
GO:0010893	positive_regulation_of_steroid_biosynthetic_process	0.053	null	null	0.845	-1.435	0.683	0.999	19218	True
GO:0045966	positive_regulation_of_ecdysteroid_metabolic_process	0.053	null	null	0.845	-1.435	0.628	0.999	19218	True
