TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0008340	determination of adult lifespan	1.463	6.644	-2.771	2.225	-2.987	0.925	0.000	-1	False
GO:0010506	regulation of autophagy	0.990	-1.175	4.572	2.057	-5.229	0.810	0.000	-1	False
GO:0010897	negative regulation of triglyceride catabolic process	0.035	null	null	0.699	-2.166	0.820	0.583	10506	True
GO:0010508	positive regulation of autophagy	0.438	null	null	1.708	-3.081	0.742	0.730	10506	True
GO:0012501	programmed cell death	1.638	-2.638	-6.777	2.274	-3.174	0.924	0.000	-1	False
GO:0006309	apoptotic DNA fragmentation	0.158	null	null	1.279	-2.070	0.853	0.750	12501	True
GO:0006915	apoptotic process	1.086	null	null	2.097	-2.364	0.925	0.918	12501	True
GO:0019748	secondary metabolic process	0.745	0.371	-7.362	1.934	-2.279	0.987	0.000	-1	False
GO:0033227	dsRNA transport	0.219	3.286	-5.990	1.415	-3.119	0.985	0.000	-1	False
GO:0045793	positive regulation of cell size	0.359	-3.948	-1.542	1.623	-2.959	0.812	0.100	-1	False
GO:0042440	pigment metabolic process	1.034	-5.035	-5.287	2.076	-1.990	0.987	0.108	-1	False
GO:0038202	TORC1 signaling	0.070	4.399	4.388	0.954	-2.730	0.815	0.116	-1	False
GO:0043085	positive regulation of catalytic activity	2.050	1.542	7.832	2.371	-2.376	0.848	0.121	-1	False
GO:0044093	positive regulation of molecular function	2.462	null	null	2.450	-2.231	0.851	0.681	43085	True
GO:0031346	positive regulation of cell projection organization	0.587	-3.889	5.246	1.833	-4.137	0.720	0.141	-1	False
GO:0032233	positive regulation of actin filament bundle assembly	0.070	null	null	0.954	-1.924	0.765	0.565	31346	True
GO:0010976	positive regulation of neuron projection development	0.123	null	null	1.176	-2.876	0.743	0.729	31346	True
GO:0048680	positive regulation of axon regeneration	0.070	null	null	0.954	-1.924	0.661	0.731	31346	True
GO:0070572	positive regulation of neuron projection regeneration	0.070	null	null	0.954	-1.924	0.664	0.968	31346	True
GO:0080135	regulation of cellular response to stress	1.086	-0.133	6.565	2.097	-3.469	0.736	0.151	-1	False
GO:1902533	positive regulation of intracellular signal transduction	1.647	null	null	2.276	-3.081	0.663	0.525	80135	True
GO:0046330	positive regulation of JNK cascade	0.280	null	null	1.519	-3.268	0.659	0.679	80135	True
