TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0098794	postsynapse	0.779	0.551	-6.639	1.964	-2.143	0.897	0.000	-1	False
GO:0099572	postsynaptic_specialization	0.265	null	null	1.505	-1.839	0.832	0.590	98794	True
GO:0097482	muscle_cell_postsynaptic_specialization	0.111	null	null	1.146	-1.418	0.840	0.757	98794	True
GO:0032809	neuronal_cell_body_membrane	0.034	3.430	6.964	0.699	-1.451	0.866	0.003	-1	False
GO:0044298	cell_body_membrane	0.043	null	null	0.778	-1.451	0.936	0.521	32809	True
GO:0044613	nuclear_pore_central_transport_channel	0.068	-4.987	0.625	0.954	-1.936	0.783	0.003	-1	False
GO:0030427	site_of_polarized_growth	0.274	5.995	-3.536	1.519	-2.097	0.994	0.004	-1	False
GO:0043005	neuron_projection	4.288	3.193	-5.303	2.701	-1.910	0.758	0.005	-1	False
GO:0030424	axon	2.353	null	null	2.441	-1.947	0.751	0.748	43005	True
GO:0030425	dendrite	1.806	null	null	2.326	-1.821	0.717	0.777	43005	True
GO:0120025	plasma_membrane_bounded_cell_projection	6.367	null	null	2.872	-1.680	0.750	0.869	43005	True
GO:0097447	dendritic_tree	1.806	null	null	2.326	-1.821	0.717	0.897	43005	True
GO:0042995	cell_projection	6.453	0.549	7.867	2.878	-1.668	0.991	0.006	-1	False
GO:0031616	spindle_pole_centrosome	0.060	6.049	2.839	0.903	-1.936	0.900	0.052	-1	False
GO:0045335	phagocytic_vesicle	0.068	-4.327	6.317	0.954	-1.451	0.859	0.062	-1	False
GO:0005634	nucleus	25.374	1.148	2.506	3.472	-2.155	0.865	0.115	-1	False
GO:0071141	SMAD_protein_complex	0.026	-4.133	-5.505	0.602	-1.451	0.941	0.142	-1	False
GO:0001674	female_germ_cell_nucleus	0.086	-1.677	-2.578	1.041	-1.418	0.903	0.143	-1	False
GO:0005700	polytene_chromosome	1.694	5.416	1.532	2.299	-1.548	0.863	0.264	-1	False
GO:0035059	RCAF_complex	0.026	-5.387	-2.689	0.602	-1.451	0.858	0.313	-1	False
GO:0071204	histone_pre-mRNA_3'end_processing_complex	0.026	-5.729	-1.923	0.602	-1.451	0.856	0.313	-1	False
GO:0005683	U7_snRNP	0.009	-6.488	-1.535	0.301	-1.451	0.864	0.325	-1	False
GO:0044322	endoplasmic_reticulum_quality_control_compartment	2.654	-2.670	3.528	2.493	-1.451	0.761	0.349	-1	False
GO:0036513	Derlin-1_retrotranslocation_complex	0.147	null	null	1.255	-1.451	0.735	0.541	44322	True
GO:0000836	Hrd1p_ubiquitin_ligase_complex	0.043	null	null	0.778	-1.451	0.737	0.707	44322	True
GO:0000835	ER_ubiquitin_ligase_complex	0.043	null	null	0.778	-1.451	0.737	0.939	44322	True
GO:0005722	beta-heterochromatin	0.009	6.178	0.649	0.301	-1.451	0.904	0.364	-1	False
GO:0031045	dense_core_granule	0.043	-4.765	4.610	0.778	-1.451	0.806	0.409	-1	False
GO:0031901	early_endosome_membrane	0.094	-4.112	4.787	1.079	-1.451	0.770	0.432	-1	False
GO:0010009	cytoplasmic_side_of_endosome_membrane	0.129	null	null	1.204	-1.451	0.765	0.690	31901	True
GO:0097467	type_III_terminal_bouton	0.009	1.897	-5.986	0.301	-1.451	0.759	0.448	-1	False
GO:0030426	growth_cone	0.257	null	null	1.491	-1.386	0.783	0.613	97467	True
GO:0005694	chromosome	7.180	4.621	2.161	2.924	-1.311	0.855	0.453	-1	False
