TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0000003	reproduction	12.397	6.616	3.303	3.151	-2.682	1.000	0.000	-1	False
GO:0007594	puparial adhesion	0.070	2.529	5.640	0.954	-2.721	0.993	0.000	-1	False
GO:0021700	developmental maturation	1.595	-0.116	5.627	2.262	-2.384	0.988	0.000	-1	False
GO:0043085	positive regulation of catalytic activity	2.050	-2.168	-0.975	2.371	-4.721	0.732	0.000	-1	False
GO:0043405	regulation of MAP kinase activity	0.245	null	null	1.462	-2.955	0.696	0.550	43085	True
GO:0000186	activation of MAPKK activity	0.079	null	null	1.000	-1.945	0.661	0.671	43085	True
GO:0044093	positive regulation of molecular function	2.462	null	null	2.450	-4.469	0.753	0.681	43085	True
GO:0050790	regulation of catalytic activity	5.590	null	null	2.806	-3.886	0.731	0.785	43085	True
GO:0051345	positive regulation of hydrolase activity	1.008	null	null	2.064	-1.616	0.746	0.852	43085	True
GO:0071475	cellular hyperosmotic salinity response	0.009	6.401	-2.266	0.301	-2.721	0.894	0.000	-1	False
GO:0019646	aerobic electron transport chain	0.464	3.716	3.882	1.732	-1.945	0.965	0.017	-1	False
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	0.131	null	null	1.204	-1.945	0.966	0.846	19646	True
GO:0007564	regulation of chitin-based cuticle tanning	0.009	5.186	4.709	0.301	-1.725	0.879	0.078	-1	False
GO:0048082	regulation of adult chitin-containing cuticle pigmentation	0.105	0.333	1.434	1.114	-1.770	0.841	0.096	-1	False
GO:0048079	regulation of cuticle pigmentation	0.131	null	null	1.204	-1.646	0.839	0.906	48082	True
GO:0008361	regulation of cell size	0.929	-5.291	0.348	2.029	-2.056	0.822	0.120	-1	False
GO:0032270	positive regulation of cellular protein metabolic process	2.471	-0.777	-6.404	2.452	-4.638	0.633	0.135	-1	False
GO:0051247	positive regulation of protein metabolic process	2.628	null	null	2.479	-4.553	0.658	0.694	32270	True
GO:0051173	positive regulation of nitrogen compound metabolic process	7.456	null	null	2.930	-3.886	0.634	0.710	32270	True
GO:0045860	positive regulation of protein kinase activity	0.605	null	null	1.845	-3.770	0.606	0.804	32270	True
GO:0043406	positive regulation of MAP kinase activity	0.158	null	null	1.279	-3.260	0.539	0.831	32270	True
GO:0007257	activation of JUN kinase activity	0.044	null	null	0.778	-2.121	0.503	0.845	32270	True
GO:0031325	positive regulation of cellular metabolic process	8.165	null	null	2.970	-3.770	0.620	0.868	32270	True
GO:0008285	negative regulation of cell population proliferation	0.631	-3.880	-4.338	1.863	-2.161	0.800	0.157	-1	False
GO:0042981	regulation of apoptotic process	1.559	1.003	-7.039	2.253	-3.721	0.800	0.175	-1	False
GO:0045849	negative regulation of nurse cell apoptotic process	0.018	null	null	0.477	-2.421	0.830	0.614	42981	True
GO:0051726	regulation of cell cycle	2.786	-0.696	-4.170	2.504	-2.015	0.800	0.189	-1	False
GO:0043652	engulfment of apoptotic cell	0.105	-3.862	3.570	1.114	-2.024	0.947	0.192	-1	False
GO:0002812	biosynthetic process of antibacterial peptides active against Gram-negative bacteria	0.009	6.185	-5.376	0.301	-1.821	0.906	0.221	-1	False
GO:0035002	liquid clearance, open tracheal system	0.210	-1.462	4.984	1.398	-1.821	0.942	0.232	-1	False
GO:0042045	epithelial fluid transport	0.254	null	null	1.477	-1.684	0.955	0.976	35002	True
GO:0016050	vesicle organization	0.911	-5.193	2.338	2.021	-1.797	0.966	0.236	-1	False
GO:0007286	spermatid development	1.016	0.674	5.404	2.068	-2.161	0.973	0.240	-1	False
GO:0070633	transepithelial transport	0.263	-2.883	4.747	1.491	-1.684	0.975	0.249	-1	False
GO:0033363	secretory granule organization	0.079	-5.803	2.138	1.000	-1.821	0.960	0.264	-1	False
GO:0035493	SNARE complex assembly	0.018	null	null	0.477	-1.770	0.938	0.589	33363	True
GO:0051898	negative regulation of protein kinase B signaling	0.053	-4.537	-6.142	0.845	-2.121	0.710	0.297	-1	False
GO:0010506	regulation of autophagy	0.990	0.121	-7.848	2.057	-2.024	0.765	0.322	-1	False
GO:0016242	negative regulation of macroautophagy	0.088	null	null	1.041	-1.821	0.783	0.629	10506	True
GO:0038066	p38MAPK cascade	0.026	5.579	-3.348	0.602	-2.245	0.779	0.327	-1	False
GO:0042632	cholesterol homeostasis	0.114	-6.859	-0.526	1.146	-1.879	0.859	0.330	-1	False
GO:0055092	sterol homeostasis	0.123	null	null	1.176	-1.821	0.859	0.729	42632	True
GO:0031667	response to nutrient levels	1.481	6.434	-4.505	2.230	-1.680	0.889	0.340	-1	False
GO:0009991	response to extracellular stimulus	1.498	null	null	2.236	-1.667	0.898	0.548	31667	True
GO:0007584	response to nutrient	0.140	null	null	1.230	-1.646	0.893	0.768	31667	True
GO:0007166	cell surface receptor signaling pathway	3.627	2.865	-3.981	2.618	-1.924	0.703	0.343	-1	False
GO:0007165	signal transduction	10.846	null	null	3.093	-4.201	0.670	0.649	7166	True
GO:1902350	cellular response to chloroquine	0.018	6.303	-0.903	0.477	-2.421	0.906	0.352	-1	False
GO:0045807	positive regulation of endocytosis	0.350	-2.818	-5.890	1.613	-3.056	0.702	0.352	-1	False
GO:0042307	positive regulation of protein import into nucleus	0.026	null	null	0.602	-2.121	0.772	0.613	45807	True
GO:0048260	positive regulation of receptor-mediated endocytosis	0.175	null	null	1.322	-1.770	0.717	0.864	45807	True
GO:0048259	regulation of receptor-mediated endocytosis	0.219	null	null	1.415	-1.646	0.784	0.881	45807	True
GO:0031452	negative regulation of heterochromatin assembly	0.018	-5.699	-4.362	0.477	-2.721	0.827	0.353	-1	False
GO:0071276	cellular response to cadmium ion	0.053	5.967	-1.334	0.845	-2.024	0.899	0.391	-1	False
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	0.044	5.034	-3.258	0.778	-1.945	0.780	0.403	-1	False
GO:0071243	cellular response to arsenic-containing substance	0.053	6.538	-1.522	0.845	-2.024	0.899	0.419	-1	False
GO:0030308	negative regulation of cell growth	0.210	-4.512	-5.017	1.398	-1.770	0.794	0.427	-1	False
GO:0007219	Notch signaling pathway	0.403	3.774	-3.913	1.672	-1.680	0.757	0.449	-1	False
GO:0048584	positive regulation of response to stimulus	4.433	-1.613	-6.155	2.705	-3.854	0.603	0.458	-1	False
GO:0046330	positive regulation of JNK cascade	0.280	null	null	1.519	-3.174	0.608	0.504	48584	True
GO:0008593	regulation of Notch signaling pathway	0.578	null	null	1.826	-1.829	0.701	0.548	48584	True
GO:1904515	positive regulation of TORC2 signaling	0.018	null	null	0.477	-2.421	0.695	0.556	48584	True
GO:0009893	positive regulation of metabolic process	8.814	null	null	3.003	-3.602	0.662	0.563	48584	True
GO:0080134	regulation of response to stress	2.663	null	null	2.484	-2.504	0.674	0.672	48584	True
GO:1904262	negative regulation of TORC1 signaling	0.096	null	null	1.079	-1.684	0.692	0.688	48584	True
GO:0009967	positive regulation of signal transduction	3.557	null	null	2.610	-3.097	0.573	0.702	48584	True
