TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0006265	DNA_topological_change	0.062	-5.706	-0.250	0.903	-3.420	0.783	0.000	-1	False
GO:0006302	double-strand_break_repair	0.811	null	null	1.968	-2.327	0.729	0.576	6265	True
GO:0000712	resolution_of_meiotic_recombination_intermediates	0.079	null	null	1.000	-1.309	0.771	0.588	6265	True
GO:0042276	error-prone_translesion_synthesis	0.035	null	null	0.699	-1.903	0.745	0.618	6265	True
GO:0006346	DNA_methylation-dependent_heterochromatin_assembly	0.465	null	null	1.724	-1.432	0.788	0.657	6265	True
GO:0006303	double-strand_break_repair_via_nonhomologous_end_joining	0.079	null	null	1.000	-1.509	0.768	0.660	6265	True
GO:0071897	DNA_biosynthetic_process	0.405	null	null	1.672	-1.497	0.743	0.681	6265	True
GO:0006310	DNA_recombination	0.881	null	null	2.004	-2.241	0.768	0.737	6265	True
GO:0000724	double-strand_break_repair_via_homologous_recombination	0.538	null	null	1.792	-1.678	0.730	0.786	6265	True
GO:0019985	translesion_synthesis	0.070	null	null	0.954	-1.432	0.734	0.880	6265	True
GO:0000725	recombinational_repair	0.538	null	null	1.792	-1.678	0.732	0.897	6265	True
GO:0009266	response_to_temperature_stimulus	1.190	1.062	-8.035	2.134	-1.820	0.926	0.000	-1	False
GO:0046956	positive_phototaxis	0.035	null	null	0.699	-1.605	0.924	0.516	9266	True
GO:0055093	response_to_hyperoxia	0.079	null	null	1.000	-1.366	0.919	0.552	9266	True
GO:0036296	response_to_increased_oxygen_levels	0.088	null	null	1.041	-1.309	0.934	0.706	9266	True
GO:0052128	positive_energy_taxis	0.035	null	null	0.699	-1.605	0.940	0.790	9266	True
GO:0045475	locomotor_rhythm	0.538	2.487	-5.279	1.792	-2.373	0.949	0.000	-1	False
GO:0048149	behavioral_response_to_ethanol	0.485	null	null	1.748	-1.612	0.812	0.553	45475	True
GO:0030534	adult_behavior	1.375	null	null	2.196	-1.417	0.875	0.614	45475	True
GO:0007619	courtship_behavior	0.652	null	null	1.875	-1.323	0.874	0.627	45475	True
GO:0007630	jump_response	0.053	null	null	0.845	-1.509	0.897	0.657	45475	True
GO:0045471	response_to_ethanol	0.608	null	null	1.845	-1.352	0.924	0.870	45475	True
GO:0048589	developmental_growth	1.551	7.031	-0.252	2.248	-2.169	0.889	0.000	-1	False
GO:0042246	tissue_regeneration	0.203	null	null	1.380	-1.432	0.868	0.791	48589	True
GO:2000672	negative_regulation_of_motor_neuron_apoptotic_process	0.009	5.212	3.704	0.301	-2.203	0.953	0.000	-1	False
GO:0010248	establishment_or_maintenance_of_transmembrane_electrochemical_gradient	0.079	-4.234	5.343	1.000	-2.203	0.972	0.014	-1	False
GO:0042732	D-xylose_metabolic_process	0.026	-5.705	-5.935	0.602	-2.203	0.879	0.080	-1	False
GO:0044262	cellular_carbohydrate_metabolic_process	0.899	null	null	2.013	-2.201	0.867	0.572	42732	True
GO:0044264	cellular_polysaccharide_metabolic_process	0.282	null	null	1.519	-1.917	0.843	0.700	42732	True
GO:0005976	polysaccharide_metabolic_process	0.300	null	null	1.544	-1.917	0.863	0.704	42732	True
GO:0016051	carbohydrate_biosynthetic_process	0.502	null	null	1.763	-2.052	0.829	0.740	42732	True
GO:0030710	regulation_of_border_follicle_cell_delamination	0.083	5.652	-6.114	1.000	-2.203	0.965	0.082	-1	False
