TermID	 Name	 Frequency	 PlotX	 PlotY	 LogSize	 Value	 Uniqueness	 Dispensability	 Representative	 Eliminated
GO:0009855	 determination of bilateral symmetry	 0.158	 2.000	 -5.553	 1.279	 -4.854	 0.818	 0.000	 -1	 False
GO:0071907	 determination of digestive tract left/right asymmetry	 0.053	 null	 null	 0.845	 -3.602	 0.818	 0.920	 9855	 True
GO:0016049	 cell growth	 0.640	 -4.222	 -6.090	 1.869	 -6.538	 0.918	 0.000	 -1	 False
GO:0048682	 sprouting of injured axon	 0.035	 null	 null	 0.699	 -3.456	 0.643	 0.632	 16049	 True
GO:0007394	 dorsal closure, elongation of leading edge cells	 0.079	 null	 null	 1.000	 -3.337	 0.610	 0.675	 16049	 True
GO:0031102	 neuron projection regeneration	 0.061	 null	 null	 0.903	 -2.900	 0.689	 0.772	 16049	 True
GO:0031103	 axon regeneration	 0.044	 null	 null	 0.778	 -2.900	 0.688	 0.942	 16049	 True
GO:0045475	 locomotor rhythm	 0.534	 -1.939	 -6.572	 1.792	 -2.889	 1.000	 0.000	 -1	 False
GO:0045666	 positive regulation of neuron differentiation	 0.166	 -1.647	 6.924	 1.301	 -5.553	 0.727	 0.000	 -1	 False
GO:0045597	 positive regulation of cell differentiation	 0.990	 null	 null	 2.057	 -4.432	 0.702	 0.697	 45666	 True
GO:0050769	 positive regulation of neurogenesis	 0.569	 null	 null	 1.820	 -5.071	 0.555	 0.790	 45666	 True
GO:0051962	 positive regulation of nervous system development	 0.902	 null	 null	 2.017	 -4.284	 0.698	 0.824	 45666	 True
GO:0010720	 positive regulation of cell development	 0.718	 null	 null	 1.919	 -4.538	 0.697	 0.904	 45666	 True
GO:0007034	 vacuolar transport	 0.534	 6.397	 -0.343	 1.792	 -3.538	 0.949	 0.025	 -1	 False
GO:0006915	 apoptotic process	 1.086	 4.949	 5.517	 2.097	 -3.796	 0.979	 0.026	 -1	 False
GO:0007163	 establishment or maintenance of cell polarity	 1.717	 5.788	 3.286	 2.294	 -3.222	 0.978	 0.029	 -1	 False
GO:0045793	 positive regulation of cell size	 0.359	 2.407	 -0.763	 1.623	 -3.620	 0.869	 0.085	 -1	 False
GO:0007166	 cell surface receptor signaling pathway	 3.627	 -5.007	 1.204	 2.618	 -4.770	 0.722	 0.142	 -1	 False
GO:0071900	 regulation of protein serine/threonine kinase activity	 0.622	 -6.054	 4.997	 1.857	 -2.842	 0.893	 0.164	 -1	 False
GO:0008258	 head involution	 0.324	 3.487	 -4.700	 1.580	 -3.585	 0.827	 0.202	 -1	 False
GO:0000578	 embryonic axis specification	 0.894	 null	 null	 2.013	 -2.947	 0.792	 0.572	 8258	 True
GO:0043902	 positive regulation of multi-organism process	 0.096	 0.424	 7.084	 1.079	 -3.420	 0.850	 0.234	 -1	 False
GO:0051897	 positive regulation of protein kinase B signaling	 0.079	 -0.704	 5.485	 1.000	 -3.456	 0.823	 0.243	 -1	 False
GO:0030307	 positive regulation of cell growth	 0.403	 -2.470	 6.107	 1.672	 -3.215	 0.782	 0.277	 -1	 False
GO:0035212	 cell competition in a multicellular organism	 0.166	 null	 null	 1.301	 -2.772	 0.757	 0.590	 30307	 True
GO:0046622	 positive regulation of organ growth	 0.245	 null	 null	 1.462	 -2.833	 0.690	 0.781	 30307	 True
GO:0046843	 dorsal appendage formation	 0.473	 3.069	 -3.586	 1.740	 -3.284	 0.786	 0.326	 -1	 False
GO:0009994	 oocyte differentiation	 1.305	 null	 null	 2.176	 -2.750	 0.801	 0.580	 46843	 True
GO:0007298	 border follicle cell migration	 0.832	 null	 null	 1.982	 -3.036	 0.765	 0.704	 46843	 True
GO:0009607	 response to biotic stimulus	 3.513	 -5.757	 -1.969	 2.604	 -4.409	 0.864	 0.332	 -1	 False
GO:0051707	 response to other organism	 3.513	 -6.543	 -1.826	 2.604	 -4.409	 0.788	 0.332	 -1	 False
GO:0009615	 response to virus	 0.385	 null	 null	 1.653	 -3.244	 0.825	 0.725	 51707	 True
GO:0045087	 innate immune response	 1.437	 null	 null	 2.217	 -2.991	 0.775	 0.851	 51707	 True
GO:0043207	 response to external biotic stimulus	 3.513	 null	 null	 2.604	 -4.409	 0.788	 0.965	 51707	 True
GO:0007254	 JNK cascade	 0.166	 -5.965	 -0.084	 1.301	 -4.108	 0.746	 0.408	 -1	 False
GO:0006810	 transport	 16.453	 6.341	 0.238	 3.274	 -3.194	 0.961	 0.419	 -1	 False
GO:0080134	 regulation of response to stress	 2.663	 -1.460	 3.547	 2.484	 -3.301	 0.855	 0.421	 -1	 False
GO:0008286	 insulin receptor signaling pathway	 0.289	 -6.233	 0.825	 1.531	 -3.097	 0.776	 0.432	 -1	 False
GO:0090303	 positive regulation of wound healing	 0.123	 -0.024	 5.559	 1.176	 -3.229	 0.823	 0.439	 -1	 False
GO:0009799	 specification of symmetry	 0.158	 1.554	 -5.334	 1.279	 -4.854	 0.841	 0.466	 -1	 False
GO:0031929	 TOR signaling	 0.096	 -6.750	 -0.026	 1.079	 -2.842	 0.786	 0.483	 -1	 False
