TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0030136	clathrin-coated vesicle	0.299	-5.207	-3.975	1.556	-2.640	0.640	0.000	-1	False
GO:0045334	clathrin-coated endocytic vesicle	0.068	null	null	0.954	-1.696	0.620	0.766	30136	True
GO:0030666	endocytic vesicle membrane	0.077	null	null	1.000	-1.696	0.620	0.806	30136	True
GO:0030665	clathrin-coated vesicle membrane	0.145	null	null	1.255	-1.444	0.584	0.838	30136	True
GO:0005943	phosphatidylinositol 3-kinase complex, class IA	0.017	-3.339	4.522	0.477	-2.092	0.743	0.003	-1	False
GO:0001726	ruffle	0.051	5.890	-2.022	0.845	-1.916	0.861	0.003	-1	False
GO:0042995	cell projection	6.478	-2.538	-5.462	2.880	-1.504	0.992	0.004	-1	False
GO:0005802	trans-Golgi network	0.376	2.703	6.963	1.653	-2.288	0.843	0.091	-1	False
GO:0005773	vacuole	1.718	2.668	-5.513	2.305	-2.234	0.889	0.107	-1	False
GO:0005764	lysosome	1.171	0.415	-5.304	2.140	-1.662	0.844	0.122	-1	False
GO:0000323	lytic vacuole	1.179	null	null	2.143	-1.648	0.844	0.899	5764	True
GO:0005886	plasma membrane	13.681	4.657	3.117	3.205	-3.854	0.831	0.124	-1	False
GO:0016442	RISC complex	0.085	-5.650	1.000	1.041	-1.618	0.874	0.142	-1	False
GO:0070578	RISC-loading complex	0.060	-5.247	3.948	0.903	-1.916	0.872	0.284	-1	False
GO:0005791	rough endoplasmic reticulum	0.179	1.800	7.465	1.342	-1.444	0.850	0.317	-1	False
GO:0031528	microvillus membrane	0.060	5.088	1.034	0.903	-1.792	0.689	0.343	-1	False
GO:0005902	microvillus	0.154	null	null	1.279	-1.359	0.822	0.830	31528	True
GO:0000153	cytoplasmic ubiquitin ligase complex	0.068	-4.688	4.753	0.954	-1.916	0.815	0.381	-1	False
GO:0031332	RNAi effector complex	0.085	-4.867	0.749	1.041	-1.618	0.874	0.405	-1	False
GO:0030425	dendrite	1.829	6.311	-1.423	2.332	-1.451	0.802	0.451	-1	False
GO:0120025	plasma membrane bounded cell projection	6.392	null	null	2.874	-1.508	0.800	0.758	30425	True
GO:0097447	dendritic tree	1.829	null	null	2.332	-1.451	0.802	0.897	30425	True
GO:0030132	clathrin coat of coated pit	0.068	0.850	4.288	0.954	-1.618	0.498	0.454	-1	False
GO:0030118	clathrin coat	0.137	null	null	1.230	-1.399	0.567	0.848	30132	True
GO:0030119	AP-type membrane coat adaptor complex	0.111	null	null	1.146	-1.322	0.572	0.879	30132	True
GO:0030122	AP-2 adaptor complex	0.043	null	null	0.778	-1.696	0.345	0.893	30132	True
GO:0030131	clathrin adaptor complex	0.085	null	null	1.041	-1.495	0.557	0.918	30132	True
GO:0030669	clathrin-coated endocytic vesicle membrane	0.051	null	null	0.845	-1.696	0.576	0.950	30132	True
GO:0030125	clathrin vesicle coat	0.120	null	null	1.176	-1.444	0.383	0.955	30132	True
GO:0030128	clathrin coat of endocytic vesicle	0.043	null	null	0.778	-1.696	0.400	0.976	30132	True
GO:0005905	clathrin-coated pit	0.120	3.788	4.768	1.176	-1.444	0.796	0.476	-1	False
