TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0001510	RNA_methylation	0.573	6.261	-0.474	1.820	-2.866	0.866	0.000	-1	False
GO:0070476	rRNA_(guanine-N7)-methylation	0.018	null	null	0.477	-1.566	0.850	0.650	1510	True
GO:0036265	RNA_(guanine-N7)-methylation	0.053	null	null	0.845	-1.393	0.881	0.706	1510	True
GO:0000154	rRNA_modification	0.238	null	null	1.447	-1.314	0.830	0.800	1510	True
GO:0030488	tRNA_methylation	0.238	null	null	1.447	-1.885	0.865	0.800	1510	True
GO:0031167	rRNA_methylation	0.167	null	null	1.301	-1.659	0.828	0.826	1510	True
GO:0009405	pathogenesis	0.969	-0.088	-2.581	2.045	-1.864	0.959	0.000	-1	False
GO:0046718	viral_entry_into_host_cell	0.220	null	null	1.415	-1.393	0.939	0.584	9405	True
GO:0051701	biological_process_involved_in_interaction_with_host	0.220	null	null	1.415	-1.393	0.940	0.957	9405	True
GO:0044409	entry_into_host	0.220	null	null	1.415	-1.393	0.939	0.998	9405	True
GO:0052126	movement_in_host_environment	0.220	null	null	1.415	-1.393	0.939	0.998	9405	True
GO:0040007	growth	1.551	-2.454	-1.255	2.248	-1.304	1.000	0.000	-1	False
GO:1905879	regulation_of_oogenesis	0.018	1.137	3.237	0.477	-3.013	0.887	0.000	-1	False
GO:0060281	regulation_of_oocyte_development	0.009	null	null	0.301	-1.525	0.891	0.502	1905879	True
GO:0030710	regulation_of_border_follicle_cell_delamination	0.083	null	null	1.000	-1.864	0.880	0.573	1905879	True
GO:0007317	regulation_of_pole_plasm_oskar_mRNA_localization	0.220	null	null	1.415	-1.525	0.803	0.683	1905879	True
GO:1904580	regulation_of_intracellular_mRNA_localization	0.238	null	null	1.447	-1.525	0.828	0.732	1905879	True
GO:0022407	regulation_of_cell-cell_adhesion	0.264	null	null	1.491	-1.412	0.898	0.826	1905879	True
GO:0007043	cell-cell_junction_assembly	0.529	3.104	-6.788	1.785	-2.081	0.887	0.019	-1	False
GO:0019991	septate_junction_assembly	0.317	null	null	1.568	-1.834	0.889	0.909	7043	True
GO:0120193	tight_junction_organization	0.344	null	null	1.602	-1.773	0.904	0.916	7043	True
GO:0043297	apical_junction_assembly	0.405	null	null	1.672	-1.541	0.888	0.930	7043	True
GO:0120192	tight_junction_assembly	0.344	null	null	1.602	-1.773	0.888	0.990	7043	True
GO:0007298	border_follicle_cell_migration	0.837	-2.790	-5.454	1.982	-2.472	0.903	0.020	-1	False
GO:0030714	anterior/posterior_axis_specification_follicular_epithelium	0.026	null	null	0.602	-1.566	0.939	0.547	7298	True
GO:0006930	substrate-dependent_cell_migration_cell_extension	0.026	null	null	0.602	-1.393	0.913	0.565	7298	True
GO:0006929	substrate-dependent_cell_migration	0.035	null	null	0.699	-1.393	0.960	0.578	7298	True
GO:0007315	pole_plasm_assembly	0.432	null	null	1.699	-1.453	0.870	0.600	7298	True
GO:1990845	adaptive_thermogenesis	0.018	5.277	6.265	0.477	-1.566	0.971	0.073	-1	False
GO:1905153	regulation_of_membrane_invagination	0.018	-4.271	5.189	0.477	-1.864	0.890	0.078	-1	False
GO:1901569	fatty_acid_derivative_catabolic_process	0.018	5.623	-5.310	0.477	-1.864	0.940	0.082	-1	False
GO:0046952	ketone_body_catabolic_process	0.009	null	null	0.301	-1.864	0.921	0.629	1901569	True
GO:1902224	ketone_body_metabolic_process	0.026	null	null	0.602	-1.566	0.941	0.670	1901569	True
