TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0033962", "P-body assembly", 0.007, 4.504, -4.535, 3.182, -2.860, 0.923, 0.000, -1, False
"GO:1905306", "positive regulation of cardiac myofibril assembly", 0.000, -6.122, 4.155, 0.903, -2.360, 0.813, 0.000, -1, False
"GO:1901962", "S-adenosyl-L-methionine transmembrane transport", 0.002, -0.193, 6.708, 2.685, -2.360, 0.953, 0.003, -1, False
"GO:0008283", "cell population proliferation", 0.100, 1.993, -1.720, 4.353, -2.211, 0.996, 0.004, -1, False
"GO:0000288", "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay", 0.059, -2.874, -4.316, 4.121, -2.323, 0.520, 0.109, -1, False
"GO:0016075", "rRNA catabolic process", 0.076, null, null, 4.234, -1.665, 0.634, 0.732, 288, True
"GO:0043928", "exonucleolytic catabolism of deadenylated mRNA", 0.006, null, null, 3.155, -1.665, 0.559, 0.743, 288, True
"GO:0034661", "ncRNA catabolic process", 0.079, null, null, 4.249, -1.463, 0.672, 0.748, 288, True
"GO:0000291", "nuclear-transcribed mRNA catabolic process, exonucleolytic", 0.015, null, null, 3.528, -1.520, 0.550, 0.783, 288, True
"GO:0000290", "deadenylation-dependent decapping of nuclear-transcribed mRNA", 0.031, null, null, 3.845, -1.586, 0.519, 0.838, 288, True
"GO:0034427", "nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'", 0.010, null, null, 3.334, -1.665, 0.554, 0.931, 288, True
"GO:0110156", "methylguanosine-cap decapping", 0.034, null, null, 3.881, -1.463, 0.809, 0.990, 288, True
"GO:0044351", "macropinocytosis", 0.002, 0.793, 5.123, 2.540, -2.360, 0.967, 0.128, -1, False
"GO:0035418", "protein localization to synapse", 0.011, 3.627, 4.852, 3.398, -1.586, 0.953, 0.136, -1, False
"GO:0070059", "intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress", 0.007, -1.727, 1.122, 3.168, -1.586, 0.861, 0.144, -1, False
"GO:0010817", "regulation of hormone levels", 0.181, -4.216, 0.211, 4.610, -1.544, 0.771, 0.166, -1, False
"GO:0006839", "mitochondrial transport", 0.195, 2.261, 5.935, 4.643, -1.469, 0.962, 0.175, -1, False
"GO:0010566", "regulation of ketone biosynthetic process", 0.008, -6.587, -3.340, 3.256, -1.761, 0.775, 0.208, -1, False
"GO:0010565", "regulation of cellular ketone metabolic process", 0.053, null, null, 4.076, -1.463, 0.764, 0.802, 10566, True
"GO:0050810", "regulation of steroid biosynthetic process", 0.013, -5.609, -3.254, 3.455, -1.761, 0.690, 0.214, -1, False
"GO:0019218", "regulation of steroid metabolic process", 0.017, null, null, 3.574, -1.665, 0.715, 0.801, 50810, True
