GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0035418	protein localization to synapse	6	2	0.03	1	0.00043	0.00043	Biological Process
GO:0051965	positive regulation of synapse assembly	34	3	0.19	3	0.00080	0.00080	Biological Process
GO:1902117	positive regulation of organelle assembl...	9	2	0.05	5	0.04177	0.00103	Biological Process
GO:0007318	pole plasm protein localization	10	2	0.06	7	0.00128	0.00128	Biological Process
GO:0033962	cytoplasmic mRNA processing body assembl...	13	2	0.07	10	0.00220	0.00220	Biological Process
GO:0032502	developmental process	2031	19	11.18	12	0.03023	0.00291	Biological Process
GO:0007040	lysosome organization	16	2	0.09	15	0.00335	0.00335	Biological Process
GO:0008283	cell population proliferation	279	6	1.54	16	0.01428	0.00353	Biological Process
GO:0048856	anatomical structure development	1915	18	10.54	20	0.04618	0.00420	Biological Process
GO:0016199	axon midline choice point recognition	18	2	0.1	21	0.00424	0.00424	Biological Process
GO:0045167	asymmetric protein localization involved...	18	2	0.1	22	0.00424	0.00424	Biological Process
GO:0007317	regulation of pole plasm oskar mRNA loca...	20	2	0.11	28	0.00523	0.00523	Biological Process
GO:0030710	regulation of border follicle cell delam...	1	1	0.01	31	0.00550	0.00550	Biological Process
GO:1901962	S-adenosyl-L-methionine transmembrane tr...	1	1	0.01	34	0.00550	0.00550	Biological Process
GO:0044351	macropinocytosis	1	1	0.01	35	0.00550	0.00550	Biological Process
GO:0015809	arginine transport	1	1	0.01	38	0.00550	0.00550	Biological Process
GO:1905306	positive regulation of cardiac myofibril...	1	1	0.01	46	0.00550	0.00550	Biological Process
GO:1905062	positive regulation of cardioblast proli...	1	1	0.01	47	0.00550	0.00550	Biological Process
GO:0002092	positive regulation of receptor internal...	1	1	0.01	53	0.00550	0.00550	Biological Process
GO:0000288	nuclear-transcribed mRNA catabolic proce...	24	2	0.13	65	0.00749	0.00749	Biological Process
GO:0007528	neuromuscular junction development	148	4	0.81	67	0.00822	0.00822	Biological Process
GO:0022008	neurogenesis	692	9	3.81	70	0.04929	0.00960	Biological Process
GO:0030714	anterior/posterior axis specification, f...	2	1	0.01	76	0.01098	0.01098	Biological Process
GO:0032486	Rap protein signal transduction	2	1	0.01	77	0.01098	0.01098	Biological Process
GO:0010606	positive regulation of cytoplasmic mRNA ...	2	1	0.01	78	0.01098	0.01098	Biological Process
GO:0034473	U1 snRNA 3'-end processing	2	1	0.01	79	0.01098	0.01098	Biological Process
GO:0034476	U5 snRNA 3'-end processing	2	1	0.01	80	0.01098	0.01098	Biological Process
GO:0046596	regulation of viral entry into host cell	2	1	0.01	82	0.01098	0.01098	Biological Process
GO:0046598	positive regulation of viral entry into ...	2	1	0.01	83	0.01098	0.01098	Biological Process
GO:0052372	modulation by symbiont of entry into hos...	2	1	0.01	85	0.01098	0.01098	Biological Process
GO:0071042	nuclear polyadenylation-dependent mRNA c...	2	1	0.01	86	0.01098	0.01098	Biological Process
GO:0071047	polyadenylation-dependent mRNA catabolic...	2	1	0.01	87	0.01098	0.01098	Biological Process
GO:0075294	positive regulation by symbiont of entry...	2	1	0.01	88	0.01098	0.01098	Biological Process
GO:0045887	positive regulation of synaptic growth a...	32	2	0.18	92	0.01310	0.01310	Biological Process
GO:1904398	positive regulation of neuromuscular jun...	32	2	0.18	93	0.01310	0.01310	Biological Process
GO:0007163	establishment or maintenance of cell pol...	173	4	0.95	98	0.01405	0.01405	Biological Process
GO:0008582	regulation of synaptic growth at neuromu...	94	3	0.52	100	0.01437	0.01437	Biological Process
GO:1904396	regulation of neuromuscular junction dev...	97	3	0.53	104	0.01564	0.01564	Biological Process
GO:0016320	endoplasmic reticulum membrane fusion	3	1	0.02	106	0.01643	0.01643	Biological Process
GO:0000467	exonucleolytic trimming to generate matu...	3	1	0.02	108	0.01643	0.01643	Biological Process
GO:0000459	exonucleolytic trimming involved in rRNA...	3	1	0.02	109	0.01643	0.01643	Biological Process
GO:0052126	movement in host environment	3	1	0.02	110	0.01643	0.01643	Biological Process
GO:0046718	viral entry into host cell	3	1	0.02	111	0.01643	0.01643	Biological Process
GO:0006929	substrate-dependent cell migration	3	1	0.02	112	0.01643	0.01643	Biological Process
GO:0006930	substrate-dependent cell migration, cell...	3	1	0.02	113	0.01643	0.01643	Biological Process
GO:1903902	positive regulation of viral life cycle	3	1	0.02	114	0.01643	0.01643	Biological Process
GO:0046012	positive regulation of oskar mRNA transl...	3	1	0.02	116	0.01643	0.01643	Biological Process
