GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0042593	glucose homeostasis	25	2	0.05	1	0.0447	0.0012	Biological Process
GO:0007526	larval somatic muscle development	31	2	0.06	3	0.0018	0.0018	Biological Process
GO:0035291	specification of segmental identity, int...	1	1	0	4	0.0021	0.0021	Biological Process
GO:1903461	Okazaki fragment processing involved in ...	1	1	0	5	0.0021	0.0021	Biological Process
GO:0001678	cellular glucose homeostasis	1	1	0	6	0.0021	0.0021	Biological Process
GO:0035167	larval lymph gland hemopoiesis	39	2	0.08	8	0.0028	0.0028	Biological Process
GO:0006266	DNA ligation	3	1	0.01	10	0.0063	0.0063	Biological Process
GO:0090277	positive regulation of peptide hormone s...	4	1	0.01	12	0.0083	0.0083	Biological Process
GO:0009608	response to symbiont	4	1	0.01	13	0.0083	0.0083	Biological Process
GO:0051156	glucose 6-phosphate metabolic process	5	1	0.01	16	0.0104	0.0104	Biological Process
GO:0010975	regulation of neuron projection developm...	77	2	0.16	19	0.0106	0.0106	Biological Process
GO:0010876	lipid localization	81	2	0.17	21	0.0117	0.0117	Biological Process
GO:0045332	phospholipid translocation	6	1	0.01	25	0.0125	0.0125	Biological Process
GO:0070572	positive regulation of neuron projection...	7	1	0.01	27	0.0145	0.0145	Biological Process
GO:0042694	muscle cell fate specification	7	1	0.01	28	0.0145	0.0145	Biological Process
GO:0016204	determination of muscle attachment site	7	1	0.01	29	0.0145	0.0145	Biological Process
GO:0048680	positive regulation of axon regeneration	7	1	0.01	30	0.0145	0.0145	Biological Process
GO:0034204	lipid translocation	7	1	0.01	31	0.0145	0.0145	Biological Process
GO:0048193	Golgi vesicle transport	101	2	0.21	33	0.0179	0.0179	Biological Process
GO:0120035	regulation of plasma membrane bounded ce...	103	2	0.22	34	0.0186	0.0186	Biological Process
GO:0031344	regulation of cell projection organizati...	103	2	0.22	35	0.0186	0.0186	Biological Process
GO:0070570	regulation of neuron projection regenera...	9	1	0.02	36	0.0187	0.0187	Biological Process
GO:0046835	carbohydrate phosphorylation	9	1	0.02	37	0.0187	0.0187	Biological Process
GO:0097035	regulation of membrane lipid distributio...	9	1	0.02	40	0.0187	0.0187	Biological Process
GO:0048679	regulation of axon regeneration	9	1	0.02	41	0.0187	0.0187	Biological Process
GO:1904894	positive regulation of receptor signalin...	9	1	0.02	42	0.0187	0.0187	Biological Process
GO:0046427	positive regulation of receptor signalin...	9	1	0.02	44	0.0187	0.0187	Biological Process
GO:0005975	carbohydrate metabolic process	104	2	0.22	45	0.0189	0.0189	Biological Process
GO:0042866	pyruvate biosynthetic process	10	1	0.02	46	0.0207	0.0207	Biological Process
GO:0035203	regulation of lamellocyte differentiatio...	10	1	0.02	47	0.0207	0.0207	Biological Process
GO:0045613	regulation of plasmatocyte differentiati...	10	1	0.02	48	0.0207	0.0207	Biological Process
GO:0035289	posterior head segmentation	11	1	0.02	49	0.0228	0.0228	Biological Process
GO:0015914	phospholipid transport	11	1	0.02	50	0.0228	0.0228	Biological Process
GO:0048194	Golgi vesicle budding	11	1	0.02	51	0.0228	0.0228	Biological Process
GO:0048813	dendrite morphogenesis	117	2	0.24	52	0.0236	0.0236	Biological Process
GO:0006757	ATP generation from ADP	12	1	0.03	54	0.0248	0.0248	Biological Process
GO:0006096	glycolytic process	12	1	0.03	55	0.0248	0.0248	Biological Process
GO:0007464	R3/R4 cell fate commitment	12	1	0.03	56	0.0248	0.0248	Biological Process
GO:0045664	regulation of neuron differentiation	123	2	0.26	58	0.0259	0.0259	Biological Process
GO:0016358	dendrite development	125	2	0.26	60	0.0267	0.0267	Biological Process
GO:0019363	pyridine nucleotide biosynthetic process	13	1	0.03	61	0.0268	0.0268	Biological Process
GO:0019359	nicotinamide nucleotide biosynthetic pro...	13	1	0.03	62	0.0268	0.0268	Biological Process
GO:0042693	muscle cell fate commitment	13	1	0.03	63	0.0268	0.0268	Biological Process
GO:0048056	R3/R4 cell differentiation	13	1	0.03	64	0.0268	0.0268	Biological Process
GO:0031102	neuron projection regeneration	13	1	0.03	65	0.0268	0.0268	Biological Process
GO:0031103	axon regeneration	13	1	0.03	66	0.0268	0.0268	Biological Process
GO:1903706	regulation of hemopoiesis	13	1	0.03	67	0.0268	0.0268	Biological Process
GO:0035171	lamellocyte differentiation	13	1	0.03	69	0.0268	0.0268	Biological Process
GO:0042387	plasmatocyte differentiation	14	1	0.03	72	0.0289	0.0289	Biological Process
GO:0046031	ADP metabolic process	14	1	0.03	74	0.0289	0.0289	Biological Process
GO:0009166	nucleotide catabolic process	15	1	0.03	76	0.0309	0.0309	Biological Process
GO:0018107	peptidyl-threonine phosphorylation	15	1	0.03	77	0.0309	0.0309	Biological Process
GO:0018210	peptidyl-threonine modification	16	1	0.03	78	0.0329	0.0329	Biological Process
GO:0072525	pyridine-containing compound biosyntheti...	16	1	0.03	79	0.0329	0.0329	Biological Process
GO:0044719	regulation of imaginal disc-derived wing...	16	1	0.03	81	0.0329	0.0329	Biological Process
GO:0006900	vesicle budding from membrane	16	1	0.03	82	0.0329	0.0329	Biological Process
GO:1903036	positive regulation of response to wound...	16	1	0.03	83	0.0329	0.0329	Biological Process
GO:1901292	nucleoside phosphate catabolic process	16	1	0.03	84	0.0329	0.0329	Biological Process
GO:0048580	regulation of post-embryonic development	17	1	0.04	86	0.0350	0.0350	Biological Process
GO:0006165	nucleoside diphosphate phosphorylation	17	1	0.04	87	0.0350	0.0350	Biological Process
GO:0006334	nucleosome assembly	17	1	0.04	88	0.0350	0.0350	Biological Process
GO:0045476	nurse cell apoptotic process	17	1	0.04	89	0.0350	0.0350	Biological Process
GO:0048678	response to axon injury	17	1	0.04	90	0.0350	0.0350	Biological Process
GO:0046939	nucleotide phosphorylation	17	1	0.04	91	0.0350	0.0350	Biological Process
GO:0035168	larval lymph gland hemocyte differentiat...	17	1	0.04	92	0.0350	0.0350	Biological Process
GO:0031175	neuron projection development	367	3	0.77	93	0.0364	0.0364	Biological Process
GO:0009185	ribonucleoside diphosphate metabolic pro...	18	1	0.04	94	0.0370	0.0370	Biological Process
GO:0009179	purine ribonucleoside diphosphate metabo...	18	1	0.04	95	0.0370	0.0370	Biological Process
GO:0016199	axon midline choice point recognition	18	1	0.04	96	0.0370	0.0370	Biological Process
GO:0015748	organophosphate ester transport	18	1	0.04	97	0.0370	0.0370	Biological Process
GO:0009135	purine nucleoside diphosphate metabolic ...	18	1	0.04	98	0.0370	0.0370	Biological Process
GO:0031099	regeneration	19	1	0.04	99	0.0390	0.0390	Biological Process
GO:0045467	R7 cell development	19	1	0.04	100	0.0390	0.0390	Biological Process
GO:0043486	histone exchange	19	1	0.04	101	0.0390	0.0390	Biological Process
GO:0006890	retrograde vesicle-mediated transport, G...	19	1	0.04	102	0.0390	0.0390	Biological Process
GO:0016198	axon choice point recognition	19	1	0.04	103	0.0390	0.0390	Biological Process
GO:1902742	apoptotic process involved in developmen...	19	1	0.04	104	0.0390	0.0390	Biological Process
GO:1903034	regulation of response to wounding	20	1	0.04	105	0.0410	0.0410	Biological Process
GO:0046434	organophosphate catabolic process	22	1	0.05	108	0.0450	0.0450	Biological Process
GO:1904892	regulation of receptor signaling pathway...	22	1	0.05	110	0.0450	0.0450	Biological Process
GO:0046425	regulation of receptor signaling pathway...	22	1	0.05	111	0.0450	0.0450	Biological Process
GO:0019362	pyridine nucleotide metabolic process	23	1	0.05	112	0.0470	0.0470	Biological Process
GO:0006090	pyruvate metabolic process	23	1	0.05	113	0.0470	0.0470	Biological Process
GO:0046496	nicotinamide nucleotide metabolic proces...	23	1	0.05	114	0.0470	0.0470	Biological Process
GO:0048814	regulation of dendrite morphogenesis	24	1	0.05	115	0.0490	0.0490	Biological Process
GO:0009132	nucleoside diphosphate metabolic process	24	1	0.05	116	0.0490	0.0490	Biological Process
GO:0006955	immune response	174	2	0.36	117	0.0490	0.0490	Biological Process
GO:0008419	RNA lariat debranching enzyme activity	1	1	0	1	0.0024	0.0024	Molecular Function
GO:0004340	glucokinase activity	1	1	0	2	0.0024	0.0024	Molecular Function
GO:0019158	mannokinase activity	1	1	0	3	0.0024	0.0024	Molecular Function
GO:0008865	fructokinase activity	2	1	0	4	0.0047	0.0047	Molecular Function
GO:0003910	DNA ligase (ATP) activity	3	1	0.01	7	0.0071	0.0071	Molecular Function
GO:0019955	cytokine binding	5	1	0.01	9	0.0118	0.0118	Molecular Function
GO:0004683	calmodulin-dependent protein kinase acti...	9	1	0.02	11	0.0212	0.0212	Molecular Function
GO:0005548	phospholipid transporter activity	10	1	0.02	13	0.0235	0.0235	Molecular Function
GO:0030126	COPI vesicle coat	7	1	0.01	1	0.013	0.013	Cellular Component
GO:0030137	COPI-coated vesicle	7	1	0.01	2	0.013	0.013	Cellular Component
GO:0030663	COPI-coated vesicle membrane	7	1	0.01	3	0.013	0.013	Cellular Component
GO:0030120	vesicle coat	22	1	0.04	4	0.042	0.042	Cellular Component
GO:0030660	Golgi-associated vesicle membrane	22	1	0.04	5	0.042	0.042	Cellular Component
GO:0030662	coated vesicle membrane	25	1	0.05	6	0.047	0.047	Cellular Component
