term_ID,description,frequency,plot_X,plot_Y,plot_size,uniqueness,dispensability,representative,eliminated
GO:0048471,"perinuclear region of cytoplasm",0.670%, 2.475,-6.926,1.875,0.799,0.000,48471,0
GO:0061689,"tricellular tight junction",0.045%,-5.208, 2.659,0.778,0.685,0.000,61689,0
GO:0005920,"smooth septate junction",0.063%,null,null,0.903,0.683,0.856,61689,1
GO:0005918,"septate junction",0.308%,null,null,1.544,0.674,0.835,61689,1
GO:0005658,"alpha DNA polymerase:primase complex",0.036%,-0.442, 6.354,0.699,0.723,0.043,5658,0
GO:0014069,"postsynaptic density",0.045%,-3.799,-4.166,0.778,0.644,0.055,14069,0
GO:0045211,"postsynaptic membrane",0.407%,null,null,1.663,0.385,0.783,14069,1
GO:0045179,"apical cortex",0.353%, 5.109,-2.610,1.602,0.644,0.195,45179,0
GO:0016328,"lateral plasma membrane",0.172%, 6.288,-0.364,1.301,0.613,0.299,16328,0
GO:0098533,"ATPase dependent transmembrane transport complex",0.100%, 1.613, 5.643,1.079,0.562,0.309,98533,0
GO:0090533,"cation-transporting ATPase complex",0.063%,null,null,0.903,0.568,0.967,98533,1
GO:0005890,"sodium:potassium-exchanging ATPase complex",0.063%,null,null,0.903,0.437,0.967,98533,1
GO:0016327,"apicolateral plasma membrane",0.199%, 5.980, 0.815,1.362,0.568,0.397,16327,0
GO:0061176,"type Ib terminal bouton",0.063%,-4.230,-3.370,0.903,0.627,0.493,61176,0
GO:0071212,"subsynaptic reticulum",0.081%,null,null,1.000,0.589,0.893,61176,1
GO:0016323,"basolateral plasma membrane",0.444%, 5.302, 0.439,1.699,0.554,0.636,16323,0
