GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:1901896	positive regulation of ATPase-coupled ca...	1	1	0	1	0.00038	0.00038	Biological Process
GO:1903515	calcium ion transport from cytosol to en...	1	1	0	2	0.00038	0.00038	Biological Process
GO:0030534	adult behavior	120	2	0.05	3	0.02018	0.00051	Biological Process
GO:0051345	positive regulation of hydrolase activit...	131	2	0.05	4	0.02227	0.00061	Biological Process
GO:1990845	adaptive thermogenesis	2	1	0	8	0.00076	0.00076	Biological Process
GO:0051336	regulation of hydrolase activity	172	2	0.07	10	0.03007	0.00106	Biological Process
GO:0043085	positive regulation of catalytic activit...	207	2	0.08	13	0.03673	0.00154	Biological Process
GO:0051049	regulation of transport	216	2	0.08	14	0.04082	0.00167	Biological Process
GO:0044093	positive regulation of molecular functio...	233	2	0.09	16	0.04168	0.00195	Biological Process
GO:0051282	regulation of sequestering of calcium io...	6	1	0	17	0.00228	0.00228	Biological Process
GO:0010884	positive regulation of lipid storage	7	1	0	20	0.00266	0.00266	Biological Process
GO:0030322	stabilization of membrane potential	10	1	0	28	0.00379	0.00379	Biological Process
GO:0007629	flight behavior	14	1	0.01	33	0.00531	0.00531	Biological Process
GO:0032781	positive regulation of ATPase activity	14	1	0.01	34	0.00531	0.00531	Biological Process
GO:0006635	fatty acid beta-oxidation	18	1	0.01	43	0.00682	0.00682	Biological Process
GO:0036335	intestinal stem cell homeostasis	21	1	0.01	44	0.00796	0.00796	Biological Process
GO:0060047	heart contraction	21	1	0.01	45	0.00796	0.00796	Biological Process
GO:0046580	negative regulation of Ras protein signa...	21	1	0.01	46	0.00796	0.00796	Biological Process
GO:0048149	behavioral response to ethanol	39	1	0.01	62	0.01475	0.01475	Biological Process
GO:0030100	regulation of endocytosis	46	1	0.02	69	0.01739	0.01739	Biological Process
GO:0016319	mushroom body development	53	1	0.02	74	0.02002	0.02002	Biological Process
GO:0045471	response to ethanol	54	1	0.02	76	0.02040	0.02040	Biological Process
GO:0007274	neuromuscular synaptic transmission	61	1	0.02	80	0.02303	0.02303	Biological Process
GO:0046677	response to antibiotic	62	1	0.02	81	0.02340	0.02340	Biological Process
GO:0048863	stem cell differentiation	68	1	0.03	88	0.02565	0.02565	Biological Process
GO:0007420	brain development	87	1	0.03	94	0.03276	0.03276	Biological Process
GO:0043547	positive regulation of GTPase activity	88	1	0.03	97	0.03313	0.03313	Biological Process
GO:0097305	response to alcohol	93	1	0.04	101	0.03500	0.03500	Biological Process
GO:0043087	regulation of GTPase activity	96	1	0.04	102	0.03612	0.03612	Biological Process
GO:0060322	head development	102	1	0.04	105	0.03835	0.03835	Biological Process
GO:0060627	regulation of vesicle-mediated transport	106	1	0.04	106	0.03984	0.03984	Biological Process
GO:0009636	response to toxic substance	109	1	0.04	107	0.04096	0.04096	Biological Process
GO:0008610	lipid biosynthetic process	122	1	0.05	111	0.04579	0.04579	Biological Process
GO:0005388	calcium transmembrane transporter activi...	6	1	0	1	0.0028	0.0028	Molecular Function
GO:0043492	ATPase activity, coupled to movement of ...	45	1	0.02	7	0.0213	0.0213	Molecular Function
GO:0005096	GTPase activator activity	71	1	0.03	9	0.0335	0.0335	Molecular Function
GO:0030695	GTPase regulator activity	73	1	0.03	10	0.0344	0.0344	Molecular Function
GO:0060589	nucleoside-triphosphatase regulator acti...	81	1	0.04	12	0.0381	0.0381	Molecular Function
GO:0008047	enzyme activator activity	106	1	0.05	13	0.0497	0.0497	Molecular Function
GO:0016529	sarcoplasmic reticulum	2	1	0	1	0.00085	0.00085	Cellular Component
GO:0031235	intrinsic component of the cytoplasmic s...	4	1	0	2	0.00171	0.00171	Cellular Component
GO:0005789	endoplasmic reticulum membrane	115	1	0.05	7	0.04851	0.04851	Cellular Component
