GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0042062	long-term strengthening of neuromuscular...	2	1	0	1	0.00038	0.00038	Biological Process
GO:0007026	negative regulation of microtubule depol...	4	1	0	2	0.00076	0.00076	Biological Process
GO:0045478	fusome organization	9	1	0	8	0.00171	0.00171	Biological Process
GO:0048790	maintenance of presynaptic active zone s...	9	1	0	9	0.00171	0.00171	Biological Process
GO:0030727	germarium-derived female germ-line cyst ...	16	1	0	15	0.00304	0.00304	Biological Process
GO:0016199	axon midline choice point recognition	18	1	0	20	0.00342	0.00342	Biological Process
GO:0007009	plasma membrane organization	21	1	0	24	0.00399	0.00399	Biological Process
GO:0007294	germarium-derived oocyte fate determinat...	24	1	0	26	0.00456	0.00456	Biological Process
GO:0007274	neuromuscular synaptic transmission	61	1	0.01	35	0.01158	0.01158	Biological Process
GO:0007308	oocyte construction	103	1	0.02	48	0.01955	0.01955	Biological Process
GO:0048599	oocyte development	113	1	0.02	50	0.02145	0.02145	Biological Process
GO:0048469	cell maturation	148	1	0.03	59	0.02809	0.02809	Biological Process
GO:0071695	anatomical structure maturation	150	1	0.03	61	0.02847	0.02847	Biological Process
GO:0007417	central nervous system development	180	1	0.03	64	0.03417	0.03417	Biological Process
GO:0021700	developmental maturation	183	1	0.03	65	0.03474	0.03474	Biological Process
GO:0030707	ovarian follicle cell development	241	1	0.05	76	0.04575	0.04575	Biological Process
GO:0002066	columnar/cuboidal epithelial cell develo...	242	1	0.05	77	0.04594	0.04594	Biological Process
GO:0002065	columnar/cuboidal epithelial cell differ...	252	1	0.05	81	0.04784	0.04784	Biological Process
GO:0008017	microtubule binding	63	1	0.01	1	0.015	0.015	Molecular Function
GO:0015631	tubulin binding	68	1	0.02	2	0.016	0.016	Molecular Function
GO:0003779	actin binding	93	1	0.02	3	0.022	0.022	Molecular Function
GO:0008092	cytoskeletal protein binding	209	1	0.05	4	0.050	0.050	Molecular Function
GO:0008091	spectrin	3	1	0	1	0.00064	0.00064	Cellular Component
GO:0045170	spectrosome	4	1	0	2	0.00085	0.00085	Cellular Component
GO:0045169	fusome	28	1	0.01	5	0.00598	0.00598	Cellular Component
GO:0016323	basolateral plasma membrane	40	1	0.01	6	0.00854	0.00854	Cellular Component
GO:0031594	neuromuscular junction	66	1	0.01	8	0.01409	0.01409	Cellular Component
GO:0099568	cytoplasmic region	163	1	0.03	10	0.03480	0.03480	Cellular Component
GO:0045202	synapse	188	1	0.04	12	0.04014	0.04014	Cellular Component
GO:0005794	Golgi apparatus	214	1	0.05	13	0.04569	0.04569	Cellular Component
