GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0010506	regulation of autophagy	80	4	0.14	7	0.00212	5.9e-06	Biological Process
GO:0031346	positive regulation of cell projection o...	52	3	0.09	10	0.02515	7.3e-05	Biological Process
GO:0080135	regulation of cellular response to stres...	87	3	0.15	14	0.00647	0.00034	Biological Process
GO:0001934	positive regulation of protein phosphory...	100	3	0.17	17	0.00858	0.00051	Biological Process
GO:0046330	positive regulation of JNK cascade	21	2	0.04	18	0.02556	0.00054	Biological Process
GO:0070304	positive regulation of stress-activated ...	22	2	0.04	22	0.02705	0.00059	Biological Process
GO:0032874	positive regulation of stress-activated ...	22	2	0.04	23	0.02705	0.00059	Biological Process
GO:0012501	programmed cell death	268	4	0.46	25	0.00573	0.00067	Biological Process
GO:0033227	dsRNA transport	25	2	0.04	28	0.00076	0.00076	Biological Process
GO:0010508	positive regulation of autophagy	26	2	0.04	30	0.00083	0.00083	Biological Process
GO:1902533	positive regulation of intracellular sig...	118	3	0.2	31	0.01195	0.00083	Biological Process
GO:0008340	determination of adult lifespan	127	3	0.22	34	0.00103	0.00103	Biological Process
GO:0045793	positive regulation of cell size	30	2	0.05	36	0.00110	0.00110	Biological Process
GO:0010976	positive regulation of neuron projection...	33	2	0.06	42	0.00133	0.00133	Biological Process
GO:0045886	negative regulation of synaptic growth a...	37	2	0.06	45	0.00168	0.00168	Biological Process
GO:0060292	long-term synaptic depression	1	1	0	46	0.00171	0.00171	Biological Process
GO:0034769	basement membrane disassembly	1	1	0	47	0.00171	0.00171	Biological Process
GO:0038202	TORC1 signaling	39	2	0.07	52	0.00186	0.00186	Biological Process
GO:0030307	positive regulation of cell growth	41	2	0.07	55	0.00206	0.00206	Biological Process
GO:0007346	regulation of mitotic cell cycle	163	3	0.28	56	0.00213	0.00213	Biological Process
GO:0008286	insulin receptor signaling pathway	45	2	0.08	62	0.00247	0.00247	Biological Process
GO:0007033	vacuole organization	50	2	0.09	67	0.00305	0.00305	Biological Process
GO:0035087	siRNA loading onto RISC involved in RNA ...	2	1	0	72	0.00341	0.00341	Biological Process
GO:0031054	pre-miRNA processing	2	1	0	74	0.00341	0.00341	Biological Process
GO:0036499	PERK-mediated unfolded protein response	2	1	0	75	0.00341	0.00341	Biological Process
GO:0031104	dendrite regeneration	2	1	0	76	0.00341	0.00341	Biological Process
GO:0043085	positive regulation of catalytic activit...	207	3	0.35	88	0.03554	0.00421	Biological Process
GO:0006915	apoptotic process	209	3	0.36	89	0.03588	0.00433	Biological Process
GO:0032103	positive regulation of response to exter...	60	2	0.1	91	0.00436	0.00436	Biological Process
GO:0009267	cellular response to starvation	63	2	0.11	95	0.00480	0.00480	Biological Process
GO:0046844	chorion micropyle formation	3	1	0.01	100	0.00512	0.00512	Biological Process
GO:0007561	imaginal disc eversion	3	1	0.01	101	0.00512	0.00512	Biological Process
GO:0019748	secondary metabolic process	66	2	0.11	103	0.00526	0.00526	Biological Process
GO:0048477	oogenesis	479	4	0.82	108	0.02854	0.00587	Biological Process
GO:0044093	positive regulation of molecular functio...	233	3	0.4	109	0.04436	0.00588	Biological Process
GO:0090278	negative regulation of peptide hormone s...	4	1	0.01	116	0.00682	0.00682	Biological Process
GO:0010897	negative regulation of triglyceride cata...	4	1	0.01	118	0.00682	0.00682	Biological Process
GO:0007257	activation of JUN kinase activity	4	1	0.01	119	0.00682	0.00682	Biological Process
GO:0009967	positive regulation of signal transducti...	248	3	0.42	121	0.04980	0.00701	Biological Process
GO:0009611	response to wounding	80	2	0.14	133	0.00765	0.00765	Biological Process
GO:0007292	female gamete generation	517	4	0.88	134	0.03500	0.00773	Biological Process
GO:0061564	axon development	265	3	0.45	137	0.00843	0.00843	Biological Process
GO:0030381	chorion-containing eggshell pattern form...	5	1	0.01	140	0.00852	0.00852	Biological Process
GO:0043652	engulfment of apoptotic cell	5	1	0.01	142	0.00852	0.00852	Biological Process
GO:0006309	apoptotic DNA fragmentation	5	1	0.01	144	0.00852	0.00852	Biological Process
GO:0071276	cellular response to cadmium ion	5	1	0.01	145	0.00852	0.00852	Biological Process
GO:0071243	cellular response to arsenic-containing ...	5	1	0.01	146	0.00852	0.00852	Biological Process
GO:0007281	germ cell development	547	4	0.93	153	0.04064	0.00946	Biological Process
GO:0042440	pigment metabolic process	93	2	0.16	165	0.01024	0.01024	Biological Process
GO:0042632	cholesterol homeostasis	7	1	0.01	175	0.01190	0.01190	Biological Process
GO:0010884	positive regulation of lipid storage	7	1	0.01	178	0.01190	0.01190	Biological Process
GO:0048680	positive regulation of axon regeneration	7	1	0.01	179	0.01190	0.01190	Biological Process
GO:0070572	positive regulation of neuron projection...	7	1	0.01	180	0.01190	0.01190	Biological Process
GO:0030422	production of siRNA involved in RNA inte...	7	1	0.01	184	0.01190	0.01190	Biological Process
GO:0032233	positive regulation of actin filament bu...	7	1	0.01	186	0.01190	0.01190	Biological Process
GO:0007395	dorsal closure, spreading of leading edg...	8	1	0.01	193	0.01359	0.01359	Biological Process
GO:0055092	sterol homeostasis	8	1	0.01	194	0.01359	0.01359	Biological Process
GO:0071230	cellular response to amino acid stimulus	8	1	0.01	198	0.01359	0.01359	Biological Process
GO:0004674	protein serine/threonine kinase activity	135	3	0.26	1	0.0190	0.0016	Molecular Function
GO:0008545	JUN kinase kinase activity	1	1	0	2	0.0019	0.0019	Molecular Function
GO:0004686	elongation factor-2 kinase activity	1	1	0	3	0.0019	0.0019	Molecular Function
GO:0004530	deoxyribonuclease I activity	2	1	0	7	0.0038	0.0038	Molecular Function
GO:0019776	Atg8 ligase activity	2	1	0	8	0.0038	0.0038	Molecular Function
GO:0016443	bidentate ribonuclease III activity	2	1	0	9	0.0038	0.0038	Molecular Function
GO:0070883	pre-miRNA binding	2	1	0	10	0.0038	0.0038	Molecular Function
GO:0005078	MAP-kinase scaffold activity	4	1	0.01	15	0.0076	0.0076	Molecular Function
GO:0003725	double-stranded RNA binding	14	1	0.03	25	0.0263	0.0263	Molecular Function
GO:0003727	single-stranded RNA binding	19	1	0.04	28	0.0356	0.0356	Molecular Function
GO:0001664	G protein-coupled receptor binding	25	1	0.05	30	0.0466	0.0466	Molecular Function
GO:0005776	autophagosome	28	2	0.05	1	0.00094	0.00094	Cellular Component
GO:0000153	cytoplasmic ubiquitin ligase complex	3	1	0.01	2	0.00512	0.00512	Cellular Component
GO:0070578	RISC-loading complex	3	1	0.01	3	0.00512	0.00512	Cellular Component
GO:0031931	TORC1 complex	3	1	0.01	4	0.00512	0.00512	Cellular Component
GO:0034271	phosphatidylinositol 3-kinase complex, c...	4	1	0.01	5	0.00682	0.00682	Cellular Component
GO:0030123	AP-3 adaptor complex	4	1	0.01	7	0.00682	0.00682	Cellular Component
GO:0031332	RNAi effector complex	6	1	0.01	10	0.01021	0.01021	Cellular Component
GO:0016442	RISC complex	6	1	0.01	11	0.01021	0.01021	Cellular Component
GO:0045169	fusome	28	1	0.05	18	0.04687	0.04687	Cellular Component
