GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0019236	response to pheromone	12	2	0.02	1	0.00017	0.00017	Biological Process
GO:0007608	sensory perception of smell	51	2	0.09	2	0.00317	0.00317	Biological Process
GO:0042048	olfactory behavior	60	2	0.1	3	0.00436	0.00436	Biological Process
GO:0006591	ornithine metabolic process	3	1	0.01	4	0.00512	0.00512	Biological Process
GO:0042811	pheromone biosynthetic process	4	1	0.01	6	0.00682	0.00682	Biological Process
GO:0010025	wax biosynthetic process	4	1	0.01	7	0.00682	0.00682	Biological Process
GO:0035336	long-chain fatty-acyl-CoA metabolic proc...	5	1	0.01	11	0.00852	0.00852	Biological Process
GO:0046693	sperm storage	5	1	0.01	12	0.00852	0.00852	Biological Process
GO:0046008	regulation of female receptivity, post-m...	5	1	0.01	13	0.00852	0.00852	Biological Process
GO:0006688	glycosphingolipid biosynthetic process	8	1	0.01	15	0.01359	0.01359	Biological Process
GO:0042026	protein refolding	8	1	0.01	17	0.01359	0.01359	Biological Process
GO:0046662	regulation of oviposition	8	1	0.01	18	0.01359	0.01359	Biological Process
GO:0030728	ovulation	9	1	0.02	19	0.01528	0.01528	Biological Process
GO:0009409	response to cold	10	1	0.02	21	0.01697	0.01697	Biological Process
GO:0009631	cold acclimation	10	1	0.02	22	0.01697	0.01697	Biological Process
GO:0006687	glycosphingolipid metabolic process	11	1	0.02	24	0.01865	0.01865	Biological Process
GO:0042595	behavioral response to starvation	11	1	0.02	26	0.01865	0.01865	Biological Process
GO:0018991	oviposition	12	1	0.02	28	0.02033	0.02033	Biological Process
GO:0030148	sphingolipid biosynthetic process	26	1	0.04	40	0.04358	0.04358	Biological Process
GO:0061077	chaperone-mediated protein folding	28	1	0.05	41	0.04687	0.04687	Biological Process
