GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0046580	negative regulation of Ras protein signa...	21	1	0.01	1	0.012	0.012	Biological Process
GO:0051058	negative regulation of small GTPase medi...	22	1	0.01	2	0.012	0.012	Biological Process
GO:0007406	negative regulation of neuroblast prolif...	29	1	0.02	3	0.016	0.016	Biological Process
GO:2000178	negative regulation of neural precursor ...	29	1	0.02	4	0.016	0.016	Biological Process
GO:2000647	negative regulation of stem cell prolife...	32	1	0.02	5	0.018	0.018	Biological Process
GO:0048149	behavioral response to ethanol	39	1	0.02	6	0.022	0.022	Biological Process
GO:1902692	regulation of neuroblast proliferation	41	1	0.02	7	0.023	0.023	Biological Process
GO:2000177	regulation of neural precursor cell prol...	42	1	0.02	8	0.024	0.024	Biological Process
GO:0030100	regulation of endocytosis	46	1	0.03	9	0.026	0.026	Biological Process
GO:0072091	regulation of stem cell proliferation	47	1	0.03	10	0.027	0.027	Biological Process
GO:0030258	lipid modification	50	1	0.03	11	0.028	0.028	Biological Process
GO:0016319	mushroom body development	53	1	0.03	12	0.030	0.030	Biological Process
GO:0045471	response to ethanol	54	1	0.03	13	0.030	0.030	Biological Process
GO:0050768	negative regulation of neurogenesis	55	1	0.03	14	0.031	0.031	Biological Process
GO:0006367	transcription initiation from RNA polyme...	60	1	0.03	15	0.034	0.034	Biological Process
GO:0046677	response to antibiotic	62	1	0.04	16	0.035	0.035	Biological Process
GO:0046578	regulation of Ras protein signal transdu...	62	1	0.04	17	0.035	0.035	Biological Process
GO:0051056	regulation of small GTPase mediated sign...	63	1	0.04	18	0.035	0.035	Biological Process
GO:0010721	negative regulation of cell development	65	1	0.04	19	0.037	0.037	Biological Process
GO:0006352	DNA-templated transcription, initiation	65	1	0.04	20	0.037	0.037	Biological Process
GO:0008285	negative regulation of cell population p...	68	1	0.04	21	0.038	0.038	Biological Process
GO:0007405	neuroblast proliferation	80	1	0.05	22	0.045	0.045	Biological Process
GO:0061351	neural precursor cell proliferation	81	1	0.05	23	0.045	0.045	Biological Process
GO:0007420	brain development	87	1	0.05	24	0.049	0.049	Biological Process
GO:0043547	positive regulation of GTPase activity	88	1	0.05	25	0.049	0.049	Biological Process
