GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0047496	vesicle transport along microtubule	7	4	0.3	1	0.00011	0.00011	Biological Process
GO:0019934	cGMP-mediated signaling	6	3	0.26	3	0.00143	0.00143	Biological Process
GO:0030154	cell differentiation	1260	74	54.29	4	0.01376	0.00151	Biological Process
GO:0071596	ubiquitin-dependent protein catabolic pr...	2	2	0.09	6	0.00185	0.00185	Biological Process
GO:0031175	neuron projection development	367	28	15.81	7	0.02165	0.00196	Biological Process
GO:0048869	cellular developmental process	1293	75	55.72	8	0.01672	0.00198	Biological Process
GO:0045893	positive regulation of transcription, DN...	290	23	12.5	15	0.00307	0.00307	Biological Process
GO:0051642	centrosome localization	15	4	0.65	17	0.00315	0.00315	Biological Process
GO:0120039	plasma membrane bounded cell projection ...	344	26	14.82	18	0.03487	0.00325	Biological Process
GO:0048858	cell projection morphogenesis	344	26	14.82	19	0.03487	0.00325	Biological Process
GO:0048812	neuron projection morphogenesis	344	26	14.82	20	0.03487	0.00325	Biological Process
GO:0009653	anatomical structure morphogenesis	1138	66	49.04	24	0.03516	0.00418	Biological Process
GO:0006357	regulation of transcription by RNA polym...	480	33	20.68	26	0.00429	0.00429	Biological Process
GO:0022008	neurogenesis	692	44	29.82	27	0.02503	0.00432	Biological Process
GO:0032990	cell part morphogenesis	353	26	15.21	30	0.04543	0.00460	Biological Process
GO:0030182	neuron differentiation	578	38	24.91	31	0.03084	0.00468	Biological Process
GO:0048308	organelle inheritance	3	2	0.13	33	0.00539	0.00539	Biological Process
GO:0090069	regulation of ribosome biogenesis	3	2	0.13	34	0.00539	0.00539	Biological Process
GO:0051100	negative regulation of binding	10	3	0.43	42	0.00757	0.00757	Biological Process
GO:0001710	mesodermal cell fate commitment	10	3	0.43	44	0.00757	0.00757	Biological Process
GO:0048699	generation of neurons	655	41	28.22	45	0.04274	0.00777	Biological Process
GO:0048468	cell development	1065	61	45.89	49	0.03154	0.00817	Biological Process
GO:0008045	motor neuron axon guidance	55	7	2.37	50	0.00874	0.00874	Biological Process
GO:0032502	developmental process	2031	105	87.52	54	0.03767	0.00940	Biological Process
GO:0090092	regulation of transmembrane receptor pro...	43	6	1.85	55	0.00959	0.00959	Biological Process
GO:0007500	mesodermal cell fate determination	4	2	0.17	58	0.01047	0.01047	Biological Process
GO:0042816	vitamin B6 metabolic process	4	2	0.17	59	0.01047	0.01047	Biological Process
GO:0008407	chaeta morphogenesis	32	5	1.38	61	0.01104	0.01104	Biological Process
GO:0048813	dendrite morphogenesis	117	11	5.04	62	0.01155	0.01155	Biological Process
GO:0048731	system development	1327	72	57.18	67	0.04337	0.01402	Biological Process
GO:0051865	protein autoubiquitination	13	3	0.56	71	0.01639	0.01639	Biological Process
GO:0002121	inter-male aggressive behavior	13	3	0.56	72	0.01639	0.01639	Biological Process
GO:0042693	muscle cell fate commitment	13	3	0.56	73	0.01639	0.01639	Biological Process
GO:0014070	response to organic cyclic compound	92	9	3.96	75	0.01691	0.01691	Biological Process
GO:0010603	regulation of cytoplasmic mRNA processin...	5	2	0.22	76	0.01696	0.01696	Biological Process
GO:0043392	negative regulation of DNA binding	5	2	0.22	77	0.01696	0.01696	Biological Process
GO:0006767	water-soluble vitamin metabolic process	5	2	0.22	78	0.01696	0.01696	Biological Process
GO:0051046	regulation of secretion	63	7	2.71	79	0.01784	0.01784	Biological Process
GO:1902115	regulation of organelle assembly	24	4	1.03	80	0.01809	0.01809	Biological Process
GO:0008347	glial cell migration	24	4	1.03	81	0.01809	0.01809	Biological Process
GO:0048814	regulation of dendrite morphogenesis	24	4	1.03	82	0.01809	0.01809	Biological Process
GO:0016358	dendrite development	125	11	5.39	84	0.01829	0.01829	Biological Process
