GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0008139	nuclear localization sequence binding	13	4	0.54	1	0.0016	0.0016	Molecular Function
GO:0004890	GABA-A receptor activity	2	2	0.08	2	0.0017	0.0017	Molecular Function
GO:0003700	DNA-binding transcription factor activit...	219	18	9.16	4	0.0041	0.0041	Molecular Function
GO:0022851	GABA-gated chloride ion channel activity	3	2	0.13	6	0.0051	0.0051	Molecular Function
GO:0008270	zinc ion binding	125	12	5.23	7	0.0056	0.0056	Molecular Function
GO:0009982	pseudouridine synthase activity	5	2	0.21	12	0.0160	0.0160	Molecular Function
GO:0004842	ubiquitin-protein transferase activity	116	10	4.85	15	0.0222	0.0222	Molecular Function
GO:0140030	modification-dependent protein binding	15	3	0.63	16	0.0226	0.0226	Molecular Function
GO:0000981	DNA-binding transcription factor activit...	152	12	6.36	18	0.0241	0.0241	Molecular Function
GO:0004383	guanylate cyclase activity	16	3	0.67	20	0.0269	0.0269	Molecular Function
GO:0017056	structural constituent of nuclear pore	16	3	0.67	21	0.0269	0.0269	Molecular Function
GO:0019787	ubiquitin-like protein transferase activ...	121	10	5.06	24	0.0289	0.0289	Molecular Function
GO:0005231	excitatory extracellular ligand-gated io...	7	2	0.29	25	0.0318	0.0318	Molecular Function
GO:0031593	polyubiquitin modification-dependent pro...	7	2	0.29	26	0.0318	0.0318	Molecular Function
GO:0003677	DNA binding	334	21	13.97	29	0.0368	0.0368	Molecular Function
GO:0009975	cyclase activity	18	3	0.75	30	0.0369	0.0369	Molecular Function
GO:0016849	phosphorus-oxygen lyase activity	18	3	0.75	31	0.0369	0.0369	Molecular Function
GO:0016866	intramolecular transferase activity	8	2	0.33	33	0.0412	0.0412	Molecular Function
GO:0008098	5S rRNA primary transcript binding	1	1	0.04	34	0.0418	0.0418	Molecular Function
GO:0004326	tetrahydrofolylpolyglutamate synthase ac...	1	1	0.04	35	0.0418	0.0418	Molecular Function
GO:0008503	benzodiazepine receptor activity	1	1	0.04	36	0.0418	0.0418	Molecular Function
GO:0071164	RNA trimethylguanosine synthase activity	1	1	0.04	37	0.0418	0.0418	Molecular Function
GO:0004087	carbamoyl-phosphate synthase (ammonia) a...	1	1	0.04	38	0.0418	0.0418	Molecular Function
GO:0071209	U7 snRNA binding	1	1	0.04	39	0.0418	0.0418	Molecular Function
GO:0004088	carbamoyl-phosphate synthase (glutamine-...	1	1	0.04	40	0.0418	0.0418	Molecular Function
GO:0004340	glucokinase activity	1	1	0.04	41	0.0418	0.0418	Molecular Function
GO:0004070	aspartate carbamoyltransferase activity	1	1	0.04	42	0.0418	0.0418	Molecular Function
GO:0015375	glycine:sodium symporter activity	1	1	0.04	43	0.0418	0.0418	Molecular Function
GO:0004151	dihydroorotase activity	1	1	0.04	44	0.0418	0.0418	Molecular Function
GO:0003810	protein-glutamine gamma-glutamyltransfer...	1	1	0.04	45	0.0418	0.0418	Molecular Function
GO:0000171	ribonuclease MRP activity	1	1	0.04	46	0.0418	0.0418	Molecular Function
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fu...	1	1	0.04	47	0.0418	0.0418	Molecular Function
GO:0008184	glycogen phosphorylase activity	1	1	0.04	48	0.0418	0.0418	Molecular Function
GO:0070492	oligosaccharide binding	1	1	0.04	49	0.0418	0.0418	Molecular Function
GO:0004031	aldehyde oxidase activity	1	1	0.04	50	0.0418	0.0418	Molecular Function
GO:0070626	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)im...	1	1	0.04	51	0.0418	0.0418	Molecular Function
GO:0019158	mannokinase activity	1	1	0.04	52	0.0418	0.0418	Molecular Function
GO:0097109	neuroligin family protein binding	1	1	0.04	53	0.0418	0.0418	Molecular Function
GO:0005007	fibroblast growth factor-activated recep...	1	1	0.04	54	0.0418	0.0418	Molecular Function
GO:0097603	temperature-gated ion channel activity	1	1	0.04	55	0.0418	0.0418	Molecular Function
GO:0001103	RNA polymerase II repressing transcripti...	1	1	0.04	56	0.0418	0.0418	Molecular Function
GO:0016933	extracellularly glycine-gated ion channe...	1	1	0.04	57	0.0418	0.0418	Molecular Function
GO:0016623	oxidoreductase activity, acting on the a...	1	1	0.04	58	0.0418	0.0418	Molecular Function
GO:0004732	pyridoxal oxidase activity	1	1	0.04	59	0.0418	0.0418	Molecular Function
GO:0047372	acylglycerol lipase activity	1	1	0.04	60	0.0418	0.0418	Molecular Function
GO:0008478	pyridoxal kinase activity	1	1	0.04	61	0.0418	0.0418	Molecular Function
GO:0005295	neutral amino acid:sodium symporter acti...	1	1	0.04	62	0.0418	0.0418	Molecular Function
GO:0008419	RNA lariat debranching enzyme activity	1	1	0.04	63	0.0418	0.0418	Molecular Function
GO:0016743	carboxyl- or carbamoyltransferase activi...	1	1	0.04	64	0.0418	0.0418	Molecular Function
GO:0070406	glutamine binding	1	1	0.04	65	0.0418	0.0418	Molecular Function
GO:0031490	chromatin DNA binding	19	3	0.79	66	0.0425	0.0425	Molecular Function
GO:0140297	DNA-binding transcription factor binding	33	4	1.38	69	0.0470	0.0470	Molecular Function
