GOterm	Canon_input	NonCan_input	Hym_Noncan	Solitary_Imm	Social_Imm	Complex_Imm	Solitary_Random	Social_Random	Complex_Random
GO:0000003	0	0	0	0	0	0	0	0	0
GO:0000295	0	0	0	0	0	0	0	0	1
GO:0001508	0	0	0	0	0	0	0	0	0
GO:0003006	0	0	0	0	0	0	0	0	0
GO:0003254	0	0	0	0	0	0	0	0	0
GO:0003674	0	0	0	0	0	0	0	0	0
GO:0005215	0	0	0	0	0	0	0	0	0
GO:0005346	0	0	0	0	0	0	0	0	1
GO:0005347	0	0	0	0	0	0	0	0	0
GO:0005471	0	0	0	0	0	0	0	0	0
GO:0005575	0	0	0	0	0	0	0	0	0
GO:0005622	0	0	0	0	0	0	0	0	0
GO:0005623	0	0	0	0	0	0	0	0	0
GO:0005737	1	0	0	0	0	0	0	0	0
GO:0005739	0	0	0	0	0	0	1	0	0
GO:0005740	0	0	0	0	0	0	0	0	0
GO:0005743	0	0	0	0	0	0	0	0	0
GO:0006140	0	0	0	0	0	0	0	0	0
GO:0006810	0	0	0	0	0	0	0	0	0
GO:0006811	0	0	0	0	0	0	0	0	0
GO:0006820	0	0	0	0	0	0	0	0	0
GO:0006839	0	0	0	0	0	0	0	0	1
GO:0006855	0	0	0	0	0	0	0	0	0
GO:0006862	0	0	0	0	0	0	0	0	0
GO:0006873	0	0	0	0	0	0	0	0	0
GO:0006874	0	0	0	0	0	0	0	0	0
GO:0006875	0	0	0	0	0	0	0	0	0
GO:0006950	0	0	0	0	0	0	0	0	0
GO:0006979	0	0	0	0	0	0	1	0	0
GO:0006996	0	0	0	0	0	0	0	0	0
GO:0007005	0	0	0	0	0	0	0	0	0
GO:0007006	0	0	0	0	0	0	0	0	0
GO:0007154	0	0	0	0	0	0	0	0	0
GO:0007267	0	0	0	0	0	0	0	0	0
GO:0007268	0	0	0	0	1	0	0	0	1
GO:0007275	0	0	0	0	0	0	0	0	0
GO:0007276	0	0	0	0	0	0	0	0	0
GO:0007281	0	0	0	0	0	0	0	0	0
GO:0007292	0	0	0	0	0	0	0	0	0
GO:0007399	0	0	0	0	0	0	0	0	0
GO:0007416	0	0	0	0	0	0	0	0	0
GO:0007528	0	0	0	0	0	0	0	0	1
GO:0007568	0	0	0	0	0	0	0	0	0
GO:0008150	0	0	0	0	0	0	0	0	0
GO:0008340	0	0	0	0	0	0	0	0	0
GO:0008509	0	0	0	0	0	0	0	0	0
GO:0008514	0	0	0	0	0	0	0	0	0
GO:0009889	0	0	0	0	0	0	0	1	0
GO:0009891	0	0	0	0	0	0	0	1	0
GO:0009892	0	0	0	0	0	0	0	0	0
GO:0009893	0	0	0	0	0	0	0	0	0
GO:0009894	0	0	0	0	0	0	0	0	0
GO:0009895	0	0	0	0	0	0	0	0	0
GO:0009987	0	0	0	0	0	0	0	0	0
GO:0010259	0	0	0	0	0	0	0	0	0
GO:0010506	0	0	0	0	0	0	0	0	0
GO:0010507	0	0	0	0	0	0	0	0	0
GO:0010562	0	0	0	0	0	0	0	0	0
GO:0015075	0	0	0	0	0	0	0	0	0
GO:0015215	0	0	0	0	0	0	0	0	0
GO:0015216	0	0	0	0	0	0	0	0	1
GO:0015217	0	0	0	0	0	0	0	0	1
GO:0015238	0	0	0	0	0	0	0	0	0
