Desc	Family ID	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
null	ORTHOMCL0	0	0	0	0	0	0	0	0	0	190	0
null	ORTHOMCL1	18	14	21	21	16	15	14	15	17	19	18
null	ORTHOMCL2	16	11	12	16	20	15	12	11	10	12	13
null	ORTHOMCL3	11	18	10	13	13	11	20	7	7	11	22
null	ORTHOMCL4	0	0	8	9	18	21	7	47	2	1	27
null	ORTHOMCL5	4	4	17	27	13	11	9	6	10	8	7
null	ORTHOMCL6	9	7	8	9	29	6	9	8	7	5	6
null	ORTHOMCL7	15	13	12	9	10	1	17	9	2	4	8
null	ORTHOMCL8	12	5	11	14	2	7	8	7	7	6	8
null	ORTHOMCL9	7	7	8	8	7	6	7	8	7	7	8
null	ORTHOMCL10	6	5	6	6	6	6	6	6	6	6	17
null	ORTHOMCL11	6	6	6	6	6	6	6	6	5	5	11
null	ORTHOMCL12	0	0	0	0	0	0	0	0	68	0	0
null	ORTHOMCL13	5	5	6	7	7	6	7	6	5	7	6
null	ORTHOMCL14	6	4	10	7	6	4	6	4	4	4	11
null	ORTHOMCL15	5	5	6	5	7	4	7	5	4	3	14
null	ORTHOMCL16	8	4	6	5	4	4	9	9	4	4	5
null	ORTHOMCL17	5	5	7	7	7	5	5	5	5	4	5
null	ORTHOMCL18	0	0	0	0	0	0	0	0	58	0	0
null	ORTHOMCL19	4	0	8	10	5	3	6	4	4	4	7
null	ORTHOMCL20	6	1	7	6	4	5	5	5	5	5	4
null	ORTHOMCL21	3	4	4	6	5	7	5	5	5	5	4
null	ORTHOMCL22	5	5	5	5	4	4	6	5	5	5	4
null	ORTHOMCL23	2	2	10	9	13	3	3	2	2	1	5
null	ORTHOMCL24	5	4	5	11	3	3	4	4	4	4	5
null	ORTHOMCL25	5	3	3	4	5	5	5	5	6	7	3
null	ORTHOMCL26	5	4	12	11	2	2	4	5	1	2	3
null	ORTHOMCL27	5	5	4	4	4	4	5	5	4	3	6
null	ORTHOMCL28	6	6	9	8	4	1	3	1	2	6	2
null	ORTHOMCL29	4	4	5	4	6	4	4	5	4	3	5
null	ORTHOMCL30	5	3	4	6	8	3	6	3	3	3	4
null	ORTHOMCL31	6	3	2	5	2	6	4	5	6	5	4
null	ORTHOMCL32	6	6	2	4	9	1	3	3	1	3	10
null	ORTHOMCL33	4	3	6	4	5	4	5	4	4	4	4
null	ORTHOMCL34	3	3	2	4	3	4	11	4	4	3	6
null	ORTHOMCL35	0	0	0	0	0	0	0	0	1	46	0
null	ORTHOMCL36	5	5	6	5	3	4	4	3	4	3	4
null	ORTHOMCL37	5	3	5	5	5	4	4	4	2	4	5
null	ORTHOMCL38	4	4	4	4	5	4	4	4	4	4	5
null	ORTHOMCL39	2	1	7	8	1	1	8	5	1	1	11
null	ORTHOMCL40	0	0	0	0	0	0	0	0	0	46	0
null	ORTHOMCL41	1	1	4	4	14	4	2	2	5	6	2
null	ORTHOMCL42	2	2	3	4	6	3	3	4	8	6	4
null	ORTHOMCL43	4	3	4	3	4	4	5	4	4	4	5
null	ORTHOMCL44	7	1	6	6	7	2	5	6	1	1	1
null	ORTHOMCL45	0	0	0	0	0	0	0	0	0	43	0
null	ORTHOMCL46	2	4	4	4	4	5	3	4	5	4	3
null	ORTHOMCL47	3	3	6	3	5	3	3	4	4	4	4
null	ORTHOMCL48	11	3	3	4	3	3	2	2	2	7	2
null	ORTHOMCL49	2	2	2	3	9	3	8	7	4	1	1
null	ORTHOMCL50	1	1	7	6	5	1	6	6	1	1	7
null	ORTHOMCL51	6	2	4	4	7	5	4	3	2	2	2
null	ORTHOMCL52	3	3	4	4	4	2	4	4	3	6	4
null	ORTHOMCL53	1	1	4	5	5	5	8	5	1	1	5
null	ORTHOMCL54	6	4	11	8	5	1	1	1	1	1	2
null	ORTHOMCL55	3	2	6	6	5	3	2	4	4	3	2
null	ORTHOMCL56	4	1	7	6	1	1	8	7	1	1	3
null	ORTHOMCL57	3	3	4	3	3	3	4	4	3	3	7
null	ORTHOMCL58	4	4	8	9	1	0	7	3	0	2	2
null	ORTHOMCL59	0	0	0	0	0	0	0	0	40	0	0
null	ORTHOMCL60	3	3	4	4	4	4	4	3	4	3	3
null	ORTHOMCL61	2	2	2	6	5	2	7	2	2	2	7
null	ORTHOMCL62	2	2	2	2	9	2	2	2	11	2	3
null	ORTHOMCL63	3	3	5	4	4	3	3	3	3	3	5
null	ORTHOMCL64	3	2	8	6	2	2	5	2	3	3	3
null	ORTHOMCL65	2	2	8	8	4	2	3	3	2	2	3
null	ORTHOMCL66	3	3	6	4	5	3	3	3	3	3	3
null	ORTHOMCL67	1	1	1	1	1	1	1	1	1	1	29
null	ORTHOMCL68	3	3	4	8	4	4	3	4	1	1	3
null	ORTHOMCL69	1	1	0	5	5	4	7	7	1	1	6
null	ORTHOMCL70	2	2	10	5	2	2	1	2	2	2	7
null	ORTHOMCL71	2	1	5	4	5	1	5	5	1	1	7
null	ORTHOMCL72	3	3	4	4	4	3	4	2	3	4	3
null	ORTHOMCL73	3	2	6	4	3	3	3	3	3	3	4
null	ORTHOMCL74	3	1	8	7	3	4	2	2	2	2	2
null	ORTHOMCL75	2	3	3	5	4	3	3	3	4	4	2
null	ORTHOMCL76	1	1	11	8	3	2	1	1	2	1	5
null	ORTHOMCL77	1	1	6	6	5	1	5	1	1	1	8
null	ORTHOMCL78	1	1	5	6	10	1	1	2	1	1	7
null	ORTHOMCL79	0	1	7	10	5	1	8	2	1	1	0
null	ORTHOMCL80	3	1	5	4	6	3	1	3	4	1	4
null	ORTHOMCL81	4	2	4	3	4	4	3	3	2	3	3
null	ORTHOMCL82	3	1	4	6	9	1	3	1	1	1	5
null	ORTHOMCL83	2	2	3	3	3	4	4	4	3	3	4
null	ORTHOMCL84	3	2	7	6	1	2	2	3	3	3	3
null	ORTHOMCL85	3	4	5	4	1	2	6	1	2	3	4
null	ORTHOMCL86	3	2	6	3	9	2	3	2	2	1	2
null	ORTHOMCL87	2	2	5	4	5	2	3	3	2	2	5
null	ORTHOMCL88	1	1	4	6	9	1	4	1	1	1	6
null	ORTHOMCL89	3	2	3	6	3	4	3	4	2	2	3
null	ORTHOMCL90	6	1	3	3	5	5	1	1	2	4	3
null	ORTHOMCL91	3	3	3	3	3	3	4	3	3	3	3
null	ORTHOMCL92	5	2	5	5	3	2	4	2	2	2	2
null	ORTHOMCL93	2	2	3	3	2	4	4	3	4	3	4
null	ORTHOMCL94	4	3	3	3	3	3	3	3	3	3	3
null	ORTHOMCL95	2	1	4	7	4	5	1	1	2	1	6
null	ORTHOMCL96	5	1	3	4	3	2	4	5	1	1	4
null	ORTHOMCL97	1	1	12	1	1	1	1	1	1	1	12
null	ORTHOMCL98	4	3	4	2	2	3	4	2	3	3	3
null	ORTHOMCL99	2	2	4	3	4	3	2	3	3	3	4
null	ORTHOMCL100	2	2	6	3	3	3	4	3	2	3	2
null	ORTHOMCL101	3	2	2	2	1	4	2	6	2	2	7
null	ORTHOMCL102	3	3	5	3	2	2	3	3	3	4	2
null	ORTHOMCL103	1	0	6	5	6	3	2	1	1	1	7
null	ORTHOMCL104	3	3	3	3	2	3	3	3	4	3	3
null	ORTHOMCL105	2	1	3	2	4	4	5	2	4	2	4
null	ORTHOMCL106	1	1	3	3	6	2	2	2	2	1	10
null	ORTHOMCL107	5	2	2	2	2	2	4	2	3	5	3
null	ORTHOMCL108	4	1	6	5	4	1	7	1	1	1	1
null	ORTHOMCL109	3	3	3	4	3	3	3	3	2	2	3
null	ORTHOMCL110	2	1	7	6	5	2	4	1	0	2	2
null	ORTHOMCL111	3	1	2	2	5	1	7	8	1	1	1
null	ORTHOMCL112	3	2	3	2	3	3	3	4	3	3	3
null	ORTHOMCL113	2	2	4	1	5	3	5	3	2	2	3
null	ORTHOMCL114	3	3	3	3	3	3	3	3	2	3	3
null	ORTHOMCL115	1	1	6	6	1	4	3	3	1	1	5
null	ORTHOMCL116	0	0	0	0	32	0	0	0	0	0	0
null	ORTHOMCL117	0	0	0	0	0	0	0	0	1	31	0
null	ORTHOMCL118	3	3	3	3	3	3	3	3	2	3	2
null	ORTHOMCL119	3	2	5	4	5	2	2	2	2	2	2
null	ORTHOMCL120	2	1	4	6	4	1	4	1	1	1	6
null	ORTHOMCL121	3	2	3	3	3	2	3	2	3	4	3
null	ORTHOMCL122	1	1	5	7	1	2	4	7	1	1	1
null	ORTHOMCL123	3	3	3	3	3	3	3	3	1	3	3
null	ORTHOMCL124	7	1	5	1	2	1	2	7	1	1	3
null	ORTHOMCL125	3	3	3	3	2	3	3	3	2	3	3
null	ORTHOMCL126	1	1	1	1	4	3	10	1	1	1	7
