#CREATED MARCH 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE OF GENES, CORRESPONDING TRANSRIPTS (VARIANT-RESOLVED) AND PRODUCT DESCRIPTION FROM APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2)
GeneID	TranscriptID	Gene_Desc
Ant	NM_001010975.1	 ADP/ATP translocase 
Wat	NM_001011562.1	 worker-enriched antennal transcript 
Jhe	NM_001011563.1	 juvenile hormone esterase 
Mrjp8	NM_001011564.2	 major royal jelly protein 8 
Oa1	NM_001011565.1	 octopamine receptor 
Kr-h1	NM_001011566.1	 kruppel homolog 1 
DopR2	NM_001011567.1	 dopamine receptor 2 
Amih	NM_001011568.1	 hyperpolarization-activated ion channel 
Vha16	NM_001011570.1	 vacuolar H+ ATP synthase 16 kDa proteolipid subunit 
Antp	NM_001011571.1	 homeotic protein antennapedia 
Tsf1	NM_001011572.1	 transferrin 1 
Nmdar1	NM_001011573.1	 NMDA receptor 1 
LOC406081	NM_001011574.1	 glucose oxidase 
nAChRa8	NM_001011575.1	 nicotinic acetylcholine receptor alpha8 subunit 
Tk	NM_001011576.1	 tachykinin 
Dl	NM_001011577.1	 dorsal 
Vg	NM_001011578.1	 vitellogenin 
Mrjp1	NM_001011579.1	 major royal jelly protein 1 
Mrjp2	NM_001011580.1	 major royal jelly protein 2 
For	NM_001011581.1	 cGMP-dependent protein kinase foraging 
LOC406093	NM_001011582.1	 apisimin 
CSP3	NM_001011583.2	 chemosensory protein 3 
SP34	NM_001011584.1	 serine protease 34 
LOC406096	NM_001011585.1	 type I inositol 1,4,5-trisphosphate 5-phosphatase 
IF-2mt	NM_001011586.1	 translation initiation factor 2 
RpL32	NM_001011587.1	 ribosomal protein L32 
Obp5	NM_001011588.1	 odorant binding protein 5 
Obp4	NM_001011589.1	 odorant binding protein 4 
Obp1	NM_001011590.1	 odorant binding protein 1 
Obp2	NM_001011591.1	 odorant binding protein 2 
Tspan6	NM_001011592.1	 tetraspanin 6 
Obp6	NM_001011593.1	 odorant binding protein 6 
TyrR	NM_001011594.1	 tyramine receptor 
Dop1	NM_001011595.1	 dopamine receptor, D1 
Per	NM_001011596.1	 period circadian protein 
Eaat-2	NM_001011597.1	 excitatory amino acid transporter 2 
LOC406114	NM_001011598.1	 alpha-amylase 
Mrjp5	NM_001011599.1	 major royal jelly protein 5 
HEX70b	NM_001011600.1	 hexamerin 70b 
Mrjp3	NM_001011601.1	 major royal jelly protein 3 
Psq	NM_001011602.1	 pipsqueak 
Argk	NM_001011603.1	 arginine kinase 
Rps8	NM_001011604.3	 ribosomal protein S8 
Uvop	NM_001011605.1	 ultraviolet-sensitive opsin 
Blop	NM_001011606.1	 blue-sensitive opsin 
Melt	NM_001011607.2	 melittin 
Hbg3	NM_001011608.1	 alpha-glucosidase 
Mrjp4	NM_001011610.1	 major royal jelly protein 4 
Mcdp	NM_001011611.2	 mast cell-degranulating peptide 
Apamin	NM_001011612.1	 apamin protein 
Apid1	NM_001011613.1	 apidaecin 1 
Pla2	NM_001011614.1	 phospholipase A2 
LOC406142	NM_001011615.1	 hymenoptaecin 
Def1	NM_001011616.2	 defensin 1 
LOC406144	NM_001011617.1	 abaecin 
LOC406145	NM_001011618.1	 secapin 
LOC406146	NM_001011619.1	 hyaluronoglucosaminidase 
LOC406147	NM_001011620.1	 short-chain dehydrogenase/reductase 
nAChRa7	NM_001011621.1	 nicotinic acetylcholine receptor alpha7 subunit 
Mrjp6	NM_001011622.1	 major royal jelly protein 6 
Glurb	NM_001011623.1	 metabotropic glutamate receptor B 
mGlutR1	NM_001011624.1	 metabotropic glutamate receptor 1 
nAChRa2	NM_001011625.2	 nicotinic acetylcholine receptor alpha2 subunit 
PRF	NM_001011626.2	 profilin 
PPO	NM_001011627.1	 phenoloxidase subunit A3 
Ef-1a-f1	NM_001011628.2	 translation elongation factor eEF-1 alpha chain 
Mblk-1	NM_001011629.1	 transcription factor mblk-1-like 
Fabp	NM_001011630.1	 fatty acid binding protein 
E74	NM_001011631.1	 ecdysteroid-regulated gene E74 
Gycbeta1	NM_001011632.2	 guanylate cyclase, soluble, beta 1 
TyHyd	NM_001011633.1	 tyrosine hydroxylase 
Usp	NM_001011634.2	 ultraspiracle 
Y-f	NM_001011635.1	 yellow-f 
Fabp	NM_001011636.1	 FABP-like protein 
Twi	NM_001011637.1	 twist 
Def2	NM_001011638.1	 defensin 2 
Lop1	NM_001011639.2	 long wavelength sensitive opsin 1 
JHBP-1	NM_001011640.1	 take-out-like carrier protein 
Ho	NM_001011641.1	 heme oxygenase 
Gat-1B	NM_001011643.1	 GABA neurotransmitter transporter-1B 
c-mos	NM_001011644.2	 mos protein 
sGC-alpha1	NM_001011650.1	 soluble guanylyl cyclase alpha 1 subunit 
TpnCIIIb	NM_001011652.2	 troponin C type IIIb 
TpnCIIa	NM_001011653.2	 troponin C type IIa 
TpnCIIb	NM_001011654.2	 troponin C type IIb 
LOC503505	NM_001012429.1	 venom protein 2 
crh-BP	NM_001012615.1	 corticotropin releasing hormone binding protein 
