Gene	SocOrigin	Class	Gene_Desc	count	Function
CytC	Halictid	Canon	 mitochondrial cytochrome C 	1	Apoptosis
Dcr-1	Meli, Habro	Canon	 endoribonuclease Dicer-1 	2	RNAi
Dl	AllSol, Habro, Nova	Canon	 dorsal 	3	Humoral
Dl	AllSol, Habro, Nova	Canon	 dorsal 	3	Toll_IMD
LOC100576527	Habro	Canon	 cyclic AMP-dependent transcription factor ATF-2 	1	Toll_IMD
LOC100578537	Halictid	Canon	 UV radiation resistance-associated gene protein 	1	Autophagy
LOC408717	Halictid	Canon	 sialomucin core protein 24 	1	Lysosome
LOC408808	Habro	Canon	 prosaposin 	1	Lysosome
LOC409125	Halictid	Canon	 mitogen-activated protein kinase kinase kinase 4 	1	Toll_IMD
LOC409125	Halictid	Canon	 mitogen-activated protein kinase kinase kinase 4 	1	JNK
LOC409286	Meli	Canon	 stress-activated protein kinase JNK 	1	Autophagy
LOC409286	Meli	Canon	 stress-activated protein kinase JNK 	1	Apoptosis
LOC409286	Meli	Canon	 stress-activated protein kinase JNK 	1	JNK
LOC409286	Meli	Canon	 stress-activated protein kinase JNK 	1	Toll_IMD
LOC409336	Meli, Nova	Canon	 sialin 	2	Lysosome
LOC409529	Meli	Canon	 ras-like protein 2 	1	Autophagy
LOC409791	Meli	Canon	 cAMP-dependent protein kinase catalytic subunit 	1	Autophagy
LOC409920	Meli	Canon	 ubiquitin-conjugating enzyme E2 variant 2 	1	Toll_IMD
LOC410183	Apis	Canon	 1-phosphatidylinositol 3-phosphate 5-kinase 	1	Phagosome
LOC410575	Halictid	Canon	 dual specificity mitogen-activated protein kinase kinase 4 	1	JNK
LOC410732	Meli	Canon	 3-phosphoinositide-dependent protein kinase 1 	1	Autophagy
LOC410812	Meli	Canon	 ras-like protein 1 	1	Autophagy
LOC410860	AllComplex, Meli	Canon	 battenin 	2	Lysosome
LOC411115	Apis, Halictid	Canon	 baculoviral IAP repeat-containing protein 6 	2	Apoptosis
LOC411639	Meli	Canon	 cytoplasmic dynein 2 heavy chain 1 	1	Phagosome
LOC411892	Nova	Canon	 V-type proton ATPase subunit C 	1	Phagosome
LOC412278	Halictid	Canon	 tuberin 	1	Autophagy
