#Immune GO terms

GO:0090382	phagosome maturation
GO:0006915	apoptotic process
GO:0002812	biosynthetic process of antibacterial peptides active against Gram-negative bacteria
GO:0019731	antibacterial humoral response
GO:0002778	antibacterial peptide production
GO:0002780	antibacterial peptide biosynthetic process
GO:0042981	regulation of apoptotic process
GO:0002786	regulation of antibacterial peptide production
GO:0006964	positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria
GO:0002225	positive regulation of antimicrobial peptide production
GO:0002922	positive regulation of humoral immune response
GO:0002699	positive regulation of immune effector process
GO:0006963	positive regulation of antibacterial peptide biosynthetic process
GO:0002803	positive regulation of antibacterial peptide production
GO:0002807	positive regulation of antimicrobial peptide biosynthetic process
GO:0002808	regulation of antibacterial peptide biosynthetic process
GO:0002760	positive regulation of antimicrobial humoral response
GO:0002702	positive regulation of production of molecular mediator of immune response
GO:0061057	peptidoglycan recognition protein signaling pathway
GO:0050829	defense response to Gram-negative bacterium
GO:0002230	positive regulation of defense response to virus by host
GO:0050691	regulation of defense response to virus by host
GO:0043507	positive regulation of JUN kinase activity
GO:0043506	regulation of JUN kinase activity
GO:1900426	positive regulation of defense response to bacterium
GO:0050688	regulation of defense response to virus
GO:1900424	regulation of defense response to bacterium
GO:0002764	immune response-regulating signaling pathway
GO:0045335	phagocytic vesicle
GO:0000323	lytic vacuole
GO:0004708	MAP kinase kinase activity
GO:0002230	positive regulation of defense response to virus by host
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0043507	positive regulation of JUN kinase activity
GO:0043506	regulation of JUN kinase activity
GO:0061057	peptidoglycan recognition protein signaling pathway
GO:0019731	antibacterial humoral response
GO:0050829	defense response to Gram-negative bacterium
GO:0002778	antibacterial peptide production
GO:0002780	antibacterial peptide biosynthetic process
GO:0007040	lysosome organization
GO:0045752	positive regulation of Toll signaling pathway
GO:0050777	negative regulation of immune response
GO:1900425	negative regulation of defense response to bacterium
GO:0050766	positive regulation of phagocytosis
GO:0009615	response to virus
GO:0035099	hemocyte migration
GO:0000165	MAPK cascade
GO:0090303	positive regulation of wound healing
GO:0007254	JNK cascade
GO:0019731	antibacterial humoral response
GO:0045087	innate immune response
GO:0050829	defense response to Gram-negative bacterium
GO:0002250	adaptive immune response
GO:0016442	RISC complex
GO:0070578	RISC-loading complex
GO:0031332	RNAi effector complex
GO:0005777	peroxisome
GO:0043331	response to dsRNA
GO:0071359	cellular response to dsRNA
GO:1900744	regulation of p38MAPK cascade
GO:0032418	lysosome localization
GO:0043652	engulfment of apoptotic cell
GO:0002682	regulation of immune system process
GO:0035087	siRNA loading onto RISC involved in RNA interference
GO:0030422	production of siRNA involved in RNA interference
GO:0008545	JUN kinase kinase activity
GO:0043921	modulation by host of viral transcription
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0015643	toxic substance binding
GO:0043406	positive regulation of MAP kinase activity
GO:0043405	regulation of MAP kinase activity
GO:0009410	response to xenobiotic stimulus
GO:0004709	MAP kinase kinase kinase activity
GO:0042387	plasmatocyte differentiation
GO:1904892	regulation of receptor signaling pathway via STAT
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT
GO:1904894	positive regulation of receptor signaling pathway via STAT
GO:0046425	regulation of receptor signaling pathway via JAK-STAT
GO:0042246	tissue regeneration
GO:0042060	wound healing
GO:0042381	hemolymph coagulation
GO:0043407	negative regulation of MAP kinase activi...
GO:0046329	negative regulation of JNK cascade
GO:0043409	negative regulation of MAPK cascade
GO:0002764	immune response-regulating signaling pathway
GO:0061057	peptidoglycan recognition protein signaling pathway
GO:0030882	lipid antigen binding
GO:0061783	peptidoglycan muralytic activity
GO:0002252	immune effector process
GO:0050776	regulation of immune response
GO:0002784	regulation of antimicrobial peptide production
GO:0002920	regulation of humoral immune response
GO:0002684	positive regulation of immune system process
GO:0002700	regulation of production of molecular mediator of immune response
GO:0072593	reactive oxygen species metabolic process
GO:0019731	antibacterial humoral response
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0002775	antimicrobial peptide production
GO:0009620	response to fungus
GO:0070725	Yb body
GO:0043293	apoptosome
GO:0031332	RNAi effector complex
GO:0045335	phagocytic vesicle
GO:0046790	virion binding
GO:0001872	(1->3)-beta-D-glucan binding
GO:0004679	AMP-activated protein kinase activity
GO:0005121	Toll binding
GO:0016716	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen
GO:0098586	cellular response to virus

