#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
NM_001011563.1	Jhe	NP_001011563.1	NonCanon
NM_001011570.1	Vha16	NP_001011570.1	Canon
NM_001011574.1	LOC406081	NP_001011574.1	NonCanon
NM_001011578.1	Vg	NP_001011578.1	NonCanon
NM_001011579.1	Mrjp1	NP_001011579.1	NonCanon
NM_001011592.1	Tspan6	NP_001011592.1	Canon
NM_001011598.1	LOC406114	NP_001011598.1	NonCanon
NM_001011600.1	HEX70b	NP_001011600.1	NonCanon
NM_001011607.2	Melt	NP_001011607.1	NonCanon
NM_001011608.1	Hbg3	NP_001011608.1	NonCanon
NM_001011610.1	Mrjp4	NP_001011610.1	NonCanon
NM_001011613.1	Apid1	NP_001011613.1	Canon
NM_001011615.1	LOC406142	NP_001011615.1	Canon
NM_001011616.2	Def1	NP_001011616.2	Canon
NM_001011619.1	LOC406146	NP_001011619.1	NonCanon
NM_001011627.1	PPO	NP_001011627.1	Canon
NM_001011634.2	Usp	NP_001011634.1	NonCanon
NM_001011638.1	Def2	NP_001011638.1	Canon
NM_001011643.1	Gat-1B	NP_001011643.1	NonCanon
NM_001012962.1	NOS	NP_001012980.1	Canon
NM_001014429.1	Mrjp7	NP_001014429.1	NonCanon
NM_001040206.1	Obp21	NP_001035296.1	NonCanon
NM_001040207.1	Obp17	NP_001035297.1	NonCanon
NM_001040230.1	AChE-2	NP_001035320.1	NonCanon
NM_001040681.1	Tert	NP_001035771.1	NonCanon
NM_001077818.1	SsRbeta	NP_001071286.1	NonCanon
NM_001077819.1	CSP6	NP_001071287.1	NonCanon
NM_001077820.1	CSP1	NP_001071288.1	NonCanon
NM_001085344.1	Apd-3	NP_001078813.1	NonCanon
NM_001085345.1	Apd-1	NP_001078814.1	NonCanon
NM_001097154.2	Tpi	NP_001090623.1	NonCanon
NM_001098215.2	Ecr	NP_001091685.2	NonCanon
NM_001123013.2	Dcr-1	NP_001116485.2	Canon
NM_001126244.1	Est-6	NP_001119716.1	NonCanon
NM_001131037.1	Dll	NP_001124509.1	NonCanon
NM_001134227.1	LOC408474	NP_001127699.1	NonCanon
NM_001134934.1	Gat-a	NP_001128406.1	NonCanon
NM_001134942.1	Rnft2	NP_001128414.1	NonCanon
NM_001134947.1	LOC406105	NP_001128419.1	NonCanon
NM_001134949.1	Gfat2	NP_001128421.1	NonCanon
NM_001135905.1	Rpl39	NP_001129377.1	NonCanon
NM_001136187.1	LOC725609	NP_001129659.1	NonCanon
NM_001142461.1	Tmem98	NP_001135933.1	NonCanon
NM_001142609.1	LOC726134	NP_001136081.1	NonCanon
NM_001142656.2	GstS4	NP_001136128.1	NonCanon
NM_001159303.1	LOC410451	NP_001152775.1	NonCanon
NM_001160270.1	GstS1	NP_001153742.1	NonCanon
NM_001161709.2	Smb	NP_001155181.1	NonCanon
NM_001161787.1	LOC100302106	NP_001155259.1	NonCanon
NM_001161831.1	Ndufs5	NP_001155303.1	NonCanon
NM_001162513.1	Pten	NP_001155985.1	Canon
NM_001163463.1	Ndufb2	NP_001156935.1	NonCanon
NM_001163712.1	cact1	NP_001157184.1	Canon
NM_001163714.1	B-gluc1	NP_001157186.1	Canon
NM_001163715.1	PGRP-S3	NP_001157187.1	Canon
NM_001163717.1	Imd	NP_001157189.1	Canon
NM_001165906.1	aub	NP_001159378.1	Canon
NM_001167893.1	CPR19	NP_001161365.1	NonCanon
NM_001168336.1	Snf	NP_001161808.1	NonCanon
NM_001170974.1	GlnS	NP_001164445.1	NonCanon
NM_001171006.1	Dl	NP_001164477.1	Canon
NM_001171051.1	Dnmt1a	NP_001164522.1	NonCanon
NM_001172403.1	Cox6b1	NP_001165874.1	NonCanon
NM_001172718.1	LOC100379261	NP_001166189.1	NonCanon
NM_001174143.1	RpL35	NP_001167614.1	NonCanon
NM_001177490.1	CytC	NP_001170961.1	Canon
NM_001178028.1	GstD1	NP_001171499.1	NonCanon
NM_001185145.1	Arp1	NP_001172074.1	Canon
NM_001190421.1	Dnmt3	NP_001177350.1	NonCanon
NM_001190814.1	Uqcr11	NP_001177743.1	NonCanon
NM_001205062.1	CYP6AQ1	NP_001191991.1	NonCanon
NM_001206467.1	Jtb	NP_001193396.1	NonCanon
NM_001242436.1	STT3B	NP_001229365.1	NonCanon
NM_001242441.1	LOC726239	NP_001229370.1	NonCanon
NM_001242544.1	Ppib	NP_001229473.1	NonCanon
NM_001242556.1	egh	NP_001229485.1	NonCanon
NM_001270813.1	CPR14	NP_001257742.1	NonCanon
NM_001278329.1	rtGEF	NP_001265258.1	NonCanon
NM_001278332.1	LOC551304	NP_001265261.1	NonCanon
NM_001278336.1	LOC551420	NP_001265265.1	NonCanon
NM_001278705.1	LOC552716	NP_001265634.1	NonCanon
NM_001319269.1	LOC726419	NP_001306198.1	NonCanon
NM_001327967.1	LOC724216	NP_001314896.1	NonCanon
XM_001119885.4	LOC724188	XP_001119885.1	Canon
XM_001119891.5	LOC724794	XP_001119891.2	NonCanon
XM_001119897.5	LOC724326	XP_001119897.1	NonCanon
XM_001119898.5	LOC724408	XP_001119898.1	Canon
XM_001119937.5	LOC724625	XP_001119937.1	NonCanon
XM_001119944.5	LOC724365	XP_001119944.1	NonCanon
XM_001119992.5	LOC724223	XP_001119992.2	Canon
XM_001119998.5	LOC724486	XP_001119998.2	NonCanon
XM_001120006.5	LOC724367	XP_001120006.2	NonCanon
XM_001120025.5	LOC724873	XP_001120025.2	Canon
XM_001120032.5	LOC724239	XP_001120032.3	NonCanon
XM_001120034.5	LOC724241	XP_001120034.1	NonCanon
XM_001120040.5	LOC724247	XP_001120040.2	NonCanon
XM_001120069.5	LOC725184	XP_001120069.1	Canon
XM_001120100.5	LOC724296	XP_001120100.2	NonCanon
XM_001120146.5	LOC725316	XP_001120146.1	NonCanon
XM_001120160.5	LOC724339	XP_001120160.2	NonCanon
XM_001120164.5	LOC724343	XP_001120164.2	NonCanon
XM_001120188.4	LOC725142	XP_001120188.1	NonCanon
XM_001120194.5	LOC724488	XP_001120194.1	NonCanon
XM_001120220.5	LOC724386	XP_001120220.1	Canon
XM_001120245.5	LOC725143	XP_001120245.2	NonCanon
XM_001120246.5	LOC726428	XP_001120246.1	NonCanon
XM_001120253.5	LOC725416	XP_001120253.1	NonCanon
XM_001120351.4	LOC725309	XP_001120351.1	NonCanon
XM_001120383.5	LOC724510	XP_001120383.2	NonCanon
XM_001120404.5	LOC726221	XP_001120404.1	NonCanon
XM_001120412.5	LOC725566	XP_001120412.2	NonCanon
XM_001120416.4	LOC725719	XP_001120416.2	NonCanon
XM_001120432.4	LOC724543	XP_001120432.1	Canon
XM_001120439.5	LOC724550	XP_001120439.3	Canon
XM_001120449.5	LOC724560	XP_001120449.2	NonCanon
XM_001120472.5	LOC725183	XP_001120472.1	NonCanon
XM_001120479.4	LOC725572	XP_001120479.1	NonCanon
XM_001120535.5	LOC724644	XP_001120535.2	NonCanon
XM_001120540.5	LOC724648	XP_001120540.2	NonCanon
XM_001120565.5	LOC726446	XP_001120565.2	NonCanon
XM_001120568.5	LOC726297	XP_001120568.1	NonCanon
XM_001120576.5	LOC724685	XP_001120576.2	NonCanon
XM_001120594.5	LOC724703	XP_001120594.2	Canon
XM_001120601.5	LOC724710	XP_001120601.2	NonCanon
XM_001120607.5	LOC725641	XP_001120607.1	NonCanon
XM_001120633.5	LOC724741	XP_001120633.2	NonCanon
XM_001120659.5	LOC724762	XP_001120659.3	NonCanon
XM_001120666.5	LOC724769	XP_001120666.1	NonCanon
XM_001120685.4	LOC724786	XP_001120685.1	NonCanon
XM_001120690.4	LOC724790	XP_001120690.1	NonCanon
XM_001120695.5	LOC726118	XP_001120695.1	NonCanon
XM_001120728.5	LOC724827	XP_001120728.1	NonCanon
XM_001120773.4	LOC726409	XP_001120773.1	NonCanon
XM_001120774.5	LOC726850	XP_001120774.1	NonCanon
XM_001120785.5	LOC724885	XP_001120785.2	NonCanon
XM_001120788.4	LOC724888	XP_001120788.1	NonCanon
XM_001120796.5	LOC724896	XP_001120796.1	NonCanon
XM_001120800.5	LOC726521	XP_001120800.1	NonCanon
XM_001120832.4	LOC724932	XP_001120832.2	NonCanon
XM_001120852.5	LOC724951	XP_001120852.2	NonCanon
