#List of canonical genes based on Apis mellifera HaV3.1 
#Immune fuction is divided into Recognition, Signalling or Effector

Gene	Function
18-w	Recognition
Apid1	Effector
Arp1	Signalling
aub	Signalling
B-gluc1	Recognition
cact1	Signalling
CytC	Signalling
Dcr-1	Recognition
Def1	Effector
Def2	Effector
Dl	Signalling
Imd	Signalling
LOC100576380	Effector
LOC100576527	Signalling
LOC100576742	Recognition
LOC100576745	Recognition
LOC100576819	Signalling
LOC100577249	Effector
LOC100577408	Signalling
LOC100577548	Signalling
LOC100577690	Signalling
LOC100577764	Recognition
LOC100577844	Recognition
LOC100577943	Recognition
LOC100578030	Signalling
LOC100578084	Recognition
LOC100578156	Signalling
LOC100578356	Signalling
LOC100578534	Signalling
LOC100578534	Signalling
LOC100578537	Effector
LOC100578966	Recognition
LOC102654182	Recognition
LOC102656107	Signalling
LOC102656893	Effector
LOC102656905	Signalling
LOC406097	Recognition
LOC406139	Signalling
LOC406142	Effector
LOC408358	Effector
LOC408388	Signalling
LOC408438	Signalling
LOC408501	Signalling
LOC408533	Signalling
LOC408544	Recognition
LOC408561	Recognition
LOC408782	Signalling
LOC408834	Signalling
LOC408848	Recognition
LOC408852	Signalling
LOC408924	Recognition
LOC408926	Effector
LOC408953	Effector
LOC409036	Signalling
LOC409051	Signalling
LOC409055	Signalling
LOC409074	Signalling
LOC409125	Signalling
LOC409165	Signalling
LOC409187	Recognition
LOC409226	Signalling
LOC409228	Recognition
LOC409286	Signalling
LOC409341	Effector
LOC409386	Signalling
LOC409393	Signalling
LOC409405	Signalling
LOC409495	Signalling
LOC409523	Signalling
LOC409529	Signalling
LOC409577	Signalling
LOC409663	Effector
LOC409667	Signalling
LOC409725	Signalling
LOC409791	Signalling
LOC409920	Signalling
LOC409925	Signalling
LOC409941	Signalling
LOC409946	Signalling
LOC410031	Signalling
LOC410183	Signalling
LOC410229	Recognition
LOC410231	Recognition
LOC410235	Recognition
LOC410257	Signalling
LOC410415	Signalling
LOC410510	Signalling
LOC410515	Effector
LOC410555	Recognition
LOC410559	Signalling
LOC410575	Signalling
LOC410614	Signalling
LOC410719	Signalling
LOC410732	Signalling
LOC410812	Signalling
LOC410994	Signalling
LOC410996	Signalling
LOC411012	Signalling
LOC411115	Signalling
LOC411270	Signalling
LOC411295	Signalling
LOC411381	Signalling
LOC411519	Signalling
LOC411566	Signalling
LOC411577	Effector
LOC411613	Signalling
LOC411639	Signalling
LOC411712	Signalling
LOC411816	Signalling
LOC411888	Effector
LOC411892	Signalling
LOC411915	Signalling
LOC411980	Signalling
LOC412013	Effector
LOC412115	Signalling
LOC412235	Signalling
LOC412278	Signalling
LOC412279	Effector
LOC412536	Signalling
LOC412630	Recognition
LOC412647	Signalling
LOC412687	Signalling
LOC412703	Recognition
LOC412774	Effector
LOC412788	Recognition
LOC412791	Signalling
LOC412810	Signalling
LOC412816	Signalling
LOC412825	Effector
LOC412886	Signalling
LOC413025	Effector
LOC413054	Effector
LOC413126	Signalling
LOC413153	Signalling
LOC413194	Signalling
LOC413369	Effector
LOC413374	Signalling
LOC413389	Signalling
LOC413394	Signalling
LOC413408	Recognition
LOC413409	Signalling
LOC413411	Signalling
LOC413430	Signalling
LOC413543	Effector
LOC413592	Effector
LOC413663	Signalling
LOC413668	Signalling
LOC413742	Signalling
LOC413749	Signalling
LOC413772	Signalling
LOC413782	Signalling
LOC413809	Signalling
LOC550671	Signalling
LOC550710	Signalling
LOC550735	Signalling
LOC550827	Signalling
LOC551036	Signalling
LOC551057	Signalling
LOC551093	Signalling
LOC551100	Signalling
LOC551176	Signalling
LOC551198	Signalling
LOC551369	Signalling
LOC551384	Signalling
LOC551467	Signalling
LOC551500	Signalling
LOC551517	Signalling
LOC551544	Effector
LOC551554	Signalling
LOC551608	Signalling
LOC551668	Signalling
LOC551721	Signalling
LOC551793	Recognition
LOC551819	Signalling
LOC551922	Recognition
LOC551961	Signalling
LOC551969	Signalling
LOC551970	Effector
LOC551980	Signalling
LOC552036	Signalling
LOC552038	Signalling
LOC552062	Effector
LOC552138	Signalling
LOC552150	Signalling
LOC552154	Effector
LOC552197	Signalling
LOC552201	Signalling
LOC552247	Signalling
LOC552315	Signalling
LOC552410	Signalling
LOC552419	Signalling
LOC552476	Signalling
LOC552528	Signalling
LOC552549	Signalling
LOC552571	Signalling
LOC552629	Effector
LOC552637	Signalling
LOC552720	Signalling
LOC552756	Effector
LOC552766	Signalling
LOC724169	Signalling
LOC724187	Recognition
LOC724188	Signalling
LOC724223	Signalling
LOC724291	Signalling
LOC724386	Recognition
LOC724408	Signalling
LOC724421	Effector
LOC724466	Effector
LOC724541	Effector
LOC724543	Signalling
LOC724703	Signalling
LOC724793	Signalling
LOC724873	Signalling
LOC724899	Effector
LOC724917	Signalling
LOC724930	Signalling
LOC724930	Signalling
LOC724950	Recognition
LOC725024	Signalling
LOC725038	Recognition
LOC725041	Recognition
LOC725068	Signalling
LOC725088	Signalling
LOC725111	Effector
LOC725154	Signalling
LOC725158	Recognition
LOC725169	Effector
LOC725184	Signalling
LOC725237	Effector
LOC725263	Signalling
LOC725273	Effector
LOC725368	Signalling
LOC725374	Signalling
LOC725388	Signalling
LOC725404	Signalling
LOC725413	Effector
LOC725512	Signalling
LOC725551	Signalling
LOC725571	Signalling
LOC725661	Signalling
LOC725766	Signalling
LOC725770	Signalling
LOC725832	Receptor
LOC725870	Recognition
LOC726002	Signalling
LOC726172	Signalling
LOC726197	Signalling
LOC726269	Effector
LOC726286	Signalling
LOC726289	Signalling
LOC726309	Recognition
LOC726320	Signalling
LOC726497	Signalling
