Gene	3hit	2hit
LOC100576162	Pass	Pass
LOC100576165	Fail	Fail
LOC100576640	Pass	Pass
LOC100576915	Pass	Pass
LOC100577958	Pass	Pass
LOC100577972	Pass	Pass
LOC100578363	Pass	Pass
LOC100578382	Fail	Fail
LOC100578587	Pass	Pass
LOC100578947	Pass	Pass
LOC408551	Pass	Pass
LOC408552	Pass	Pass
LOC408565	Fail	Fail
LOC408878	Pass	Pass
LOC408889	Fail	Fail
LOC408959	Pass	Pass
LOC409111	Pass	Pass
LOC409749	Fail	Fail
LOC409928	Fail	Fail
LOC410057	Pass	Pass
LOC410070	Pass	Pass
LOC410289	Pass	Pass
LOC410485	Pass	Pass
LOC410571	Pass	Pass
LOC410755	Fail	Fail
LOC410925	Pass	Pass
LOC411053	Pass	Pass
LOC411104	Pass	Pass
LOC411526	Pass	Pass
LOC411809	Fail	Fail
LOC411882	Fail	Fail
LOC412000	Pass	Pass
LOC412018	Fail	Fail
LOC412296	Fail	Fail
LOC412508	Pass	Pass
LOC413467	Pass	Fail
LOC413782	Fail	Fail
LOC551012	Pass	Pass
LOC551308	Fail	Fail
LOC551779	Fail	Fail
LOC552245	Fail	Fail
LOC552414	Pass	Pass
LOC724237	Fail	Fail
LOC724290	Fail	Fail
LOC724356	Fail	Fail
LOC724399	Fail	Fail
LOC724483	Fail	Fail
LOC724569	Pass	Pass
LOC725105	Fail	Fail
LOC725618	Fail	Fail
LOC725732	Pass	Pass
LOC726407	Pass	Pass
LOC726416	Pass	Pass
LOC727079	Fail	Fail
LOC727634	Fail	Fail
Rpn1	Fail	Fail
Tg	Pass	Pass
Vg	Pass	Pass
