Gene	Class	Gene_Desc	SocOrigin	count	Function.x	Function.y	Function
CytC	Canon	 mitochondrial cytochrome C 	Halictid	1	Apoptosis	Apoptosis	Apoptosis
Dcr-1	Canon	 endoribonuclease Dicer-1 	Meli, Habro	2	RNAi	RNAi	RNAi
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Toll_IMD	Humoral	Humoral
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Toll_IMD	Humoral	Toll_IMD
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Toll_IMD	Toll_IMD	Humoral
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Toll_IMD	Toll_IMD	Toll_IMD
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Humoral	Humoral	Humoral
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Humoral	Humoral	Toll_IMD
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Humoral	Toll_IMD	Humoral
Dl	Canon	 dorsal 	AllSol, Habro, Nova	3	Humoral	Toll_IMD	Toll_IMD
LOC100576527	Canon	 cyclic AMP-dependent transcription factor ATF-2 	Habro	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC100576742	Canon	 integrin beta-nu 	Halictid	1	Phagosome	Phagosome	Phagosome
LOC100578537	Canon	 UV radiation resistance-associated gene protein 	Halictid	1	Autophagy	Autophagy	Autophagy
LOC406097	Canon	 integrin beta-PS 	Mega	1	Phagosome	Phagosome	Phagosome
LOC408717	Canon	 sialomucin core protein 24 	Halictid	1	Lysosome	Lysosome	Lysosome
LOC408808	Canon	 prosaposin 	Halictid, Habro	2	Lysosome	Lysosome	Lysosome
LOC409036	Canon	 GTP-binding protein Rheb homolog 	Halictid	1	Autophagy	Autophagy	Autophagy
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	Toll_IMD	JNK	JNK
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	Toll_IMD	JNK	Toll_IMD
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	Toll_IMD	Toll_IMD	JNK
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	JNK	JNK	JNK
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	JNK	JNK	Toll_IMD
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	JNK	Toll_IMD	JNK
LOC409125	Canon	 mitogen-activated protein kinase kinase kinase 4 	Halictid	1	JNK	Toll_IMD	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Apoptosis	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Apoptosis	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Apoptosis	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Apoptosis	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Toll_IMD	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Toll_IMD	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Toll_IMD	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Toll_IMD	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	JNK	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	JNK	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	JNK	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	JNK	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Autophagy	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Autophagy	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Autophagy	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Autophagy	Autophagy	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Apoptosis	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Apoptosis	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Apoptosis	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Apoptosis	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Toll_IMD	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Toll_IMD	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Toll_IMD	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	JNK	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	JNK	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	JNK	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	JNK	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Autophagy	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Autophagy	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Autophagy	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Toll_IMD	Autophagy	Autophagy
