Comparison	Z	P.unadj	P.adj
Background - Effector	1.5579758174153	0.119238980774731	1
Background - Non-Canon Immune	-16.1819312389265	6.76391214060837e-59	6.76391214060837e-58
Effector - Non-Canon Immune	-8.33237191107039	7.9238568394002e-17	7.9238568394002e-16
Background - Receptor	-9.8907108653132	4.56772734684486e-23	4.56772734684486e-22
Effector - Receptor	-8.31609233188747	9.09110066826285e-17	9.09110066826284e-16
Non-Canon Immune - Receptor	-2.56778223903199	0.0102351430330083	0.102351430330083
Background - Signalling	11.450348544193	2.34201919420397e-30	2.34201919420397e-29
Effector - Signalling	3.60038432004149	0.000317747173190957	0.00317747173190957
Non-Canon Immune - Signalling	19.7193611161071	1.47074480616532e-86	1.47074480616532e-85
Receptor - Signalling	13.7779691555455	3.45865427185988e-43	3.45865427185988e-42
