TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0000502	proteasome_complex	0.496	1.003	9.506	1.771	-1.461	0.919	0.000	-1	False
GO:1905369	endopeptidase_complex	0.539	null	null	1.806	-1.461	0.919	0.915	502	True
GO:0061689	tricellular_tight_junction	0.043	5.537	4.180	0.778	-2.367	0.758	0.000	-1	False
GO:0005920	smooth_septate_junction	0.060	null	null	0.903	-2.222	0.754	0.749	61689	True
GO:0044754	autolysosome	0.077	0.036	-0.245	1.000	-2.167	0.921	0.003	-1	False
GO:0016328	lateral_plasma_membrane	0.188	-4.162	6.853	1.362	-1.991	0.849	0.003	-1	False
GO:0031252	cell_leading_edge	1.087	6.357	-1.265	2.107	-1.554	0.993	0.004	-1	False
GO:0043186	P_granule	0.325	-4.457	-2.904	1.591	-1.640	0.729	0.082	-1	False
GO:0035770	ribonucleoprotein_granule	0.813	null	null	1.982	-1.335	0.844	0.623	43186	True
GO:0036464	cytoplasmic_ribonucleoprotein_granule	0.804	null	null	1.978	-1.344	0.788	0.905	43186	True
GO:0060293	germ_plasm	0.342	null	null	1.613	-1.611	0.845	0.956	43186	True
GO:0045169	fusome	0.334	3.404	-3.924	1.602	-1.625	0.919	0.092	-1	False
GO:0045495	pole_plasm	0.419	-0.774	-4.733	1.699	-1.542	0.917	0.094	-1	False
GO:0048471	perinuclear_region_of_cytoplasm	0.804	-6.558	0.406	1.978	-1.385	0.913	0.102	-1	False
GO:0099738	cell_cortex_region	0.642	-4.972	5.137	1.881	-1.441	0.744	0.262	-1	False
GO:0045179	apical_cortex	0.462	null	null	1.740	-1.517	0.750	0.794	99738	True
GO:0016327	apicolateral_plasma_membrane	0.197	-3.429	5.820	1.380	-1.793	0.780	0.275	-1	False
GO:0097060	synaptic_membrane	0.719	null	null	1.929	-1.658	0.574	0.598	16327	True
GO:0016323	basolateral_plasma_membrane	0.334	null	null	1.602	-1.472	0.772	0.628	16327	True
GO:0014069	postsynaptic_density	0.137	5.577	5.171	1.230	-2.292	0.718	0.399	-1	False
GO:0045211	postsynaptic_membrane	0.496	null	null	1.771	-1.793	0.566	0.810	14069	True
GO:0061176	type_Ib_terminal_bouton	0.068	4.819	5.265	0.954	-2.167	0.734	0.459	-1	False
GO:0071212	subsynaptic_reticulum	0.103	null	null	1.114	-2.071	0.668	0.855	61176	True
