TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0005789", "endoplasmic reticulum membrane", 3.286, 4.797, -3.640, 2.585, -2.367, 0.741, 0.000, -1, False
"GO:0098827", "endoplasmic reticulum subcompartment", 3.329, null, null, 2.591, -2.328, 0.785, 0.833, 5789, True
"GO:0033185", "dolichol-phosphate-mannose synthase complex", 0.026, -6.393, -0.557, 0.602, -2.523, 0.826, 0.000, -1, False
"GO:0016020", "membrane", 35.695, 2.394, 5.844, 3.620, -1.530, 0.991, 0.009, -1, False
"GO:0032302", "MutSbeta complex", 0.009, -4.252, -4.759, 0.301, -2.523, 0.686, 0.126, -1, False
"GO:0032301", "MutSalpha complex", 0.017, null, null, 0.477, -2.222, 0.680, 0.884, 32302, True
"GO:0045121", "membrane raft", 0.111, 1.932, -7.224, 1.146, -1.625, 0.951, 0.130, -1, False
"GO:0098857", "membrane microdomain", 0.111, 5.660, 0.654, 1.146, -1.625, 0.951, 0.130, -1, False
"GO:0000408", "EKC/KEOPS complex", 0.034, -4.574, 3.918, 0.699, -2.222, 0.868, 0.136, -1, False
"GO:0017101", "aminoacyl-tRNA synthetase multienzyme complex", 0.086, -2.241, 1.282, 1.041, -1.575, 0.845, 0.147, -1, False
"GO:0005658", "alpha DNA polymerase:primase complex", 0.034, -5.369, -2.389, 0.699, -2.051, 0.737, 0.373, -1, False
