TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006265", "DNA topological change", 0.062, 5.786, -0.295, 0.903, -2.553, 0.659, 0.000, -1, False
"GO:0000724", "double-strand break repair via homologous recombination", 0.538, null, null, 1.792, -1.690, 0.648, 0.557, 6265, True
"GO:0006310", "DNA recombination", 0.881, null, null, 2.004, -1.479, 0.654, 0.706, 6265, True
"GO:0006302", "double-strand break repair", 0.811, null, null, 1.968, -1.509, 0.646, 0.786, 6265, True
"GO:0000725", "recombinational repair", 0.538, null, null, 1.792, -1.690, 0.648, 0.897, 6265, True
"GO:0042246", "tissue regeneration", 0.203, -4.951, -0.767, 1.380, -2.469, 0.958, 0.000, -1, False
"GO:2000177", "regulation of neural precursor cell proliferation", 0.502, -2.633, -5.796, 1.763, -1.625, 0.700, 0.000, -1, False
"GO:0072091", "regulation of stem cell proliferation", 0.106, null, null, 1.114, -1.577, 0.728, 0.634, 2000177, True
"GO:2000178", "negative regulation of neural precursor cell proliferation", 0.159, null, null, 1.279, -1.785, 0.656, 0.655, 2000177, True
"GO:2000647", "negative regulation of stem cell proliferation", 0.053, null, null, 0.845, -1.742, 0.694, 0.721, 2000177, True
"GO:0008285", "negative regulation of cell population proliferation", 0.626, null, null, 1.857, -1.418, 0.667, 0.742, 2000177, True
"GO:0007406", "negative regulation of neuroblast proliferation", 0.159, null, null, 1.279, -1.785, 0.540, 0.881, 2000177, True
"GO:1902692", "regulation of neuroblast proliferation", 0.405, null, null, 1.672, -1.635, 0.674, 0.881, 2000177, True
"GO:0050768", "negative regulation of neurogenesis", 0.370, null, null, 1.633, -1.509, 0.717, 0.911, 2000177, True
"GO:0010721", "negative regulation of cell development", 0.405, -1.662, 6.256, 1.672, -1.437, 0.785, 0.124, -1, False
"GO:0043543", "protein acylation", 1.066, 3.460, -4.690, 2.086, -1.317, 0.769, 0.174, -1, False
"GO:0007405", "neuroblast proliferation", 0.485, -4.756, 1.671, 1.748, -1.348, 0.839, 0.189, -1, False
"GO:0061351", "neural precursor cell proliferation", 0.485, null, null, 1.748, -1.343, 0.913, 0.841, 7405, True
"GO:0000002", "mitochondrial genome maintenance", 0.062, 4.605, 4.445, 0.903, -2.398, 0.931, 0.211, -1, False
"GO:0006367", "transcription initiation from RNA polymerase II promoter", 0.432, 5.617, -4.181, 1.699, -1.471, 0.714, 0.322, -1, False
"GO:0006352", "DNA-templated transcription, initiation", 0.564, null, null, 1.813, -1.437, 0.709, 0.804, 6367, True
"GO:0007064", "mitotic sister chromatid cohesion", 0.106, 5.891, 2.599, 1.114, -2.201, 0.900, 0.392, -1, False
"GO:0016573", "histone acetylation", 0.758, 4.847, 0.036, 1.940, -1.418, 0.551, 0.476, -1, False
"GO:0006473", "protein acetylation", 0.837, null, null, 1.982, -1.387, 0.616, 0.930, 16573, True
"GO:0018394", "peptidyl-lysine acetylation", 0.775, null, null, 1.949, -1.411, 0.609, 0.974, 16573, True
"GO:0006475", "internal protein amino acid acetylation", 0.775, null, null, 1.949, -1.411, 0.609, 0.976, 16573, True
"GO:0018393", "internal peptidyl-lysine acetylation", 0.775, null, null, 1.949, -1.411, 0.608, 0.990, 16573, True
