TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0006013	mannose metabolic process	0.088	7.102	2.401	1.041	-2.519	0.958	0.000	-1	False
GO:0061723	glycophagy	0.096	null	null	1.079	-2.079	0.928	0.531	6013	True
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	0.044	6.678	-2.123	0.778	-1.945	0.838	0.000	-1	False
GO:1902600	proton transmembrane transport	0.859	null	null	1.996	-1.386	0.794	0.565	15988	True
GO:0045819	positive regulation of glycogen catabolic process	0.070	0.243	-0.459	0.954	-2.642	0.904	0.000	-1	False
GO:0010508	positive regulation of autophagy	0.438	null	null	1.708	-1.708	0.896	0.657	45819	True
GO:0034599	cellular response to oxidative stress	0.342	-6.410	-0.271	1.602	-1.761	0.872	0.019	-1	False
GO:0009267	cellular response to starvation	0.736	null	null	1.929	-1.328	0.797	0.543	34599	True
GO:0062197	cellular response to chemical stress	0.377	null	null	1.643	-1.742	0.871	0.562	34599	True
GO:0031668	cellular response to extracellular stimulus	0.806	null	null	1.968	-1.302	0.822	0.967	34599	True
GO:0031669	cellular response to nutrient levels	0.789	null	null	1.959	-1.315	0.822	0.980	34599	True
GO:0099172	presynapse organization	0.193	5.192	4.943	1.362	-1.544	0.942	0.021	-1	False
GO:0072553	terminal button organization	0.114	null	null	1.146	-1.618	0.943	0.630	99172	True
GO:0060729	intestinal epithelial structure maintenance	0.070	-4.209	-5.170	0.954	-2.519	0.919	0.071	-1	False
GO:0006517	protein deglycosylation	0.114	0.403	6.448	1.146	-2.275	0.947	0.092	-1	False
GO:0014067	negative regulation of phosphatidylinositol 3-kinase signaling	0.079	2.445	-7.386	1.000	-2.166	0.887	0.095	-1	False
GO:0032006	regulation of TOR signaling	0.456	null	null	1.724	-1.501	0.885	0.538	14067	True
GO:0032007	negative regulation of TOR signaling	0.140	null	null	1.230	-1.891	0.883	0.659	14067	True
GO:0035096	larval midgut cell programmed cell death	0.237	-4.515	3.693	1.447	-1.821	0.902	0.119	-1	False
GO:0035069	larval midgut histolysis	0.272	null	null	1.505	-1.761	0.924	0.871	35096	True
GO:0045850	positive regulation of nurse cell apoptotic process	0.044	1.312	0.957	0.778	-2.421	0.929	0.220	-1	False
GO:0008088	axo-dendritic transport	0.368	5.862	-3.928	1.633	-1.632	0.755	0.226	-1	False
GO:0030705	cytoskeleton-dependent intracellular transport	0.806	null	null	1.968	-1.378	0.788	0.516	8088	True
GO:0099111	microtubule-based transport	0.718	null	null	1.919	-1.386	0.762	0.774	8088	True
GO:0010970	transport along microtubule	0.692	null	null	1.903	-1.402	0.742	0.927	8088	True
GO:0031929	TOR signaling	0.096	-5.897	-1.507	1.079	-1.386	0.849	0.252	-1	False
GO:2000331	regulation of terminal button organization	0.210	-2.301	-6.003	1.398	-1.800	0.876	0.282	-1	False
GO:0099174	regulation of presynapse organization	0.219	null	null	1.415	-1.780	0.876	0.688	2000331	True
GO:0046777	protein autophosphorylation	0.333	1.368	6.348	1.591	-1.592	0.943	0.314	-1	False
GO:0060033	anatomical structure regression	0.534	-4.122	4.689	1.792	-1.410	0.962	0.321	-1	False
GO:0006810	transport	16.453	6.236	-3.173	3.274	-1.487	0.755	0.398	-1	False
GO:0006811	ion transport	5.371	null	null	2.788	-1.612	0.785	0.624	6810	True
GO:0055085	transmembrane transport	7.237	null	null	2.918	-1.558	0.758	0.666	6810	True
GO:0051234	establishment of localization	16.935	null	null	3.286	-1.450	0.785	0.692	6810	True
GO:0001558	regulation of cell growth	0.753	-0.842	-5.955	1.940	-1.321	0.895	0.456	-1	False
