TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006265", "DNA topological change", 0.062, -5.706, -0.250, 0.903, -3.420, 0.783, 0.000, -1, False
"GO:0006302", "double-strand break repair", 0.811, null, null, 1.968, -2.327, 0.729, 0.576, 6265, True
"GO:0000712", "resolution of meiotic recombination intermediates", 0.079, null, null, 1.000, -1.309, 0.771, 0.588, 6265, True
"GO:0042276", "error-prone translesion synthesis", 0.035, null, null, 0.699, -1.903, 0.745, 0.618, 6265, True
"GO:0006346", "DNA methylation-dependent heterochromatin assembly", 0.465, null, null, 1.724, -1.432, 0.788, 0.657, 6265, True
"GO:0006303", "double-strand break repair via nonhomologous end joining", 0.079, null, null, 1.000, -1.509, 0.768, 0.660, 6265, True
"GO:0071897", "DNA biosynthetic process", 0.405, null, null, 1.672, -1.497, 0.743, 0.681, 6265, True
"GO:0006310", "DNA recombination", 0.881, null, null, 2.004, -2.241, 0.768, 0.737, 6265, True
"GO:0000724", "double-strand break repair via homologous recombination", 0.538, null, null, 1.792, -1.678, 0.730, 0.786, 6265, True
"GO:0019985", "translesion synthesis", 0.070, null, null, 0.954, -1.432, 0.734, 0.880, 6265, True
"GO:0000725", "recombinational repair", 0.538, null, null, 1.792, -1.678, 0.732, 0.897, 6265, True
"GO:0009266", "response to temperature stimulus", 1.190, 1.062, -8.035, 2.134, -1.820, 0.926, 0.000, -1, False
"GO:0046956", "positive phototaxis", 0.035, null, null, 0.699, -1.605, 0.924, 0.516, 9266, True
"GO:0055093", "response to hyperoxia", 0.079, null, null, 1.000, -1.366, 0.919, 0.552, 9266, True
"GO:0036296", "response to increased oxygen levels", 0.088, null, null, 1.041, -1.309, 0.934, 0.706, 9266, True
"GO:0052128", "positive energy taxis", 0.035, null, null, 0.699, -1.605, 0.940, 0.790, 9266, True
"GO:0045475", "locomotor rhythm", 0.538, 2.487, -5.279, 1.792, -2.373, 0.949, 0.000, -1, False
"GO:0048149", "behavioral response to ethanol", 0.485, null, null, 1.748, -1.612, 0.812, 0.553, 45475, True
"GO:0030534", "adult behavior", 1.375, null, null, 2.196, -1.417, 0.875, 0.614, 45475, True
"GO:0007619", "courtship behavior", 0.652, null, null, 1.875, -1.323, 0.874, 0.627, 45475, True
"GO:0007630", "jump response", 0.053, null, null, 0.845, -1.509, 0.897, 0.657, 45475, True
"GO:0045471", "response to ethanol", 0.608, null, null, 1.845, -1.352, 0.924, 0.870, 45475, True
"GO:0048589", "developmental growth", 1.551, 7.031, -0.252, 2.248, -2.169, 0.889, 0.000, -1, False
"GO:0042246", "tissue regeneration", 0.203, null, null, 1.380, -1.432, 0.868, 0.791, 48589, True
"GO:2000672", "negative regulation of motor neuron apoptotic process", 0.009, 5.212, 3.704, 0.301, -2.203, 0.953, 0.000, -1, False
"GO:0010248", "establishment or maintenance of transmembrane electrochemical gradient", 0.079, -4.234, 5.343, 1.000, -2.203, 0.972, 0.014, -1, False
"GO:0042732", "D-xylose metabolic process", 0.026, -5.705, -5.935, 0.602, -2.203, 0.879, 0.080, -1, False
"GO:0044262", "cellular carbohydrate metabolic process", 0.899, null, null, 2.013, -2.201, 0.867, 0.572, 42732, True
"GO:0044264", "cellular polysaccharide metabolic process", 0.282, null, null, 1.519, -1.917, 0.843, 0.700, 42732, True
