TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0003696", "satellite DNA binding", 0.035, -4.593, 4.423, 0.699, -1.862, 0.958, 0.000, -1, False
"GO:0003712", "transcription coregulator activity", 1.606, -0.723, 7.206, 2.260, -1.636, 0.968, 0.000, -1, False
"GO:0003713", "transcription coactivator activity", 0.701, null, null, 1.903, -1.602, 0.968, 0.565, 3712, True
"GO:0003916", "DNA topoisomerase activity", 0.044, -1.773, 5.161, 0.778, -3.854, 0.854, 0.000, -1, False
"GO:0003918", "DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity", 0.018, null, null, 0.477, -2.162, 0.821, 0.536, 3916, True
"GO:0003887", "DNA-directed DNA polymerase activity", 0.080, null, null, 1.000, -2.614, 0.690, 0.591, 3916, True
"GO:0001784", "phosphotyrosine residue binding", 0.071, -5.101, -0.535, 0.954, -1.862, 0.875, 0.040, -1, False
"GO:0045309", "protein phosphorylated amino acid binding", 0.133, null, null, 1.204, -1.469, 0.872, 0.935, 1784, True
"GO:0034483", "heparan sulfate sulfotransferase activity", 0.053, 4.253, -3.862, 0.845, -3.569, 0.707, 0.083, -1, False
"GO:0015016", "[heparan sulfate]-glucosamine N-sulfotransferase activity", 0.009, null, null, 0.301, -2.162, 0.726, 0.769, 34483, True
"GO:0008146", "sulfotransferase activity", 0.151, null, null, 1.255, -2.903, 0.701, 0.812, 34483, True
"GO:0008467", "[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity", 0.018, null, null, 0.477, -1.862, 0.717, 0.839, 34483, True
"GO:0004114", "3',5'-cyclic-nucleotide phosphodiesterase activity", 0.053, 4.339, 5.434, 0.845, -3.167, 0.809, 0.084, -1, False
"GO:0004115", "3',5'-cyclic-AMP phosphodiesterase activity", 0.035, null, null, 0.699, -1.564, 0.813, 0.953, 4114, True
"GO:0035254", "glutamate receptor binding", 0.018, -4.077, -4.585, 0.477, -1.688, 0.874, 0.143, -1, False
"GO:0051879", "Hsp90 protein binding", 0.080, -1.880, -6.215, 1.000, -1.688, 0.881, 0.158, -1, False
"GO:0030544", "Hsp70 protein binding", 0.115, null, null, 1.146, -1.564, 0.880, 0.809, 51879, True
"GO:1990782", "protein tyrosine kinase binding", 0.098, -5.585, -2.116, 1.079, -1.564, 0.887, 0.162, -1, False
"GO:0030971", "receptor tyrosine kinase binding", 0.071, null, null, 0.954, -1.688, 0.838, 0.687, 1990782, True
"GO:0051219", "phosphoprotein binding", 0.151, -3.522, -1.555, 1.255, -1.325, 0.913, 0.170, -1, False
"GO:0005391", "P-type sodium:potassium-exchanging ATPase activity", 0.080, 2.921, 6.077, 1.000, -2.162, 0.860, 0.200, -1, False
"GO:0045127", "N-acetylglucosamine kinase activity", 0.009, 4.701, -2.005, 0.301, -2.162, 0.777, 0.221, -1, False
"GO:1990883", "rRNA cytidine N-acetyltransferase activity", 0.009, 3.974, -5.153, 0.301, -2.162, 0.789, 0.221, -1, False
"GO:0051392", "tRNA N-acetyltransferase activity", 0.081, null, null, 1.000, -2.162, 0.765, 0.623, 1990883, True
"GO:0004360", "glutamine-fructose-6-phosphate transaminase (isomerizing) activity", 0.018, 5.385, -4.594, 0.477, -1.862, 0.774, 0.230, -1, False
"GO:0070548", "L-glutamine aminotransferase activity", 0.018, null, null, 0.477, -1.862, 0.774, 0.758, 4360, True
"GO:0016427", "tRNA (cytosine) methyltransferase activity", 0.044, 5.838, -0.160, 0.778, -1.862, 0.765, 0.244, -1, False
"GO:0004653", "polypeptide N-acetylgalactosaminyltransferase activity", 0.124, 6.143, -1.714, 1.176, -3.027, 0.752, 0.262, -1, False
"GO:0030158", "protein xylosyltransferase activity", 0.018, null, null, 0.477, -2.162, 0.775, 0.598, 4653, True
"GO:0003983", "UTP:glucose-1-phosphate uridylyltransferase activity", 0.009, 5.905, -3.222, 0.301, -2.162, 0.778, 0.325, -1, False
"GO:0000182", "rDNA binding", 0.018, -5.043, 3.911, 0.477, -1.862, 0.959, 0.342, -1, False
"GO:0004385", "guanylate kinase activity", 0.027, 4.847, -0.905, 0.602, -1.564, 0.755, 0.379, -1, False
"GO:0035255", "ionotropic glutamate receptor binding", 0.009, -3.503, -4.984, 0.301, -1.862, 0.879, 0.403, -1, False
"GO:0005154", "epidermal growth factor receptor binding", 0.080, -3.728, -4.069, 1.000, -1.469, 0.864, 0.459, -1, False
"GO:0004535", "poly(A)-specific ribonuclease activity", 0.062, 4.875, 3.961, 0.903, -1.469, 0.803, 0.477, -1, False
"GO:0008420", "RNA polymerase II CTD heptapeptide repeat phosphatase activity", 0.035, 4.852, 3.044, 0.699, -1.564, 0.793, 0.496, -1, False
