TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0007384	specification_of_segmental_identity_thorax	0.026	0.985	7.097	0.602	-2.292	0.913	0.000	-1	False
GO:0007383	specification_of_segmental_identity_antennal_segment	0.018	null	null	0.477	-1.991	0.895	0.683	7384	True
GO:0007380	specification_of_segmental_identity_head	0.097	null	null	1.079	-1.395	0.888	0.806	7384	True
GO:0035288	anterior_head_segmentation	0.070	null	null	0.954	-1.517	0.892	0.912	7384	True
GO:0072583	clathrin-dependent_endocytosis	0.185	-5.165	-2.828	1.342	-2.432	0.895	0.000	-1	False
GO:1903061	positive_regulation_of_protein_lipidation	0.018	-5.439	3.959	0.477	-2.292	0.889	0.000	-1	False
GO:1903461	Okazaki_fragment_processing_involved_in_mitotic_DNA_replication	0.009	6.579	-1.096	0.301	-2.292	0.881	0.013	-1	False
GO:0097062	dendritic_spine_maintenance	0.018	0.168	-2.187	0.477	-2.292	0.945	0.013	-1	False
GO:0045762	positive_regulation_of_adenylate_cyclase_activity	0.009	-1.544	-7.238	0.301	-2.292	0.961	0.056	-1	False
GO:0097017	renal_protein_absorption	0.018	0.136	-7.505	0.477	-1.991	0.921	0.093	-1	False
GO:0070293	renal_absorption	0.018	null	null	0.477	-1.991	0.921	0.716	97017	True
GO:0097206	nephrocyte_filtration	0.062	null	null	0.903	-1.452	0.916	0.772	97017	True
GO:0097205	renal_filtration	0.062	null	null	0.903	-1.452	0.916	0.837	97017	True
GO:0019932	second-messenger-mediated_signaling	0.626	7.091	2.655	1.857	-1.590	0.899	0.098	-1	False
GO:0140053	mitochondrial_gene_expression	1.057	6.485	-3.767	2.083	-1.903	0.910	0.123	-1	False
GO:0032533	regulation_of_follicle_cell_microvillus_length	0.009	-2.513	1.892	0.301	-2.292	0.864	0.123	-1	False
GO:0007299	ovarian_follicle_cell-cell_adhesion	0.053	3.410	4.881	0.845	-1.815	0.883	0.138	-1	False
GO:0090136	epithelial_cell-cell_adhesion	0.079	null	null	1.000	-1.452	0.971	0.631	7299	True
GO:0097065	anterior_head_development	0.070	5.401	5.442	0.954	-1.517	0.925	0.147	-1	False
GO:0007029	endoplasmic_reticulum_organization	0.308	-0.023	-0.140	1.556	-2.187	0.899	0.154	-1	False
GO:1990809	endoplasmic_reticulum_tubular_network_membrane_organization	0.018	null	null	0.477	-1.991	0.888	0.575	7029	True
GO:0090158	endoplasmic_reticulum_membrane_organization	0.035	null	null	0.699	-1.815	0.884	0.695	7029	True
GO:0071786	endoplasmic_reticulum_tubular_network_organization	0.044	null	null	0.778	-1.693	0.901	0.735	7029	True
GO:0090735	DNA_repair_complex_assembly	0.026	0.363	1.731	0.602	-1.693	0.918	0.158	-1	False
GO:0034628	'de_novo'_NAD_biosynthetic_process_from_aspartate	0.009	4.156	-4.590	0.301	-2.292	0.862	0.204	-1	False
GO:0006105	succinate_metabolic_process	0.009	null	null	0.301	-1.991	0.929	0.620	34628	True
GO:0006540	glutamate_decarboxylation_to_succinate	0.013	null	null	0.301	-2.292	0.916	0.634	34628	True
GO:0051222	positive_regulation_of_protein_transport	0.317	-3.689	5.577	1.568	-2.056	0.778	0.218	-1	False
GO:0003400	regulation_of_COPII_vesicle_coating	0.035	null	null	0.699	-1.693	0.807	0.508	51222	True
GO:0048209	regulation_of_vesicle_targeting_to_from_or_within_Golgi	0.009	null	null	0.301	-1.595	0.864	0.515	51222	True
GO:2000369	regulation_of_clathrin-dependent_endocytosis	0.070	null	null	0.954	-1.395	0.812	0.582	51222	True
GO:0060628	regulation_of_ER_to_Golgi_vesicle-mediated_transport	0.070	null	null	0.954	-1.517	0.820	0.677	51222	True
GO:0070861	regulation_of_protein_exit_from_endoplasmic_reticulum	0.044	null	null	0.778	-1.815	0.816	0.766	51222	True
GO:0070863	positive_regulation_of_protein_exit_from_endoplasmic_reticulum	0.018	null	null	0.477	-1.991	0.792	0.793	51222	True
GO:0061356	regulation_of_Wnt_protein_secretion	0.088	null	null	1.041	-1.395	0.811	0.808	51222	True
GO:2000370	positive_regulation_of_clathrin-dependent_endocytosis	0.053	null	null	0.845	-1.517	0.784	0.819	51222	True
GO:0061357	positive_regulation_of_Wnt_protein_secretion	0.088	null	null	1.041	-1.395	0.777	0.893	51222	True
GO:0048260	positive_regulation_of_receptor-mediated_endocytosis	0.185	null	null	1.342	-1.345	0.767	0.895	51222	True
GO:0090113	regulation_of_ER_to_Golgi_vesicle-mediated_transport_by_GTP_hydrolysis	0.035	null	null	0.699	-1.693	0.822	0.912	51222	True
GO:0042694	muscle_cell_fate_specification	0.062	2.501	6.346	0.903	-1.452	0.923	0.222	-1	False
GO:0045500	sevenless_signaling_pathway	0.150	null	null	1.255	-1.395	0.828	0.507	42694	True
GO:0048081	positive_regulation_of_cuticle_pigmentation	0.026	-3.145	6.178	0.602	-1.815	0.878	0.224	-1	False
GO:0045823	positive_regulation_of_heart_contraction	0.062	null	null	0.903	-1.595	0.878	0.508	48081	True
GO:0050775	positive_regulation_of_dendrite_morphogenesis	0.106	null	null	1.114	-1.345	0.759	0.558	48081	True
GO:0048087	positive_regulation_of_developmental_pigmentation	0.044	null	null	0.778	-1.517	0.895	0.765	48081	True
GO:1903524	positive_regulation_of_blood_circulation	0.062	null	null	0.903	-1.595	0.878	0.810	48081	True
GO:0042066	perineurial_glial_growth	0.044	3.281	6.183	0.778	-1.693	0.902	0.253	-1	False
GO:0042065	glial_cell_growth	0.070	null	null	0.954	-1.452	0.899	0.710	42066	True
GO:0032527	protein_exit_from_endoplasmic_reticulum	0.350	-4.687	-4.206	1.602	-1.815	0.883	0.254	-1	False
GO:0009306	protein_secretion	0.520	null	null	1.778	-1.402	0.883	0.526	32527	True
GO:0002790	peptide_secretion	0.529	null	null	1.785	-1.341	0.917	0.760	32527	True
GO:0035592	establishment_of_protein_localization_to_extracellular_region	0.555	null	null	1.806	-1.377	0.908	0.976	32527	True
GO:0045752	positive_regulation_of_Toll_signaling_pathway	0.317	-4.160	5.190	1.568	-1.693	0.868	0.272	-1	False
GO:0045742	positive_regulation_of_epidermal_growth_factor_receptor_signaling_pathway	0.088	null	null	1.041	-1.345	0.871	0.504	45752	True
GO:1901186	positive_regulation_of_ERBB_signaling_pathway	0.088	null	null	1.041	-1.345	0.871	0.793	45752	True
GO:0046839	phospholipid_dephosphorylation	0.220	1.771	-6.361	1.415	-1.345	0.930	0.291	-1	False
GO:0046856	phosphatidylinositol_dephosphorylation	0.141	null	null	1.230	-1.452	0.930	0.714	46839	True
