TermID	Name	Frequency	PlotX	PlotY	LogSize	Value	Uniqueness	Dispensability	Representative	Eliminated
GO:0071942	XPC_complex	0.009	6.142	1.111	0.301	-2.276	0.629	0.000	-1	False
GO:0000111	nucleotide-excision_repair_factor_2_complex	0.009	null	null	0.301	-2.276	0.629	0.828	71942	True
GO:0031235	intrinsic_component_of_the_cytoplasmic_side_of_the_plasma_membrane	0.009	-1.506	5.517	0.301	-1.674	0.960	0.002	-1	False
GO:0070971	endoplasmic_reticulum_exit_site	0.137	-3.719	-6.263	1.230	-1.434	0.863	0.062	-1	False
GO:0005739	mitochondrion	7.813	-4.899	-0.708	2.961	-1.842	0.855	0.115	-1	False
GO:0033061	DNA_recombinase_mediator_complex	0.026	1.072	1.032	0.602	-1.799	0.794	0.126	-1	False
GO:0030127	COPII_vesicle_coat	0.051	0.428	-5.386	0.845	-1.434	0.661	0.269	-1	False
GO:0071011	precatalytic_spliceosome	1.224	4.547	-2.157	2.158	-1.799	0.540	0.354	-1	False
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2_complex	0.017	7.062	-1.007	0.477	-1.799	0.690	0.373	-1	False
GO:0032783	super_elongation_complex	0.068	5.494	-0.589	0.954	-1.434	0.666	0.417	-1	False
GO:0030678	mitochondrial_ribonuclease_P_complex	0.026	4.932	-5.839	0.602	-1.674	0.608	0.452	-1	False
GO:0030677	ribonuclease_P_complex	0.103	null	null	1.114	-1.327	0.651	0.805	30678	True
GO:0000276	mitochondrial_proton-transporting_ATP_synthase_complex_coupling_factor_F(o)	0.120	3.105	-5.554	1.176	-1.434	0.571	0.493	-1	False
GO:0045263	proton-transporting_ATP_synthase_complex_coupling_factor_F(o)	0.120	null	null	1.176	-1.434	0.625	0.918	276	True
