GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0051965	positive regulation of synapse assembly	176	4	0.35	1	0.0230	0.00037	Biological Process
GO:1901890	positive regulation of cell junction ass...	176	4	0.35	2	0.0230	0.00037	Biological Process
GO:0033962	P-body assembly	24	2	0.05	3	0.0010	0.00101	Biological Process
GO:1902117	positive regulation of organelle assembl...	37	2	0.07	6	0.0024	0.00240	Biological Process
GO:0044351	macropinocytosis	2	1	0	7	0.0039	0.00395	Biological Process
GO:0046598	positive regulation of viral entry into ...	2	1	0	10	0.0039	0.00395	Biological Process
GO:0045887	positive regulation of synaptic assembly...	163	3	0.32	13	0.0040	0.00396	Biological Process
GO:1901962	S-adenosyl-L-methionine transmembrane tr...	3	1	0.01	21	0.0059	0.00592	Biological Process
GO:0008283	cell population proliferation	872	6	1.72	26	0.0062	0.00625	Biological Process
GO:0007318	pole plasm protein localization	62	2	0.12	27	0.0066	0.00661	Biological Process
GO:0000288	nuclear-transcribed mRNA catabolic proce...	67	2	0.13	31	0.0077	0.00769	Biological Process
GO:0016320	endoplasmic reticulum membrane fusion	4	1	0.01	33	0.0079	0.00788	Biological Process
GO:0045998	positive regulation of ecdysteroid biosy...	4	1	0.01	38	0.0079	0.00788	Biological Process
GO:0048582	positive regulation of post-embryonic de...	4	1	0.01	43	0.0079	0.00788	Biological Process
GO:0043525	positive regulation of neuron apoptotic ...	4	1	0.01	45	0.0079	0.00788	Biological Process
GO:0000389	mRNA 3'-splice site recognition	4	1	0.01	47	0.0079	0.00788	Biological Process
GO:0007317	regulation of pole plasm oskar mRNA loca...	73	2	0.14	57	0.0091	0.00907	Biological Process
GO:0060281	regulation of oocyte development	73	2	0.14	58	0.0091	0.00907	Biological Process
GO:0097352	autophagosome maturation	77	2	0.15	66	0.0101	0.01005	Biological Process
GO:0045167	asymmetric protein localization involved...	83	2	0.16	72	0.0116	0.01160	Biological Process
GO:0032486	Rap protein signal transduction	6	1	0.01	73	0.0118	0.01180	Biological Process
GO:0034473	U1 snRNA 3'-end processing	6	1	0.01	74	0.0118	0.01180	Biological Process
GO:0034476	U5 snRNA 3'-end processing	6	1	0.01	75	0.0118	0.01180	Biological Process
GO:0071042	nuclear polyadenylation-dependent mRNA c...	6	1	0.01	76	0.0118	0.01180	Biological Process
GO:0071047	polyadenylation-dependent mRNA catabolic...	6	1	0.01	77	0.0118	0.01180	Biological Process
GO:0045995	regulation of embryonic development	243	3	0.48	78	0.0119	0.01189	Biological Process
GO:1902875	regulation of embryonic pattern specific...	86	2	0.17	80	0.0124	0.01242	Biological Process
GO:0000467	exonucleolytic trimming to generate matu...	7	1	0.01	84	0.0138	0.01375	Biological Process
GO:0000459	exonucleolytic trimming involved in rRNA...	7	1	0.01	85	0.0138	0.01375	Biological Process
GO:0015811	L-cystine transport	7	1	0.01	86	0.0138	0.01375	Biological Process
GO:0000101	sulfur amino acid transport	7	1	0.01	87	0.0138	0.01375	Biological Process
GO:0071029	nuclear ncRNA surveillance	7	1	0.01	88	0.0138	0.01375	Biological Process
GO:0106354	tRNA surveillance	7	1	0.01	89	0.0138	0.01375	Biological Process
GO:0071046	nuclear polyadenylation-dependent ncRNA ...	7	1	0.01	90	0.0138	0.01375	Biological Process
GO:0071035	nuclear polyadenylation-dependent rRNA c...	7	1	0.01	91	0.0138	0.01375	Biological Process
GO:0071038	nuclear polyadenylation-dependent tRNA c...	7	1	0.01	92	0.0138	0.01375	Biological Process
GO:0090278	negative regulation of peptide hormone s...	8	1	0.02	94	0.0157	0.01570	Biological Process
GO:0043633	polyadenylation-dependent RNA catabolic ...	8	1	0.02	95	0.0157	0.01570	Biological Process
GO:0043634	polyadenylation-dependent ncRNA cataboli...	8	1	0.02	96	0.0157	0.01570	Biological Process
GO:0034475	U4 snRNA 3'-end processing	8	1	0.02	97	0.0157	0.01570	Biological Process
GO:0046888	negative regulation of hormone secretion	8	1	0.02	98	0.0157	0.01570	Biological Process
GO:0035418	protein localization to synapse	9	1	0.02	101	0.0176	0.01765	Biological Process
