GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0048621	post-embryonic digestive tract morphogen...	1	1	0	2	0.0020	0.0020	Biological Process
GO:0035848	oviduct morphogenesis	1	1	0	5	0.0020	0.0020	Biological Process
GO:0090267	positive regulation of mitotic cell cycl...	1	1	0	6	0.0020	0.0020	Biological Process
GO:0097017	renal protein absorption	2	1	0	8	0.0039	0.0039	Biological Process
GO:0090235	regulation of metaphase plate congressio...	3	1	0.01	9	0.0059	0.0059	Biological Process
GO:0071418	cellular response to amine stimulus	3	1	0.01	11	0.0059	0.0059	Biological Process
GO:0071928	tyramine signaling pathway	3	1	0.01	12	0.0059	0.0059	Biological Process
GO:1901838	positive regulation of transcription of ...	4	1	0.01	13	0.0079	0.0079	Biological Process
GO:1902115	regulation of organelle assembly	69	2	0.14	14	0.0081	0.0081	Biological Process
GO:0090528	smooth septate junction assembly	5	1	0.01	16	0.0098	0.0098	Biological Process
GO:0090070	positive regulation of ribosome biogenes...	5	1	0.01	18	0.0098	0.0098	Biological Process
GO:1900738	positive regulation of phospholipase C-a...	5	1	0.01	20	0.0098	0.0098	Biological Process
GO:2000786	positive regulation of autophagosome ass...	6	1	0.01	22	0.0118	0.0118	Biological Process
GO:0044090	positive regulation of vacuole organizat...	6	1	0.01	24	0.0118	0.0118	Biological Process
GO:2000785	regulation of autophagosome assembly	8	1	0.02	27	0.0157	0.0157	Biological Process
GO:0000002	mitochondrial genome maintenance	8	1	0.02	29	0.0157	0.0157	Biological Process
GO:1901673	regulation of mitotic spindle assembly	9	1	0.02	32	0.0176	0.0176	Biological Process
GO:0050817	coagulation	10	1	0.02	34	0.0196	0.0196	Biological Process
GO:0007599	hemostasis	10	1	0.02	35	0.0196	0.0196	Biological Process
GO:0042381	hemolymph coagulation	10	1	0.02	36	0.0196	0.0196	Biological Process
GO:0060158	phospholipase C-activating dopamine rece...	10	1	0.02	37	0.0196	0.0196	Biological Process
GO:0006265	DNA topological change	10	1	0.02	38	0.0196	0.0196	Biological Process
GO:0006743	ubiquinone metabolic process	11	1	0.02	39	0.0215	0.0215	Biological Process
GO:0006744	ubiquinone biosynthetic process	11	1	0.02	40	0.0215	0.0215	Biological Process
GO:1901661	quinone metabolic process	11	1	0.02	41	0.0215	0.0215	Biological Process
GO:1901663	quinone biosynthetic process	11	1	0.02	42	0.0215	0.0215	Biological Process
GO:0042246	tissue regeneration	11	1	0.02	43	0.0215	0.0215	Biological Process
GO:0090169	regulation of spindle assembly	12	1	0.02	45	0.0235	0.0235	Biological Process
GO:0044088	regulation of vacuole organization	12	1	0.02	46	0.0235	0.0235	Biological Process
GO:0007191	adenylate cyclase-activating dopamine re...	12	1	0.02	47	0.0235	0.0235	Biological Process
GO:0060236	regulation of mitotic spindle organizati...	12	1	0.02	48	0.0235	0.0235	Biological Process
GO:0034975	protein folding in endoplasmic reticulum	13	1	0.03	49	0.0254	0.0254	Biological Process
GO:0018279	protein N-linked glycosylation via aspar...	13	1	0.03	50	0.0254	0.0254	Biological Process
GO:0018196	peptidyl-asparagine modification	13	1	0.03	51	0.0254	0.0254	Biological Process
GO:0034367	protein-containing complex remodeling	14	1	0.03	53	0.0273	0.0273	Biological Process
GO:0036098	male germ-line stem cell population main...	14	1	0.03	54	0.0273	0.0273	Biological Process
GO:0001120	protein-DNA complex remodeling	14	1	0.03	55	0.0273	0.0273	Biological Process
GO:0001112	DNA-templated transcription open complex...	14	1	0.03	56	0.0273	0.0273	Biological Process
GO:0001113	transcription open complex formation at ...	14	1	0.03	57	0.0273	0.0273	Biological Process
GO:0042060	wound healing	131	2	0.26	58	0.0274	0.0274	Biological Process
GO:0090224	regulation of spindle organization	15	1	0.03	59	0.0292	0.0292	Biological Process
GO:0001111	promoter clearance from RNA polymerase I...	15	1	0.03	60	0.0292	0.0292	Biological Process
GO:0001109	promoter clearance during DNA-templated ...	15	1	0.03	62	0.0292	0.0292	Biological Process
GO:0070085	glycosylation	137	2	0.27	63	0.0298	0.0298	Biological Process
GO:1900244	positive regulation of synaptic vesicle ...	16	1	0.03	64	0.0312	0.0312	Biological Process
GO:1903423	positive regulation of synaptic vesicle ...	16	1	0.03	65	0.0312	0.0312	Biological Process
GO:0006367	transcription initiation from RNA polyme...	145	2	0.29	66	0.0330	0.0330	Biological Process
GO:0060729	intestinal epithelial structure maintena...	17	1	0.03	67	0.0331	0.0331	Biological Process
GO:0030277	maintenance of gastrointestinal epitheli...	17	1	0.03	68	0.0331	0.0331	Biological Process
GO:0071168	protein localization to chromatin	18	1	0.04	70	0.0350	0.0350	Biological Process
GO:0006352	DNA-templated transcription, initiation	153	2	0.3	71	0.0364	0.0364	Biological Process
GO:0048133	male germ-line stem cell asymmetric divi...	20	1	0.04	72	0.0388	0.0388	Biological Process
GO:0061327	anterior Malpighian tubule development	21	1	0.04	73	0.0407	0.0407	Biological Process
GO:0045500	sevenless signaling pathway	21	1	0.04	74	0.0407	0.0407	Biological Process
GO:0014706	striated muscle tissue development	163	2	0.32	75	0.0409	0.0409	Biological Process
GO:0060537	muscle tissue development	167	2	0.33	76	0.0427	0.0427	Biological Process
GO:0071407	cellular response to organic cyclic comp...	169	2	0.33	77	0.0436	0.0436	Biological Process
GO:1900242	regulation of synaptic vesicle endocytos...	23	1	0.05	79	0.0445	0.0445	Biological Process
GO:0007064	mitotic sister chromatid cohesion	24	1	0.05	80	0.0464	0.0464	Biological Process
GO:0000033	alpha-1,3-mannosyltransferase activity	2	1	0	1	0.0037	0.0037	Molecular Function
GO:0003810	protein-glutamine gamma-glutamyltransfer...	3	1	0.01	2	0.0056	0.0056	Molecular Function
GO:0003677	DNA binding	1002	6	1.88	4	0.0086	0.0086	Molecular Function
GO:0008226	tyramine receptor activity	7	1	0.01	5	0.0130	0.0130	Molecular Function
GO:0003916	DNA topoisomerase activity	7	1	0.01	6	0.0130	0.0130	Molecular Function
GO:0005118	sevenless binding	8	1	0.01	7	0.0149	0.0149	Molecular Function
GO:0004576	oligosaccharyl transferase activity	8	1	0.01	8	0.0149	0.0149	Molecular Function
GO:0004579	dolichyl-diphosphooligosaccharide-protei...	8	1	0.01	9	0.0149	0.0149	Molecular Function
GO:0042169	SH2 domain binding	12	1	0.02	10	0.0223	0.0223	Molecular Function
GO:0005201	extracellular matrix structural constitu...	14	1	0.03	11	0.0259	0.0259	Molecular Function
GO:0031593	polyubiquitin modification-dependent pro...	24	1	0.04	15	0.0440	0.0440	Molecular Function
GO:0019210	kinase inhibitor activity	25	1	0.05	16	0.0458	0.0458	Molecular Function
GO:0004860	protein kinase inhibitor activity	25	1	0.05	17	0.0458	0.0458	Molecular Function
GO:0070090	metaphase plate	1	1	0	7	0.0019	0.00191	Cellular Component
GO:0042405	nuclear inclusion body	1	1	0	8	0.0019	0.00191	Cellular Component
GO:0140534	endoplasmic reticulum protein-containing...	45	2	0.09	9	0.0033	0.00330	Cellular Component
GO:0035861	site of double-strand break	4	1	0.01	14	0.0076	0.00763	Cellular Component
GO:0016363	nuclear matrix	7	1	0.01	15	0.0133	0.01331	Cellular Component
GO:0000786	nucleosome	8	1	0.02	16	0.0152	0.01520	Cellular Component
GO:0072546	EMC complex	12	1	0.02	17	0.0227	0.02272	Cellular Component
GO:0005652	nuclear lamina	12	1	0.02	18	0.0227	0.02272	Cellular Component
