GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0000972	transcription-dependent tethering of RNA...	12	2	0.06	1	0.0014	0.0014	Biological Process
GO:0006405	RNA export from nucleus	108	4	0.51	2	0.0017	0.0017	Biological Process
GO:0045732	positive regulation of protein catabolic...	125	4	0.59	3	0.0029	0.0029	Biological Process
GO:0044106	cellular amine metabolic process	68	3	0.32	7	0.0041	0.0041	Biological Process
GO:0042817	pyridoxal metabolic process	1	1	0	9	0.0047	0.0047	Biological Process
GO:0035848	oviduct morphogenesis	1	1	0	11	0.0047	0.0047	Biological Process
GO:0048621	post-embryonic digestive tract morphogen...	1	1	0	12	0.0047	0.0047	Biological Process
GO:0007489	maintenance of imaginal histoblast diplo...	1	1	0	13	0.0047	0.0047	Biological Process
GO:0048036	central complex development	23	2	0.11	15	0.0052	0.0052	Biological Process
GO:0034605	cellular response to heat	25	2	0.12	16	0.0062	0.0062	Biological Process
GO:0007443	Malpighian tubule morphogenesis	80	3	0.38	18	0.0064	0.0064	Biological Process
GO:0007427	epithelial cell migration, open tracheal...	81	3	0.38	20	0.0066	0.0066	Biological Process
GO:0042684	cardioblast cell fate commitment	28	2	0.13	23	0.0077	0.0077	Biological Process
GO:0051276	chromosome organization	1039	11	4.91	25	0.0440	0.0090	Biological Process
GO:0000349	generation of catalytic spliceosome for ...	2	1	0.01	26	0.0094	0.0094	Biological Process
GO:0035024	negative regulation of Rho protein signa...	2	1	0.01	27	0.0094	0.0094	Biological Process
GO:0034398	telomere tethering at nuclear periphery	2	1	0.01	29	0.0094	0.0094	Biological Process
GO:1903061	positive regulation of protein lipidatio...	2	1	0.01	30	0.0094	0.0094	Biological Process
GO:0000416	positive regulation of histone H3-K36 me...	2	1	0.01	32	0.0094	0.0094	Biological Process
GO:0071311	cellular response to acetate	2	1	0.01	35	0.0094	0.0094	Biological Process
GO:0052472	modulation by host of symbiont transcrip...	2	1	0.01	39	0.0094	0.0094	Biological Process
GO:0032897	negative regulation of viral transcripti...	2	1	0.01	40	0.0094	0.0094	Biological Process
GO:0031065	positive regulation of histone deacetyla...	2	1	0.01	42	0.0094	0.0094	Biological Process
GO:0032876	negative regulation of DNA endoreduplica...	2	1	0.01	43	0.0094	0.0094	Biological Process
GO:0043921	modulation by host of viral transcriptio...	2	1	0.01	45	0.0094	0.0094	Biological Process
GO:0010157	response to chlorate	2	1	0.01	48	0.0094	0.0094	Biological Process
GO:0097017	renal protein absorption	2	1	0.01	52	0.0094	0.0094	Biological Process
GO:0070476	rRNA (guanine-N7)-methylation	2	1	0.01	53	0.0094	0.0094	Biological Process
GO:0007499	ectoderm and mesoderm interaction	2	1	0.01	54	0.0094	0.0094	Biological Process
GO:0035080	heat shock-mediated polytene chromosome ...	3	1	0.01	61	0.0141	0.0141	Biological Process
GO:0018364	peptidyl-glutamine methylation	3	1	0.01	63	0.0141	0.0141	Biological Process
GO:0071444	cellular response to pheromone	3	1	0.01	64	0.0141	0.0141	Biological Process
GO:0030715	oocyte growth in germarium-derived egg c...	3	1	0.01	65	0.0141	0.0141	Biological Process
GO:1905938	positive regulation of germ cell prolife...	3	1	0.01	69	0.0141	0.0141	Biological Process
GO:2001252	positive regulation of chromosome organi...	107	3	0.51	72	0.0141	0.0141	Biological Process
GO:0022417	protein maturation by protein folding	4	1	0.02	74	0.0188	0.0188	Biological Process
GO:0009115	xanthine catabolic process	4	1	0.02	75	0.0188	0.0188	Biological Process
GO:0046110	xanthine metabolic process	4	1	0.02	76	0.0188	0.0188	Biological Process
GO:0030259	lipid glycosylation	4	1	0.02	78	0.0188	0.0188	Biological Process
