GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0001894	tissue homeostasis	162	2	0.03	1	0.0204	0.00039	Biological Process
GO:0048871	multicellular organismal homeostasis	193	2	0.04	2	0.0247	0.00055	Biological Process
GO:0045819	positive regulation of glycogen cataboli...	5	1	0	3	0.0011	0.00106	Biological Process
GO:0035094	response to nicotine	6	1	0	9	0.0013	0.00127	Biological Process
GO:0097305	response to alcohol	313	2	0.07	11	0.0014	0.00144	Biological Process
GO:0045850	positive regulation of nurse cell apopto...	8	1	0	12	0.0017	0.00169	Biological Process
GO:0045468	regulation of R8 cell spacing in compoun...	9	1	0	14	0.0019	0.00190	Biological Process
GO:0060729	intestinal epithelial structure maintena...	17	1	0	22	0.0036	0.00359	Biological Process
GO:0007460	R8 cell fate commitment	18	1	0	23	0.0038	0.00381	Biological Process
GO:0014067	negative regulation of phosphatidylinosi...	21	1	0	26	0.0044	0.00444	Biological Process
GO:0048036	central complex development	23	1	0	28	0.0049	0.00486	Biological Process
GO:1905881	positive regulation of oogenesis	25	1	0.01	30	0.0053	0.00528	Biological Process
GO:0061723	glycophagy	30	1	0.01	38	0.0063	0.00634	Biological Process
GO:0034599	cellular response to oxidative stress	49	1	0.01	52	0.0103	0.01034	Biological Process
GO:0062197	cellular response to chemical stress	50	1	0.01	54	0.0105	0.01055	Biological Process
GO:0035096	larval midgut cell programmed cell death	50	1	0.01	57	0.0105	0.01055	Biological Process
GO:0035332	positive regulation of hippo signaling	51	1	0.01	59	0.0108	0.01076	Biological Process
GO:0042220	response to cocaine	51	1	0.01	60	0.0108	0.01076	Biological Process
GO:0046331	lateral inhibition	53	1	0.01	62	0.0112	0.01118	Biological Process
GO:0045168	cell-cell signaling involved in cell fat...	54	1	0.01	63	0.0114	0.01139	Biological Process
GO:0010508	positive regulation of autophagy	56	1	0.01	65	0.0118	0.01181	Biological Process
GO:0032007	negative regulation of TOR signaling	58	1	0.01	66	0.0122	0.01223	Biological Process
GO:0060359	response to ammonium ion	59	1	0.01	67	0.0124	0.01244	Biological Process
GO:0035069	larval midgut histolysis	60	1	0.01	68	0.0126	0.01265	Biological Process
GO:0046621	negative regulation of organ growth	63	1	0.01	74	0.0133	0.01328	Biological Process
GO:0036335	intestinal stem cell homeostasis	65	1	0.01	77	0.0137	0.01370	Biological Process
GO:0033554	cellular response to stress	986	2	0.21	79	0.0138	0.01383	Biological Process
GO:2000331	regulation of terminal button organizati...	66	1	0.01	80	0.0139	0.01391	Biological Process
GO:0099174	regulation of presynapse organization	68	1	0.01	81	0.0143	0.01433	Biological Process
GO:0043279	response to alkaloid	68	1	0.01	82	0.0143	0.01433	Biological Process
GO:0048872	homeostasis of number of cells	72	1	0.02	83	0.0152	0.01516	Biological Process
GO:0040008	regulation of growth	1036	2	0.22	84	0.0152	0.01524	Biological Process
GO:0043406	positive regulation of MAP kinase activi...	80	1	0.02	89	0.0168	0.01684	Biological Process
GO:0006468	protein phosphorylation	1144	2	0.24	94	0.0185	0.01848	Biological Process
GO:0045807	positive regulation of endocytosis	88	1	0.02	95	0.0185	0.01851	Biological Process
GO:0016318	ommatidial rotation	96	1	0.02	96	0.0202	0.02018	Biological Process
GO:0072553	terminal button organization	100	1	0.02	97	0.0210	0.02102	Biological Process
