GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0007040	lysosome organization	23	4	0.35	1	0.00038	0.00038	Biological Process
GO:0000712	resolution of meiotic recombination inte...	13	3	0.2	3	0.00090	0.00090	Biological Process
GO:0006999	nuclear pore organization	14	3	0.21	4	0.00114	0.00114	Biological Process
GO:0042816	vitamin B6 metabolic process	4	2	0.06	5	0.00137	0.00137	Biological Process
GO:0006725	cellular aromatic compound metabolic pro...	4140	83	63.39	6	0.03194	0.00245	Biological Process
GO:0047496	vesicle transport along microtubule	40	4	0.61	10	0.00317	0.00317	Biological Process
GO:0048308	organelle inheritance	6	2	0.09	12	0.00336	0.00336	Biological Process
GO:0071596	ubiquitin-dependent protein catabolic pr...	6	2	0.09	13	0.00336	0.00336	Biological Process
GO:0051100	negative regulation of binding	22	3	0.34	14	0.00440	0.00440	Biological Process
GO:0009301	snRNA transcription	7	2	0.11	15	0.00466	0.00466	Biological Process
GO:0009451	RNA modification	111	6	1.7	20	0.00718	0.00718	Biological Process
GO:0001710	mesodermal cell fate commitment	27	3	0.41	22	0.00790	0.00790	Biological Process
GO:0008407	chaeta morphogenesis	116	6	1.78	23	0.00884	0.00884	Biological Process
GO:0006265	DNA topological change	10	2	0.15	24	0.00968	0.00968	Biological Process
GO:0031573	mitotic intra-S DNA damage checkpoint si...	11	2	0.17	26	0.01172	0.01172	Biological Process
GO:0070647	protein modification by small protein co...	511	15	7.82	27	0.01221	0.01221	Biological Process
GO:0006302	double-strand break repair	90	5	1.38	28	0.01234	0.01234	Biological Process
GO:0006281	DNA repair	204	8	3.12	29	0.01337	0.01337	Biological Process
GO:0000289	nuclear-transcribed mRNA poly(A) tail sh...	33	3	0.51	30	0.01377	0.01377	Biological Process
GO:0007500	mesodermal cell fate determination	12	2	0.18	31	0.01392	0.01392	Biological Process
GO:0010603	regulation of cytoplasmic mRNA processin...	12	2	0.18	32	0.01392	0.01392	Biological Process
GO:0008090	retrograde axonal transport	12	2	0.18	33	0.01392	0.01392	Biological Process
GO:0060066	oviduct development	1	1	0.02	35	0.01531	0.01531	Biological Process
GO:0000495	box H/ACA RNA 3'-end processing	1	1	0.02	36	0.01531	0.01531	Biological Process
GO:1990116	ribosome-associated ubiquitin-dependent ...	1	1	0.02	37	0.01531	0.01531	Biological Process
GO:1902321	methyl-branched fatty acid biosynthetic ...	1	1	0.02	38	0.01531	0.01531	Biological Process
GO:0033979	box H/ACA RNA metabolic process	1	1	0.02	39	0.01531	0.01531	Biological Process
GO:0097089	methyl-branched fatty acid metabolic pro...	1	1	0.02	40	0.01531	0.01531	Biological Process
GO:0097049	motor neuron apoptotic process	1	1	0.02	41	0.01531	0.01531	Biological Process
GO:1990882	rRNA acetylation	1	1	0.02	42	0.01531	0.01531	Biological Process
GO:1990884	RNA acetylation	1	1	0.02	43	0.01531	0.01531	Biological Process
GO:0090204	protein localization to nuclear pore	1	1	0.02	44	0.01531	0.01531	Biological Process
GO:0048240	sperm capacitation	1	1	0.02	45	0.01531	0.01531	Biological Process
GO:0042732	D-xylose metabolic process	1	1	0.02	46	0.01531	0.01531	Biological Process
GO:1904812	rRNA acetylation involved in maturation ...	1	1	0.02	47	0.01531	0.01531	Biological Process
GO:0060962	regulation of ribosomal protein gene tra...	1	1	0.02	48	0.01531	0.01531	Biological Process
GO:0060963	positive regulation of ribosomal protein...	1	1	0.02	49	0.01531	0.01531	Biological Process
GO:0002101	tRNA wobble cytosine modification	1	1	0.02	50	0.01531	0.01531	Biological Process
GO:0000011	vacuole inheritance	1	1	0.02	51	0.01531	0.01531	Biological Process
GO:1904030	negative regulation of cyclin-dependent ...	1	1	0.02	52	0.01531	0.01531	Biological Process
GO:0042817	pyridoxal metabolic process	1	1	0.02	53	0.01531	0.01531	Biological Process
GO:0051391	tRNA acetylation	1	1	0.02	54	0.01531	0.01531	Biological Process
GO:0045736	negative regulation of cyclin-dependent ...	1	1	0.02	55	0.01531	0.01531	Biological Process
GO:0035848	oviduct morphogenesis	1	1	0.02	56	0.01531	0.01531	Biological Process
GO:2000671	regulation of motor neuron apoptotic pro...	1	1	0.02	57	0.01531	0.01531	Biological Process
GO:2000672	negative regulation of motor neuron apop...	1	1	0.02	58	0.01531	0.01531	Biological Process
GO:0034428	nuclear-transcribed mRNA catabolic proce...	1	1	0.02	59	0.01531	0.01531	Biological Process
GO:0009443	pyridoxal 5'-phosphate salvage	1	1	0.02	60	0.01531	0.01531	Biological Process
GO:0048621	post-embryonic digestive tract morphogen...	1	1	0.02	61	0.01531	0.01531	Biological Process
GO:0034964	box H/ACA RNA processing	1	1	0.02	62	0.01531	0.01531	Biological Process
GO:0044774	mitotic DNA integrity checkpoint signali...	35	3	0.54	63	0.01616	0.01616	Biological Process
GO:0007093	mitotic cell cycle checkpoint signaling	98	5	1.5	65	0.01730	0.01730	Biological Process
GO:0061842	microtubule organizing center localizati...	67	4	1.03	68	0.01934	0.01934	Biological Process
GO:0051642	centrosome localization	67	4	1.03	69	0.01934	0.01934	Biological Process
GO:0006974	cellular response to DNA damage stimulus	264	9	4.04	70	0.02059	0.02059	Biological Process
GO:0045786	negative regulation of cell cycle	180	7	2.76	71	0.02093	0.02093	Biological Process
GO:0007060	male meiosis chromosome segregation	15	2	0.23	72	0.02149	0.02149	Biological Process
GO:0016441	posttranscriptional gene silencing	106	5	1.62	78	0.02343	0.02343	Biological Process
