GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0140053	mitochondrial gene expression	123	3	0.25	1	0.0020	0.0020	Biological Process
GO:0045762	positive regulation of adenylate cyclase...	1	1	0	2	0.0020	0.0020	Biological Process
GO:0035848	oviduct morphogenesis	1	1	0	3	0.0020	0.0020	Biological Process
GO:0006540	glutamate decarboxylation to succinate	1	1	0	4	0.0020	0.0020	Biological Process
GO:0048621	post-embryonic digestive tract morphogen...	1	1	0	5	0.0020	0.0020	Biological Process
GO:0097062	dendritic spine maintenance	1	1	0	6	0.0020	0.0020	Biological Process
GO:0034628	'de novo' NAD biosynthetic process from ...	1	1	0	8	0.0020	0.0020	Biological Process
GO:0009450	gamma-aminobutyric acid catabolic proces...	1	1	0	9	0.0020	0.0020	Biological Process
GO:1903061	positive regulation of protein lipidatio...	2	1	0	12	0.0041	0.0041	Biological Process
GO:0097017	renal protein absorption	2	1	0	14	0.0041	0.0041	Biological Process
GO:0006105	succinate metabolic process	3	1	0.01	19	0.0061	0.0061	Biological Process
GO:1903461	Okazaki fragment processing involved in ...	3	1	0.01	21	0.0061	0.0061	Biological Process
GO:0007029	endoplasmic reticulum organization	60	2	0.12	22	0.0066	0.0066	Biological Process
GO:0000707	meiotic DNA recombinase assembly	4	1	0.01	23	0.0082	0.0082	Biological Process
GO:0070935	3'-UTR-mediated mRNA stabilization	4	1	0.01	24	0.0082	0.0082	Biological Process
GO:0032533	regulation of follicle cell microvillus ...	4	1	0.01	30	0.0082	0.0082	Biological Process
GO:0042148	strand invasion	5	1	0.01	34	0.0102	0.0102	Biological Process
GO:0007299	ovarian follicle cell-cell adhesion	6	1	0.01	39	0.0122	0.0122	Biological Process
GO:0042795	snRNA transcription by RNA polymerase II	6	1	0.01	40	0.0122	0.0122	Biological Process
GO:0008315	G2/MI transition of meiotic cell cycle	6	1	0.01	42	0.0122	0.0122	Biological Process
GO:0006266	DNA ligation	6	1	0.01	43	0.0122	0.0122	Biological Process
GO:1990809	endoplasmic reticulum tubular network me...	6	1	0.01	44	0.0122	0.0122	Biological Process
GO:0045752	positive regulation of Toll signaling pa...	7	1	0.01	47	0.0142	0.0142	Biological Process
GO:0009301	snRNA transcription	7	1	0.01	48	0.0142	0.0142	Biological Process
GO:0045948	positive regulation of translational ini...	7	1	0.01	49	0.0142	0.0142	Biological Process
GO:0072583	clathrin-dependent endocytosis	92	2	0.19	50	0.0151	0.0151	Biological Process
GO:1903524	positive regulation of blood circulation	8	1	0.02	51	0.0163	0.0163	Biological Process
GO:0045823	positive regulation of heart contraction	8	1	0.02	52	0.0163	0.0163	Biological Process
