GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0015871	choline transport	2	2	0.06	2	0.0010	0.00101	Biological Process
GO:0007529	establishment of synaptic specificity at...	7	3	0.22	3	0.0010	0.00101	Biological Process
GO:0050777	negative regulation of immune response	55	7	1.75	4	0.0017	0.00169	Biological Process
GO:0002832	negative regulation of response to bioti...	43	6	1.37	5	0.0022	0.00223	Biological Process
GO:0006631	fatty acid metabolic process	112	10	3.56	6	0.0030	0.00297	Biological Process
GO:0043052	thermotaxis	46	6	1.46	7	0.0032	0.00316	Biological Process
GO:0007187	G protein-coupled receptor signaling pat...	84	8	2.67	9	0.0051	0.00514	Biological Process
GO:0007191	adenylate cyclase-activating dopamine re...	12	3	0.38	10	0.0056	0.00565	Biological Process
GO:0002188	translation reinitiation	4	2	0.13	12	0.0058	0.00578	Biological Process
GO:0016320	endoplasmic reticulum membrane fusion	4	2	0.13	13	0.0058	0.00578	Biological Process
GO:0007382	specification of segmental identity, max...	4	2	0.13	14	0.0058	0.00578	Biological Process
GO:0007030	Golgi organization	186	13	5.91	15	0.0065	0.00648	Biological Process
GO:1901679	nucleotide transmembrane transport	13	3	0.41	17	0.0072	0.00717	Biological Process
GO:0070646	protein modification by small protein re...	111	9	3.52	18	0.0088	0.00880	Biological Process
GO:0033313	meiotic cell cycle checkpoint signaling	5	2	0.16	20	0.0094	0.00944	Biological Process
GO:0006167	AMP biosynthetic process	5	2	0.16	21	0.0094	0.00944	Biological Process
GO:0000973	posttranscriptional tethering of RNA pol...	5	2	0.16	22	0.0094	0.00944	Biological Process
GO:0030723	ovarian fusome organization	27	4	0.86	23	0.0099	0.00986	Biological Process
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	76	7	2.41	24	0.0103	0.01031	Biological Process
GO:0032102	negative regulation of response to exter...	60	6	1.91	25	0.0117	0.01167	Biological Process
GO:0031348	negative regulation of defense response	44	5	1.4	26	0.0124	0.01238	Biological Process
GO:0016579	protein deubiquitination	79	7	2.51	27	0.0126	0.01262	Biological Process
GO:0007193	adenylate cyclase-inhibiting G protein-c...	29	4	0.92	28	0.0127	0.01270	Biological Process
GO:0071897	DNA biosynthetic process	80	7	2.54	29	0.0135	0.01346	Biological Process
GO:1990542	mitochondrial transmembrane transport	62	6	1.97	30	0.0136	0.01360	Biological Process
GO:0032259	methylation	161	11	5.11	31	0.0138	0.01376	Biological Process
GO:2000273	positive regulation of signaling recepto...	6	2	0.19	32	0.0139	0.01386	Biological Process
GO:0060395	SMAD protein signal transduction	6	2	0.19	33	0.0139	0.01386	Biological Process
GO:0010971	positive regulation of G2/M transition o...	6	2	0.19	34	0.0139	0.01386	Biological Process
GO:1902751	positive regulation of cell cycle G2/M p...	6	2	0.19	35	0.0139	0.01386	Biological Process
