TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0016533", "protein kinase 5 complex", 0.004, 6.065, 1.247, 2.863, -1.764, 0.921, 0.000, -1, False
"GO:0071212", "subsynaptic reticulum", 0.000, -4.175, -2.907, 1.949, -2.854, 0.643, 0.000, -1, False
"GO:0031253", "cell projection membrane", 0.078, null, null, 4.163, -2.018, 0.793, 0.503, 71212, True
"GO:0014069", "postsynaptic density", 0.049, null, null, 3.964, -1.467, 0.703, 0.536, 71212, True
"GO:0031528", "microvillus membrane", 0.005, null, null, 2.997, -1.640, 0.815, 0.636, 71212, True
"GO:0098984", "neuron to neuron synapse", 0.054, null, null, 4.004, -1.467, 0.802, 0.704, 71212, True
"GO:0016323", "basolateral plasma membrane", 0.045, null, null, 3.925, -1.662, 0.815, 0.728, 71212, True
"GO:0045180", "basal cortex", 0.002, null, null, 2.545, -1.467, 0.749, 0.807, 71212, True
"GO:0061176", "type Ib terminal bouton", 0.000, null, null, 1.699, -1.345, 0.763, 0.920, 71212, True
"GO:0032279", "asymmetric synapse", 0.049, null, null, 3.966, -1.467, 0.787, 0.988, 71212, True
"GO:0031252", "cell leading edge", 0.117, 3.764, -4.964, 4.341, -1.821, 1.000, 0.000, -1, False
"GO:0045177", "apical part of cell", 0.093, 0.490, -5.970, 4.240, -1.654, 1.000, 0.000, -1, False
"GO:0060293", "germ plasm", 0.009, 0.583, 6.849, 3.215, -1.928, 0.881, 0.098, -1, False
"GO:0045495", "pole plasm", 0.009, 2.984, 7.316, 3.239, -1.796, 0.881, 0.113, -1, False
"GO:0099738", "cell cortex region", 0.021, -2.229, 7.785, 3.602, -1.602, 0.769, 0.119, -1, False
"GO:0045179", "apical cortex", 0.003, null, null, 2.705, -1.747, 0.747, 0.730, 99738, True
"GO:0016324", "apical plasma membrane", 0.075, null, null, 4.146, -1.465, 0.813, 0.788, 99738, True
"GO:0016607", "nuclear speck", 0.125, -5.977, 1.151, 4.370, -2.553, 0.781, 0.150, -1, False
"GO:0035062", "omega speckle", 0.000, null, null, 1.580, -1.764, 0.834, 0.610, 16607, True
"GO:0036464", "cytoplasmic ribonucleoprotein granule", 0.117, -2.922, 5.042, 4.341, -2.456, 0.794, 0.163, -1, False
"GO:0000932", "P-body", 0.068, null, null, 4.107, -1.987, 0.799, 0.957, 36464, True
"GO:0005776", "autophagosome", 0.039, -4.280, 2.960, 3.861, -1.959, 0.727, 0.195, -1, False
"GO:0005767", "secondary lysosome", 0.003, null, null, 2.757, -1.345, 0.748, 0.557, 5776, True
"GO:0044754", "autolysosome", 0.002, null, null, 2.607, -1.345, 0.752, 0.578, 5776, True
"GO:0005764", "lysosome", 0.218, null, null, 4.611, -1.377, 0.692, 0.727, 5776, True
"GO:0000323", "lytic vacuole", 0.282, null, null, 4.724, -1.363, 0.698, 0.847, 5776, True
"GO:0005773", "vacuole", 0.602, -2.315, 2.438, 5.052, -1.804, 0.795, 0.240, -1, False
"GO:1990904", "ribonucleoprotein complex", 2.006, 5.784, -0.081, 5.575, -1.585, 0.932, 0.267, -1, False
"GO:0000177", "cytoplasmic exosome (RNase complex)", 0.012, 4.265, 2.441, 3.351, -1.545, 0.792, 0.309, -1, False
"GO:0000176", "nuclear exosome (RNase complex)", 0.020, null, null, 3.565, -1.345, 0.725, 0.832, 177, True
"GO:0061689", "tricellular tight junction", 0.002, -3.631, -4.869, 2.624, -1.545, 0.828, 0.411, -1, False
"GO:0005920", "smooth septate junction", 0.000, null, null, 1.519, -1.401, 0.843, 0.603, 61689, True
"GO:0005652", "nuclear lamina", 0.002, -6.854, 0.736, 2.540, -1.345, 0.832, 0.415, -1, False
"GO:0000153", "cytoplasmic ubiquitin ligase complex", 0.012, 4.027, 1.509, 3.359, -1.764, 0.811, 0.438, -1, False
