TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0000095", "S-adenosyl-L-methionine transmembrane transporter activity", 0.002, -4.999, -1.706, 2.685, -2.260, 0.999, 0.000, -1, False
"GO:0019776", "Atg8 ligase activity", 0.001, -3.067, -4.800, 2.415, -1.963, 0.975, 0.000, -1, False
"GO:0035925", "mRNA 3'-UTR AU-rich region binding", 0.006, 5.466, 1.206, 3.201, -1.963, 0.784, 0.000, -1, False
"GO:0043539", "protein serine/threonine kinase activator activity", 0.016, -3.810, 3.142, 3.640, -1.489, 0.959, 0.000, -1, False
"GO:0035254", "glutamate receptor binding", 0.006, 1.300, 6.956, 3.233, -1.788, 0.720, 0.028, -1, False
"GO:0035255", "ionotropic glutamate receptor binding", 0.002, null, null, 2.757, -1.963, 0.732, 0.515, 35254, True
"GO:0005158", "insulin receptor binding", 0.008, null, null, 3.344, -1.788, 0.717, 0.552, 35254, True
"GO:0005154", "epidermal growth factor receptor binding", 0.009, null, null, 3.404, -1.569, 0.715, 0.563, 35254, True
"GO:0070851", "growth factor receptor binding", 0.043, null, null, 4.068, -1.368, 0.696, 0.618, 35254, True
"GO:0004697", "protein kinase C activity", 0.018, -0.135, -6.949, 3.686, -1.963, 0.955, 0.117, -1, False
"GO:0003723", "RNA binding", 5.619, 4.354, -1.517, 6.186, -3.000, 0.809, 0.210, -1, False
"GO:0030628", "pre-mRNA 3'-splice site binding", 0.009, 6.775, 1.294, 3.377, -1.664, 0.780, 0.285, -1, False
"GO:0008266", "poly(U) RNA binding", 0.008, 6.406, -2.009, 3.339, -1.569, 0.733, 0.289, -1, False
"GO:0008187", "poly-pyrimidine tract binding", 0.009, null, null, 3.404, -1.317, 0.732, 0.809, 8266, True
"GO:0000340", "RNA 7-methylguanosine cap binding", 0.009, 7.228, -1.059, 3.368, -1.664, 0.780, 0.290, -1, False
"GO:0004385", "guanylate kinase activity", 0.034, 0.908, -7.360, 3.974, -1.664, 0.954, 0.314, -1, False
"GO:0003729", "mRNA binding", 0.247, 5.780, -0.394, 4.828, -1.431, 0.738, 0.354, -1, False
"GO:0000339", "RNA cap binding", 0.031, 6.777, 0.072, 3.924, -1.368, 0.765, 0.386, -1, False
"GO:0005102", "signaling receptor binding", 0.502, 0.413, 6.682, 5.137, -1.488, 0.765, 0.398, -1, False
"GO:0030371", "translation repressor activity", 0.007, -4.078, 2.418, 3.301, -1.317, 0.959, 0.398, -1, False
