GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0007406	negative regulation of neuroblast prolif...	29	1	0.01	1	0.011	0.011	Biological Process
GO:2000178	negative regulation of neural precursor ...	29	1	0.01	2	0.011	0.011	Biological Process
GO:2000647	negative regulation of stem cell prolife...	32	1	0.01	3	0.012	0.012	Biological Process
GO:1902692	regulation of neuroblast proliferation	41	1	0.02	4	0.016	0.016	Biological Process
GO:2000177	regulation of neural precursor cell prol...	42	1	0.02	5	0.016	0.016	Biological Process
GO:0072091	regulation of stem cell proliferation	47	1	0.02	6	0.018	0.018	Biological Process
GO:0030258	lipid modification	50	1	0.02	7	0.019	0.019	Biological Process
GO:0050768	negative regulation of neurogenesis	55	1	0.02	8	0.021	0.021	Biological Process
GO:0006367	transcription initiation from RNA polyme...	60	1	0.02	9	0.023	0.023	Biological Process
GO:0006352	DNA-templated transcription, initiation	65	1	0.02	10	0.025	0.025	Biological Process
GO:0010721	negative regulation of cell development	65	1	0.02	11	0.025	0.025	Biological Process
GO:0008285	negative regulation of cell population p...	68	1	0.03	12	0.026	0.026	Biological Process
GO:0007405	neuroblast proliferation	80	1	0.03	13	0.030	0.030	Biological Process
GO:0061351	neural precursor cell proliferation	81	1	0.03	14	0.031	0.031	Biological Process
GO:0051961	negative regulation of nervous system de...	92	1	0.03	15	0.035	0.035	Biological Process
GO:0072089	stem cell proliferation	93	1	0.04	16	0.035	0.035	Biological Process
GO:0045596	negative regulation of cell differentiat...	97	1	0.04	17	0.036	0.036	Biological Process
GO:0007351	tripartite regional subdivision	107	1	0.04	18	0.040	0.040	Biological Process
GO:0008595	anterior/posterior axis specification, e...	107	1	0.04	19	0.040	0.040	Biological Process
GO:0000578	embryonic axis specification	114	1	0.04	20	0.043	0.043	Biological Process
GO:0009948	anterior/posterior axis specification	115	1	0.04	21	0.043	0.043	Biological Process
GO:0071617	lysophospholipid acyltransferase activit...	6	1	0	1	0.0028	0.0028	Molecular Function
GO:0070847	core mediator complex	10	1	0	1	0.0043	0.0043	Cellular Component
GO:0016592	mediator complex	28	1	0.01	2	0.0119	0.0119	Cellular Component
GO:0016591	RNA polymerase II, holoenzyme	76	1	0.03	4	0.0322	0.0322	Cellular Component
GO:0055029	nuclear DNA-directed RNA polymerase comp...	95	1	0.04	5	0.0402	0.0402	Cellular Component
GO:0000428	DNA-directed RNA polymerase complex	96	1	0.04	6	0.0406	0.0406	Cellular Component
GO:0030880	RNA polymerase complex	96	1	0.04	7	0.0406	0.0406	Cellular Component
