GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0071632	optomotor response	4	1	0	2	0.0045	0.0045	Biological Process
GO:0033363	secretory granule organization	8	1	0.01	3	0.0091	0.0091	Biological Process
GO:0032940	secretion by cell	166	2	0.19	4	0.0136	0.0136	Biological Process
GO:0140352	export from cell	168	2	0.19	5	0.0139	0.0139	Biological Process
GO:0030518	intracellular steroid hormone receptor s...	13	1	0.01	6	0.0147	0.0147	Biological Process
GO:0046903	secretion	177	2	0.2	7	0.0154	0.0154	Biological Process
GO:0048545	response to steroid hormone	14	1	0.02	8	0.0158	0.0158	Biological Process
GO:0071383	cellular response to steroid hormone sti...	14	1	0.02	9	0.0158	0.0158	Biological Process
GO:0043401	steroid hormone mediated signaling pathw...	14	1	0.02	10	0.0158	0.0158	Biological Process
GO:0006936	muscle contraction	22	1	0.03	12	0.0248	0.0248	Biological Process
GO:0071396	cellular response to lipid	24	1	0.03	13	0.0270	0.0270	Biological Process
GO:0051047	positive regulation of secretion	26	1	0.03	14	0.0293	0.0293	Biological Process
GO:0009755	hormone-mediated signaling pathway	26	1	0.03	15	0.0293	0.0293	Biological Process
GO:0030522	intracellular receptor signaling pathway	28	1	0.03	16	0.0315	0.0315	Biological Process
GO:0071456	cellular response to hypoxia	28	1	0.03	17	0.0315	0.0315	Biological Process
GO:0036294	cellular response to decreased oxygen le...	29	1	0.03	18	0.0326	0.0326	Biological Process
GO:0071453	cellular response to oxygen levels	30	1	0.03	19	0.0337	0.0337	Biological Process
GO:0000077	DNA damage checkpoint	31	1	0.04	20	0.0348	0.0348	Biological Process
GO:0003012	muscle system process	31	1	0.04	21	0.0348	0.0348	Biological Process
GO:0072553	terminal button organization	32	1	0.04	22	0.0359	0.0359	Biological Process
GO:0048589	developmental growth	278	2	0.32	23	0.0361	0.0361	Biological Process
GO:0008355	olfactory learning	34	1	0.04	24	0.0381	0.0381	Biological Process
GO:0006950	response to stress	732	3	0.83	25	0.0386	0.0386	Biological Process
GO:0031570	DNA integrity checkpoint	35	1	0.04	26	0.0392	0.0392	Biological Process
GO:0099172	presynapse organization	38	1	0.04	27	0.0425	0.0425	Biological Process
GO:0048149	behavioral response to ethanol	39	1	0.04	28	0.0436	0.0436	Biological Process
GO:0008306	associative learning	42	1	0.05	30	0.0469	0.0469	Biological Process
GO:0000146	microfilament motor activity	2	1	0	1	0.0014	0.0014	Molecular Function
GO:0004879	nuclear receptor activity	14	1	0.01	5	0.0099	0.0099	Molecular Function
GO:0000978	RNA polymerase II cis-regulatory region ...	33	1	0.02	7	0.0233	0.0233	Molecular Function
GO:0000987	cis-regulatory region sequence-specific ...	37	1	0.03	8	0.0261	0.0261	Molecular Function
GO:0005859	muscle myosin complex	4	1	0.01	1	0.0051	0.0051	Cellular Component
GO:0070971	endoplasmic reticulum exit site	7	1	0.01	3	0.0089	0.0089	Cellular Component
GO:0000137	Golgi cis cisterna	8	1	0.01	4	0.0102	0.0102	Cellular Component
GO:0031985	Golgi cisterna	27	1	0.03	6	0.0341	0.0341	Cellular Component
