TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0048471", "perinuclear region of cytoplasm", 0.153, 5.348, -0.662, 4.458, -2.337, 0.898, 0.000, -1, False
"GO:0061689", "tricellular tight junction", 0.002, -0.018, 5.555, 2.624, -1.975, 0.582, 0.000, -1, False
"GO:0014069", "postsynaptic density", 0.049, null, null, 3.964, -1.896, 0.410, 0.515, 61689, True
"GO:0061176", "type Ib terminal bouton", 0.000, null, null, 1.699, -1.770, 0.505, 0.521, 61689, True
"GO:0030424", "axon", 0.126, null, null, 4.374, -1.572, 0.861, 0.602, 61689, True
"GO:0005920", "smooth septate junction", 0.000, null, null, 1.519, -1.827, 0.619, 0.603, 61689, True
"GO:0098984", "neuron to neuron synapse", 0.054, null, null, 4.004, -1.896, 0.506, 0.704, 61689, True
"GO:0099572", "postsynaptic specialization", 0.054, null, null, 4.008, -1.500, 0.430, 0.818, 61689, True
"GO:0045211", "postsynaptic membrane", 0.128, null, null, 4.379, -1.399, 0.395, 0.874, 61689, True
"GO:0071212", "subsynaptic reticulum", 0.000, null, null, 1.949, -1.674, 0.429, 0.920, 61689, True
"GO:0032279", "asymmetric synapse", 0.049, null, null, 3.966, -1.896, 0.484, 0.988, 61689, True
"GO:0016328", "lateral plasma membrane", 0.018, -5.671, -0.487, 3.527, -1.597, 0.947, 0.000, -1, False
"GO:0030126", "COPI vesicle coat", 0.053, 3.779, -5.338, 3.997, -1.827, 0.553, 0.151, -1, False
"GO:0030120", "vesicle coat", 0.160, null, null, 4.477, -1.337, 0.587, 0.887, 30126, True
"GO:0030137", "COPI-coated vesicle", 0.066, null, null, 4.090, -1.827, 0.565, 0.912, 30126, True
"GO:0030660", "Golgi-associated vesicle membrane", 0.102, null, null, 4.283, -1.337, 0.571, 0.955, 30126, True
"GO:0030663", "COPI-coated vesicle membrane", 0.064, null, null, 4.077, -1.827, 0.550, 0.983, 30126, True
"GO:0016327", "apicolateral plasma membrane", 0.004, -4.593, -4.748, 2.876, -1.399, 0.898, 0.167, -1, False
