GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0009135	purine nucleoside diphosphate metabolic ...	18	2	0.04	1	0.0289	0.00071	Biological Process
GO:0009185	ribonucleoside diphosphate metabolic pro...	18	2	0.04	2	0.0289	0.00071	Biological Process
GO:0009179	purine ribonucleoside diphosphate metabo...	18	2	0.04	3	0.0289	0.00071	Biological Process
GO:0046425	regulation of receptor signaling pathway...	22	2	0.05	5	0.0011	0.00107	Biological Process
GO:0009132	nucleoside diphosphate metabolic process	24	2	0.05	6	0.0410	0.00128	Biological Process
GO:0042593	glucose homeostasis	25	2	0.06	8	0.0490	0.00139	Biological Process
GO:0007526	larval somatic muscle development	31	2	0.07	11	0.0021	0.00213	Biological Process
GO:1903461	Okazaki fragment processing involved in ...	1	1	0	12	0.0023	0.00228	Biological Process
GO:0035291	specification of segmental identity, int...	1	1	0	13	0.0023	0.00228	Biological Process
GO:0030710	regulation of border follicle cell delam...	1	1	0	14	0.0023	0.00228	Biological Process
GO:0001678	cellular glucose homeostasis	1	1	0	15	0.0023	0.00228	Biological Process
GO:0035167	larval lymph gland hemopoiesis	39	2	0.09	18	0.0034	0.00336	Biological Process
GO:0030714	anterior/posterior axis specification, f...	2	1	0	19	0.0046	0.00455	Biological Process
GO:0006266	DNA ligation	3	1	0.01	21	0.0068	0.00682	Biological Process
GO:0097120	receptor localization to synapse	3	1	0.01	23	0.0068	0.00682	Biological Process
GO:0021700	developmental maturation	183	3	0.42	24	0.0072	0.00720	Biological Process
GO:0046710	GDP metabolic process	4	1	0.01	27	0.0091	0.00908	Biological Process
GO:0009608	response to symbiont	4	1	0.01	28	0.0091	0.00908	Biological Process
GO:0090277	positive regulation of peptide hormone s...	4	1	0.01	29	0.0091	0.00908	Biological Process
GO:0046956	positive phototaxis	4	1	0.01	30	0.0091	0.00908	Biological Process
GO:0001708	cell fate specification	72	2	0.16	33	0.0111	0.01113	Biological Process
GO:0046037	GMP metabolic process	5	1	0.01	35	0.0113	0.01134	Biological Process
GO:0016336	establishment or maintenance of polarity...	5	1	0.01	36	0.0113	0.01134	Biological Process
GO:0051156	glucose 6-phosphate metabolic process	5	1	0.01	39	0.0113	0.01134	Biological Process
GO:0010975	regulation of neuron projection developm...	77	2	0.18	40	0.0127	0.01266	Biological Process
GO:0043113	receptor clustering	6	1	0.01	43	0.0136	0.01360	Biological Process
GO:0016335	morphogenesis of larval imaginal disc ep...	6	1	0.01	44	0.0136	0.01360	Biological Process
GO:0045332	phospholipid translocation	6	1	0.01	46	0.0136	0.01360	Biological Process
GO:0010876	lipid localization	81	2	0.18	49	0.0139	0.01395	Biological Process
GO:0042694	muscle cell fate specification	7	1	0.02	52	0.0158	0.01585	Biological Process
GO:0070572	positive regulation of neuron projection...	7	1	0.02	53	0.0158	0.01585	Biological Process
GO:0048680	positive regulation of axon regeneration	7	1	0.02	54	0.0158	0.01585	Biological Process
GO:0034204	lipid translocation	7	1	0.02	55	0.0158	0.01585	Biological Process
GO:0016204	determination of muscle attachment site	7	1	0.02	56	0.0158	0.01585	Biological Process
GO:0016332	establishment or maintenance of polarity...	8	1	0.02	58	0.0181	0.01809	Biological Process
GO:0045165	cell fate commitment	258	3	0.59	60	0.0184	0.01838	Biological Process
GO:0009167	purine ribonucleoside monophosphate meta...	94	2	0.21	61	0.0185	0.01851	Biological Process
GO:0009126	purine nucleoside monophosphate metaboli...	94	2	0.21	62	0.0185	0.01851	Biological Process
GO:0051960	regulation of nervous system development	259	3	0.59	63	0.0186	0.01857	Biological Process
GO:0009165	nucleotide biosynthetic process	96	2	0.22	64	0.0193	0.01926	Biological Process
GO:0009161	ribonucleoside monophosphate metabolic p...	98	2	0.22	65	0.0200	0.02002	Biological Process
GO:1901293	nucleoside phosphate biosynthetic proces...	98	2	0.22	66	0.0200	0.02002	Biological Process
