GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0009056	catabolic process	573	75	20.45	7	0.00921	3.4e-26	Biological Process
GO:0044248	cellular catabolic process	534	72	19.06	8	0.02983	7.9e-26	Biological Process
GO:0080134	regulation of response to stress	166	41	5.92	17	0.01523	2.0e-24	Biological Process
GO:0016236	macroautophagy	71	29	2.53	18	0.02355	2.3e-24	Biological Process
GO:0032101	regulation of response to external stimu...	128	36	4.57	23	0.01820	1.4e-23	Biological Process
GO:0043900	regulation of multi-organism process	97	32	3.46	24	0.00017	2.1e-23	Biological Process
GO:0031347	regulation of defense response	67	26	2.39	32	0.01865	3.1e-21	Biological Process
GO:0050776	regulation of immune response	76	27	2.71	33	0.00041	8.1e-21	Biological Process
GO:0007166	cell surface receptor signaling pathway	517	63	18.45	39	0.00041	7.4e-20	Biological Process
GO:0051704	multi-organism process	887	83	31.65	44	0.03800	3.1e-19	Biological Process
GO:0002697	regulation of immune effector process	47	21	1.68	48	0.02218	7.3e-19	Biological Process
GO:0002920	regulation of humoral immune response	37	19	1.32	50	0.01178	1.3e-18	Biological Process
GO:0006959	humoral immune response	69	24	2.46	52	0.01289	2.4e-18	Biological Process
GO:0006915	apoptotic process	209	38	7.46	58	0.00189	1.2e-17	Biological Process
GO:0042594	response to starvation	106	28	3.78	59	0.04523	1.2e-17	Biological Process
GO:0035556	intracellular signal transduction	432	54	15.42	62	0.00634	2.4e-17	Biological Process
GO:0002784	regulation of antimicrobial peptide prod...	34	16	1.21	78	0.02053	4.6e-15	Biological Process
GO:0002775	antimicrobial peptide production	35	16	1.25	82	0.02379	8.2e-15	Biological Process
GO:0002700	regulation of production of molecular me...	35	16	1.25	83	0.02379	8.2e-15	Biological Process
GO:0061844	antimicrobial humoral immune response me...	36	16	1.28	84	0.02732	1.4e-14	Biological Process
GO:0002440	production of molecular mediator of immu...	36	16	1.28	85	0.02732	1.4e-14	Biological Process
GO:0006468	protein phosphorylation	337	43	12.03	89	0.00172	4.5e-14	Biological Process
GO:0009617	response to bacterium	93	23	3.32	92	0.01111	5.7e-14	Biological Process
GO:0019731	antibacterial humoral response	20	12	0.71	98	0.02142	3.0e-13	Biological Process
GO:0042981	regulation of apoptotic process	171	29	6.1	109	0.00029	8.5e-13	Biological Process
GO:0042742	defense response to bacterium	87	21	3.1	112	0.03453	1.3e-12	Biological Process
GO:0050688	regulation of defense response to virus	18	11	0.64	115	0.00125	2.3e-12	Biological Process
GO:0048477	oogenesis	479	49	17.09	119	0.00207	3.1e-12	Biological Process
GO:0009966	regulation of signal transduction	569	53	20.31	134	0.03551	1.3e-11	Biological Process
GO:0052548	regulation of endopeptidase activity	34	13	1.21	154	0.01550	4.9e-11	Biological Process
GO:0010646	regulation of cell communication	633	55	22.59	158	0.04176	7.8e-11	Biological Process
GO:0023051	regulation of signaling	635	55	22.66	159	0.04333	8.8e-11	Biological Process
GO:0052547	regulation of peptidase activity	38	13	1.36	169	0.02858	2.5e-10	Biological Process
GO:0045595	regulation of cell differentiation	292	34	10.42	178	0.00157	4.2e-10	Biological Process
GO:0002781	antifungal peptide production	8	7	0.29	181	0.03459	5.1e-10	Biological Process
GO:0002788	regulation of antifungal peptide product...	8	7	0.29	182	0.03459	5.1e-10	Biological Process
GO:1900150	regulation of defense response to fungus	8	7	0.29	185	0.03459	5.1e-10	Biological Process
GO:0002804	positive regulation of antifungal peptid...	8	7	0.29	186	0.03459	5.1e-10	Biological Process
GO:0001934	positive regulation of protein phosphory...	100	19	3.57	196	0.00278	1.3e-09	Biological Process
GO:0045476	nurse cell apoptotic process	17	9	0.61	197	0.00025	1.5e-09	Biological Process
GO:0004197	cysteine-type endopeptidase activity	15	8	0.6	8	0.00059	2.8e-08	Molecular Function
GO:0004857	enzyme inhibitor activity	31	10	1.24	13	0.00193	1.7e-07	Molecular Function
GO:0004869	cysteine-type endopeptidase inhibitor ac...	5	4	0.2	25	0.03924	1.2e-05	Molecular Function
GO:0019904	protein domain specific binding	60	11	2.39	27	0.00151	1.8e-05	Molecular Function
GO:0042834	peptidoglycan binding	8	4	0.32	39	0.00015	0.00015	Molecular Function
GO:0089720	caspase binding	4	3	0.16	41	0.00024	0.00024	Molecular Function
GO:0043027	cysteine-type endopeptidase inhibitor ac...	4	3	0.16	42	0.00024	0.00024	Molecular Function
GO:0019207	kinase regulator activity	46	8	1.84	44	0.03866	0.00039	Molecular Function
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	37	7	1.48	46	0.01119	0.00053	Molecular Function
GO:0004707	MAP kinase activity	5	3	0.2	47	0.00059	0.00059	Molecular Function
GO:0005200	structural constituent of cytoskeleton	30	6	1.2	49	0.00099	0.00099	Molecular Function
GO:0016798	hydrolase activity, acting on glycosyl b...	42	7	1.68	50	0.01938	0.00118	Molecular Function
GO:0097199	cysteine-type endopeptidase activity inv...	2	2	0.08	53	0.00158	0.00158	Molecular Function
GO:0004348	glucosylceramidase activity	2	2	0.08	54	0.00158	0.00158	Molecular Function
GO:0008656	cysteine-type endopeptidase activator ac...	2	2	0.08	55	0.00158	0.00158	Molecular Function
GO:0034584	piRNA binding	2	2	0.08	56	0.00158	0.00158	Molecular Function
GO:0004706	JUN kinase kinase kinase activity	2	2	0.08	57	0.00158	0.00158	Molecular Function
GO:0008553	proton-exporting ATPase activity, phosph...	2	2	0.08	58	0.00158	0.00158	Molecular Function
GO:0016443	bidentate ribonuclease III activity	2	2	0.08	60	0.00158	0.00158	Molecular Function
GO:0004530	deoxyribonuclease I activity	2	2	0.08	61	0.00158	0.00158	Molecular Function
GO:0051117	ATPase binding	2	2	0.08	62	0.00158	0.00158	Molecular Function
GO:0001872	(1->3)-beta-D-glucan binding	2	2	0.08	63	0.00158	0.00158	Molecular Function
GO:0061663	NEDD8 ligase activity	2	2	0.08	64	0.00158	0.00158	Molecular Function
GO:0019887	protein kinase regulator activity	45	7	1.8	66	0.00179	0.00179	Molecular Function
GO:0030276	clathrin binding	15	4	0.6	68	0.00237	0.00237	Molecular Function
GO:0005484	SNAP receptor activity	15	4	0.6	69	0.00237	0.00237	Molecular Function
GO:0032934	sterol binding	9	3	0.36	73	0.00439	0.00439	Molecular Function
GO:0038187	pattern recognition receptor activity	3	2	0.12	76	0.00463	0.00463	Molecular Function
GO:0004867	serine-type endopeptidase inhibitor acti...	3	2	0.12	77	0.00463	0.00463	Molecular Function
GO:0031625	ubiquitin protein ligase binding	42	6	1.68	78	0.00587	0.00587	Molecular Function
GO:0005126	cytokine receptor binding	11	3	0.44	82	0.00813	0.00813	Molecular Function
GO:0061631	ubiquitin conjugating enzyme activity	4	2	0.16	84	0.00901	0.00901	Molecular Function
GO:1990381	ubiquitin-specific protease binding	4	2	0.16	86	0.00901	0.00901	Molecular Function
GO:0019210	kinase inhibitor activity	12	3	0.48	92	0.01053	0.01053	Molecular Function
GO:0004860	protein kinase inhibitor activity	12	3	0.48	93	0.01053	0.01053	Molecular Function
GO:0000149	SNARE binding	36	5	1.44	94	0.01319	0.01319	Molecular Function
GO:0004438	phosphatidylinositol-3-phosphatase activ...	6	2	0.24	97	0.02137	0.02137	Molecular Function
GO:0052744	phosphatidylinositol monophosphate phosp...	6	2	0.24	98	0.02137	0.02137	Molecular Function
GO:0051219	phosphoprotein binding	7	2	0.28	103	0.02914	0.02914	Molecular Function
GO:0005121	Toll binding	8	2	0.32	107	0.03785	0.03785	Molecular Function
GO:0016682	oxidoreductase activity, acting on diphe...	1	1	0.04	108	0.03991	0.03991	Molecular Function
GO:0004694	eukaryotic translation initiation factor...	1	1	0.04	109	0.03991	0.03991	Molecular Function
GO:0008384	IkappaB kinase activity	1	1	0.04	110	0.03991	0.03991	Molecular Function
GO:0034594	phosphatidylinositol trisphosphate phosp...	1	1	0.04	111	0.03991	0.03991	Molecular Function
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	1	1	0.04	112	0.03991	0.03991	Molecular Function
GO:0036263	L-DOPA monooxygenase activity	1	1	0.04	113	0.03991	0.03991	Molecular Function
GO:0036264	dopamine monooxygenase activity	1	1	0.04	114	0.03991	0.03991	Molecular Function
GO:0004686	elongation factor-2 kinase activity	1	1	0.04	115	0.03991	0.03991	Molecular Function
GO:0004676	3-phosphoinositide-dependent protein kin...	1	1	0.04	116	0.03991	0.03991	Molecular Function
GO:0004679	AMP-activated protein kinase activity	1	1	0.04	117	0.03991	0.03991	Molecular Function
GO:0051800	phosphatidylinositol-3,4-bisphosphate 3-...	1	1	0.04	118	0.03991	0.03991	Molecular Function
GO:0051717	inositol-1,3,4,5-tetrakisphosphate 3-pho...	1	1	0.04	119	0.03991	0.03991	Molecular Function
GO:0052743	inositol tetrakisphosphate phosphatase a...	1	1	0.04	120	0.03991	0.03991	Molecular Function
GO:0046935	1-phosphatidylinositol-3-kinase regulato...	1	1	0.04	121	0.03991	0.03991	Molecular Function
GO:0015925	galactosidase activity	1	1	0.04	122	0.03991	0.03991	Molecular Function
GO:0004705	JUN kinase activity	1	1	0.04	123	0.03991	0.03991	Molecular Function
GO:0004566	beta-glucuronidase activity	1	1	0.04	124	0.03991	0.03991	Molecular Function
GO:0004567	beta-mannosidase activity	1	1	0.04	125	0.03991	0.03991	Molecular Function
GO:1990525	BIR domain binding	1	1	0.04	126	0.03991	0.03991	Molecular Function
GO:0004557	alpha-galactosidase activity	1	1	0.04	127	0.03991	0.03991	Molecular Function
GO:0004097	catechol oxidase activity	1	1	0.04	128	0.03991	0.03991	Molecular Function
GO:0032051	clathrin light chain binding	1	1	0.04	129	0.03991	0.03991	Molecular Function
GO:0005159	insulin-like growth factor receptor bind...	1	1	0.04	130	0.03991	0.03991	Molecular Function
GO:0004517	nitric-oxide synthase activity	1	1	0.04	131	0.03991	0.03991	Molecular Function
GO:0004531	deoxyribonuclease II activity	1	1	0.04	132	0.03991	0.03991	Molecular Function
GO:0008545	JUN kinase kinase activity	1	1	0.04	133	0.03991	0.03991	Molecular Function
GO:0070976	TIR domain binding	1	1	0.04	134	0.03991	0.03991	Molecular Function
GO:0004503	monophenol monooxygenase activity	1	1	0.04	135	0.03991	0.03991	Molecular Function
GO:0016314	phosphatidylinositol-3,4,5-trisphosphate...	1	1	0.04	136	0.03991	0.03991	Molecular Function
GO:0016716	oxidoreductase activity, acting on paire...	1	1	0.04	137	0.03991	0.03991	Molecular Function
GO:0031435	mitogen-activated protein kinase kinase ...	1	1	0.04	138	0.03991	0.03991	Molecular Function
GO:0019777	Atg12 transferase activity	1	1	0.04	139	0.03991	0.03991	Molecular Function
GO:0035014	phosphatidylinositol 3-kinase regulator ...	1	1	0.04	140	0.03991	0.03991	Molecular Function
GO:0019778	Atg12 activating enzyme activity	1	1	0.04	141	0.03991	0.03991	Molecular Function
GO:0019779	Atg8 activating enzyme activity	1	1	0.04	142	0.03991	0.03991	Molecular Function
GO:0004683	calmodulin-dependent protein kinase acti...	9	2	0.36	144	0.04741	0.04741	Molecular Function
GO:0005737	cytoplasm	2565	142	98.57	6	0.03873	5.3e-12	Cellular Component
GO:0000323	lytic vacuole	58	17	2.23	8	0.03544	2.0e-11	Cellular Component
GO:0016471	vacuolar proton-transporting V-type ATPa...	10	8	0.38	11	0.00020	1.7e-10	Cellular Component
GO:0005776	autophagosome	28	9	1.08	24	0.00138	5.5e-07	Cellular Component
GO:0005768	endosome	152	20	5.84	25	0.00191	1.0e-06	Cellular Component
GO:0030136	clathrin-coated vesicle	18	7	0.69	31	0.00147	2.4e-06	Cellular Component
GO:0030118	clathrin coat	10	5	0.38	35	0.01930	1.7e-05	Cellular Component
GO:0030121	AP-1 adaptor complex	4	3	0.15	41	0.00022	0.00022	Cellular Component
GO:0005829	cytosol	382	29	14.68	46	0.00352	0.00025	Cellular Component
GO:0034045	phagophore assembly site membrane	5	3	0.19	47	0.00053	0.00053	Cellular Component
GO:0005769	early endosome	41	7	1.58	51	0.00082	0.00082	Cellular Component
GO:1990131	Gtr1-Gtr2 GTPase complex	2	2	0.08	53	0.00147	0.00147	Cellular Component
GO:0033596	TSC1-TSC2 complex	2	2	0.08	54	0.00147	0.00147	Cellular Component
GO:0043293	apoptosome	2	2	0.08	55	0.00147	0.00147	Cellular Component
GO:0031201	SNARE complex	15	4	0.58	56	0.00206	0.00206	Cellular Component
GO:0005802	trans-Golgi network	27	5	1.04	60	0.00321	0.00321	Cellular Component
GO:0045169	fusome	28	5	1.08	61	0.00379	0.00379	Cellular Component
GO:0005765	lysosomal membrane	18	4	0.69	62	0.00423	0.00423	Cellular Component
GO:0070578	RISC-loading complex	3	2	0.12	64	0.00429	0.00429	Cellular Component
GO:0034274	Atg12-Atg5-Atg16 complex	3	2	0.12	65	0.00429	0.00429	Cellular Component
GO:0034448	EGO complex	3	2	0.12	66	0.00429	0.00429	Cellular Component
GO:0070725	Yb body	4	2	0.15	70	0.00837	0.00837	Cellular Component
GO:0008305	integrin complex	4	2	0.15	71	0.00837	0.00837	Cellular Component
GO:0031932	TORC2 complex	4	2	0.15	73	0.00837	0.00837	Cellular Component
GO:0048471	perinuclear region of cytoplasm	49	6	1.88	77	0.01049	0.01049	Cellular Component
GO:0000159	protein phosphatase type 2A complex	5	2	0.19	79	0.01360	0.01360	Cellular Component
GO:0099513	polymeric cytoskeletal fiber	54	6	2.08	81	0.01655	0.01655	Cellular Component
GO:0031332	RNAi effector complex	6	2	0.23	83	0.01989	0.01989	Cellular Component
GO:0016442	RISC complex	6	2	0.23	84	0.01989	0.01989	Cellular Component
GO:0045202	synapse	188	13	7.22	88	0.02777	0.02777	Cellular Component
GO:0008385	IkappaB kinase complex	1	1	0.04	90	0.03843	0.03843	Cellular Component
GO:0033256	I-kappaB/NF-kappaB complex	1	1	0.04	91	0.03843	0.03843	Cellular Component
GO:0098948	intrinsic component of postsynaptic spec...	1	1	0.04	92	0.03843	0.03843	Cellular Component
GO:0035976	transcription factor AP-1 complex	1	1	0.04	93	0.03843	0.03843	Cellular Component
GO:0044753	amphisome	1	1	0.04	94	0.03843	0.03843	Cellular Component
GO:0071561	nucleus-vacuole junction	1	1	0.04	95	0.03843	0.03843	Cellular Component
GO:1990923	PET complex	1	1	0.04	96	0.03843	0.03843	Cellular Component
GO:0099146	intrinsic component of postsynaptic dens...	1	1	0.04	97	0.03843	0.03843	Cellular Component
GO:0099060	integral component of postsynaptic speci...	1	1	0.04	98	0.03843	0.03843	Cellular Component
GO:0099061	integral component of postsynaptic densi...	1	1	0.04	99	0.03843	0.03843	Cellular Component
GO:0044232	organelle membrane contact site	1	1	0.04	100	0.03843	0.03843	Cellular Component
GO:0033290	eukaryotic 48S preinitiation complex	1	1	0.04	101	0.03843	0.03843	Cellular Component
GO:0031205	endoplasmic reticulum Sec complex	1	1	0.04	102	0.03843	0.03843	Cellular Component
GO:0031594	neuromuscular junction	66	6	2.54	103	0.04000	0.04000	Cellular Component
GO:0005615	extracellular space	139	10	5.34	104	0.04019	0.04019	Cellular Component
GO:0005791	rough endoplasmic reticulum	9	2	0.35	105	0.04426	0.04426	Cellular Component
GO:0005905	clathrin-coated pit	9	2	0.35	106	0.04426	0.04426	Cellular Component
