term_ID,description,frequency,plot_X,plot_Y,plot_size,uniqueness,dispensability,representative,eliminated
GO:0006109,"regulation of carbohydrate metabolic process",1.661%, 1.235,-7.077,2.279,0.709,0.000,6109,0
GO:0009405,"pathogenesis",0.018%,-4.147, 3.150,0.477,0.826,0.000,9405,0
GO:0009650,"UV protection",0.026%,-3.987,-3.126,0.602,0.826,0.000,9650,0
GO:0097502,"mannosylation",0.141%, 2.337, 6.170,1.230,0.490,0.059,97502,0
GO:0006493,"protein O-linked glycosylation",0.246%,null,null,1.462,0.338,0.719,97502,1
GO:0018193,"peptidyl-amino acid modification",3.314%, 5.031,-1.279,2.577,0.460,0.121,18193,0
GO:0000154,"rRNA modification",0.211%, 6.716,-0.172,1.398,0.355,0.362,154,0
GO:0031167,"rRNA methylation",0.141%,null,null,1.230,0.333,0.847,154,1
GO:0030488,"tRNA methylation",0.149%,null,null,1.255,0.340,0.758,154,1
GO:0035269,"protein O-linked mannosylation",0.044%, 4.381, 2.949,0.778,0.348,0.632,35269,0
GO:0035268,"protein mannosylation",0.053%,null,null,0.845,0.345,0.858,35269,1
GO:0070476,"rRNA (guanine-N7)-methylation",0.018%, 7.219,-0.909,0.477,0.377,0.648,70476,0
