GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0043085	positive regulation of catalytic activit...	207	5	0.39	1	0.01495	1.9e-05	Biological Process
GO:0032270	positive regulation of cellular protein ...	214	5	0.41	2	0.01635	2.3e-05	Biological Process
GO:0051247	positive regulation of protein metabolic...	223	5	0.42	5	0.01823	2.8e-05	Biological Process
GO:0044093	positive regulation of molecular functio...	233	5	0.44	6	0.02042	3.4e-05	Biological Process
GO:0007165	signal transduction	1028	8	1.95	11	0.04999	6.3e-05	Biological Process
GO:0050790	regulation of catalytic activity	309	5	0.59	16	0.04049	0.00013	Biological Process
GO:0051173	positive regulation of nitrogen compound...	520	6	0.99	17	0.01819	0.00013	Biological Process
GO:0048584	positive regulation of response to stimu...	311	5	0.59	18	0.00868	0.00014	Biological Process
GO:0031325	positive regulation of cellular metaboli...	540	6	1.03	19	0.02043	0.00017	Biological Process
GO:0045860	positive regulation of protein kinase ac...	61	3	0.12	21	0.00395	0.00017	Biological Process
GO:0042981	regulation of apoptotic process	171	4	0.32	22	0.00237	0.00019	Biological Process
GO:0009966	regulation of signal transduction	569	6	1.08	26	0.00627	0.00022	Biological Process
GO:0009893	positive regulation of metabolic process	583	6	1.11	29	0.02577	0.00025	Biological Process
GO:0043406	positive regulation of MAP kinase activi...	19	2	0.04	42	0.02537	0.00055	Biological Process
GO:0046330	positive regulation of JNK cascade	21	2	0.04	46	0.02871	0.00067	Biological Process
GO:0070304	positive regulation of stress-activated ...	22	2	0.04	47	0.03038	0.00073	Biological Process
GO:0032874	positive regulation of stress-activated ...	22	2	0.04	48	0.03038	0.00073	Biological Process
GO:0009967	positive regulation of signal transducti...	248	4	0.47	50	0.04910	0.00080	Biological Process
GO:0045807	positive regulation of endocytosis	24	2	0.05	53	0.00088	0.00088	Biological Process
GO:0043405	regulation of MAP kinase activity	27	2	0.05	57	0.03867	0.00111	Biological Process
GO:0071475	cellular hyperosmotic salinity response	1	1	0	67	0.00190	0.00190	Biological Process
GO:0007594	puparial adhesion	1	1	0	68	0.00190	0.00190	Biological Process
GO:0031452	negative regulation of heterochromatin a...	1	1	0	69	0.00190	0.00190	Biological Process
GO:0000003	reproduction	854	6	1.62	74	0.02175	0.00208	Biological Process
GO:0080134	regulation of response to stress	166	3	0.32	79	0.02940	0.00313	Biological Process
