GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0019934	cGMP-mediated signaling	6	3	0.22	3	0.00093	0.00093	Biological Process
GO:0009653	anatomical structure morphogenesis	1138	61	42.34	4	0.04137	0.00099	Biological Process
GO:0030154	cell differentiation	1260	66	46.88	5	0.01918	0.00105	Biological Process
GO:0048869	cellular developmental process	1293	67	48.11	6	0.02165	0.00128	Biological Process
GO:0071596	ubiquitin-dependent protein catabolic pr...	2	2	0.07	7	0.00138	0.00138	Biological Process
GO:0051642	centrosome localization	15	4	0.56	9	0.00184	0.00184	Biological Process
GO:0048856	anatomical structure development	1915	90	71.25	10	0.04211	0.00318	Biological Process
GO:0048308	organelle inheritance	3	2	0.11	11	0.00403	0.00403	Biological Process
GO:0090092	regulation of transmembrane receptor pro...	43	6	1.6	19	0.00475	0.00475	Biological Process
GO:0051100	negative regulation of binding	10	3	0.37	20	0.00502	0.00502	Biological Process
GO:0008407	chaeta morphogenesis	32	5	1.19	24	0.00601	0.00601	Biological Process
GO:0007500	mesodermal cell fate determination	4	2	0.15	30	0.00786	0.00786	Biological Process
GO:0042816	vitamin B6 metabolic process	4	2	0.15	31	0.00786	0.00786	Biological Process
GO:0051046	regulation of secretion	63	7	2.34	33	0.00840	0.00840	Biological Process
GO:0007411	axon guidance	205	15	7.63	36	0.00893	0.00893	Biological Process
GO:0051254	positive regulation of RNA metabolic pro...	307	20	11.42	39	0.00965	0.00965	Biological Process
GO:0045893	positive regulation of transcription, DN...	290	19	10.79	40	0.01091	0.01091	Biological Process
GO:0008347	glial cell migration	24	4	0.89	41	0.01100	0.01100	Biological Process
GO:0051865	protein autoubiquitination	13	3	0.48	42	0.01101	0.01101	Biological Process
GO:0002121	inter-male aggressive behavior	13	3	0.48	43	0.01101	0.01101	Biological Process
GO:2001141	regulation of RNA biosynthetic process	691	37	25.71	48	0.01265	0.01265	Biological Process
GO:1903506	regulation of nucleic acid-templated tra...	691	37	25.71	49	0.01265	0.01265	Biological Process
GO:0018130	heterocycle biosynthetic process	926	47	34.45	50	0.01274	0.01274	Biological Process
GO:0010603	regulation of cytoplasmic mRNA processin...	5	2	0.19	51	0.01279	0.01279	Biological Process
GO:0043392	negative regulation of DNA binding	5	2	0.19	52	0.01279	0.01279	Biological Process
GO:0010468	regulation of gene expression	928	47	34.53	55	0.01324	0.01324	Biological Process
GO:0002118	aggressive behavior	14	3	0.52	56	0.01363	0.01363	Biological Process
GO:0006355	regulation of transcription, DNA-templat...	674	36	25.08	60	0.01445	0.01445	Biological Process
GO:1903508	positive regulation of nucleic acid-temp...	299	19	11.12	61	0.01478	0.01478	Biological Process
GO:1902680	positive regulation of RNA biosynthetic ...	299	19	11.12	62	0.01478	0.01478	Biological Process
GO:0008045	motor neuron axon guidance	55	6	2.05	63	0.01563	0.01563	Biological Process
GO:0072499	photoreceptor cell axon guidance	27	4	1	65	0.01667	0.01667	Biological Process
GO:0097659	nucleic acid-templated transcription	729	38	27.12	67	0.01731	0.01731	Biological Process
GO:0032774	RNA biosynthetic process	731	38	27.2	69	0.01803	0.01803	Biological Process
GO:0006357	regulation of transcription by RNA polym...	480	27	17.86	70	0.01840	0.01840	Biological Process
GO:0048636	positive regulation of muscle organ deve...	6	2	0.22	72	0.01871	0.01871	Biological Process
GO:0019438	aromatic compound biosynthetic process	925	46	34.42	74	0.01954	0.01954	Biological Process
GO:0009190	cyclic nucleotide biosynthetic process	16	3	0.6	75	0.01986	0.01986	Biological Process
GO:0030727	germarium-derived female germ-line cyst ...	16	3	0.6	76	0.01986	0.01986	Biological Process
GO:0007040	lysosome organization	16	3	0.6	77	0.01986	0.01986	Biological Process
GO:0052652	cyclic purine nucleotide metabolic proce...	16	3	0.6	78	0.01986	0.01986	Biological Process
GO:0006182	cGMP biosynthetic process	16	3	0.6	79	0.01986	0.01986	Biological Process
GO:0080171	lytic vacuole organization	16	3	0.6	80	0.01986	0.01986	Biological Process
GO:0010557	positive regulation of macromolecule bio...	331	20	12.32	82	0.02067	0.02067	Biological Process
GO:0016441	posttranscriptional gene silencing	43	5	1.6	83	0.02070	0.02070	Biological Process
GO:0010628	positive regulation of gene expression	354	21	13.17	84	0.02156	0.02156	Biological Process
GO:1901362	organic cyclic compound biosynthetic pro...	956	47	35.57	85	0.02208	0.02208	Biological Process
GO:0006915	apoptotic process	209	14	7.78	86	0.02301	0.02301	Biological Process
GO:0040029	regulation of gene expression, epigeneti...	131	10	4.87	87	0.02339	0.02339	Biological Process
GO:0048135	female germ-line cyst formation	17	3	0.63	88	0.02346	0.02346	Biological Process
GO:0045476	nurse cell apoptotic process	17	3	0.63	89	0.02346	0.02346	Biological Process
GO:0007475	apposition of dorsal and ventral imagina...	17	3	0.63	90	0.02346	0.02346	Biological Process
GO:0060581	cell fate commitment involved in pattern...	30	4	1.12	92	0.02388	0.02388	Biological Process
GO:0006351	transcription, DNA-templated	722	37	26.86	93	0.02404	0.02404	Biological Process
GO:0006366	transcription by RNA polymerase II	514	28	19.12	95	0.02418	0.02418	Biological Process
GO:0046825	regulation of protein export from nucleu...	7	2	0.26	96	0.02556	0.02556	Biological Process
GO:0008090	retrograde axonal transport	7	2	0.26	98	0.02556	0.02556	Biological Process
GO:0016199	axon midline choice point recognition	18	3	0.67	99	0.02740	0.02740	Biological Process
GO:0034654	nucleobase-containing compound biosynthe...	875	43	32.56	100	0.02892	0.02892	Biological Process
GO:0048813	dendrite morphogenesis	117	9	4.35	102	0.02944	0.02944	Biological Process
GO:0010556	regulation of macromolecule biosynthetic...	782	39	29.09	104	0.03045	0.03045	Biological Process
GO:0048519	negative regulation of biological proces...	1000	48	37.21	106	0.03074	0.03074	Biological Process
GO:0016198	axon choice point recognition	19	3	0.71	107	0.03167	0.03167	Biological Process
GO:1902742	apoptotic process involved in developmen...	19	3	0.71	108	0.03167	0.03167	Biological Process
GO:0046068	cGMP metabolic process	19	3	0.71	109	0.03167	0.03167	Biological Process
GO:2000112	regulation of cellular macromolecule bio...	762	38	28.35	111	0.03264	0.03264	Biological Process
GO:0010001	glial cell differentiation	33	4	1.23	112	0.03272	0.03272	Biological Process
GO:0031326	regulation of cellular biosynthetic proc...	810	40	30.14	113	0.03274	0.03274	Biological Process
GO:0048608	reproductive structure development	65	6	2.42	114	0.03287	0.03287	Biological Process
GO:0061458	reproductive system development	65	6	2.42	115	0.03287	0.03287	Biological Process
GO:0000712	resolution of meiotic recombination inte...	8	2	0.3	116	0.03326	0.03326	Biological Process
GO:0071322	cellular response to carbohydrate stimul...	8	2	0.3	117	0.03326	0.03326	Biological Process
GO:0009798	axis specification	159	11	5.92	118	0.03394	0.03394	Biological Process
GO:0009889	regulation of biosynthetic process	813	40	30.25	119	0.03449	0.03449	Biological Process
GO:0070647	protein modification by small protein co...	222	14	8.26	121	0.03610	0.03610	Biological Process
GO:0007280	pole cell migration	20	3	0.74	122	0.03627	0.03627	Biological Process
GO:0050803	regulation of synapse structure or activ...	141	10	5.25	123	0.03645	0.03645	Biological Process
GO:0010033	response to organic substance	352	20	13.1	124	0.03677	0.03677	Biological Process
GO:0007033	vacuole organization	50	5	1.86	125	0.03703	0.03703	Biological Process
GO:0000495	box H/ACA snoRNA 3'-end processing	1	1	0.04	126	0.03721	0.03721	Biological Process
GO:1990116	ribosome-associated ubiquitin-dependent ...	1	1	0.04	127	0.03721	0.03721	Biological Process
GO:1902321	methyl-branched fatty acid biosynthetic ...	1	1	0.04	128	0.03721	0.03721	Biological Process
GO:0033979	box H/ACA snoRNA metabolic process	1	1	0.04	129	0.03721	0.03721	Biological Process
GO:0008583	mystery cell differentiation	1	1	0.04	130	0.03721	0.03721	Biological Process
GO:0097089	methyl-branched fatty acid metabolic pro...	1	1	0.04	131	0.03721	0.03721	Biological Process
GO:0043143	regulation of translation by machinery l...	1	1	0.04	132	0.03721	0.03721	Biological Process
GO:0007529	establishment of synaptic specificity at...	1	1	0.04	133	0.03721	0.03721	Biological Process
GO:0003376	sphingosine-1-phosphate receptor signali...	1	1	0.04	134	0.03721	0.03721	Biological Process
GO:0090241	negative regulation of histone H4 acetyl...	1	1	0.04	135	0.03721	0.03721	Biological Process
GO:0035192	nuclear cortical migration	1	1	0.04	136	0.03721	0.03721	Biological Process
GO:0090204	protein localization to nuclear pore	1	1	0.04	137	0.03721	0.03721	Biological Process
GO:0140024	plus-end-directed endosome transport alo...	1	1	0.04	138	0.03721	0.03721	Biological Process
GO:0046900	tetrahydrofolylpolyglutamate metabolic p...	1	1	0.04	139	0.03721	0.03721	Biological Process
GO:0036261	7-methylguanosine cap hypermethylation	1	1	0.04	140	0.03721	0.03721	Biological Process
GO:0046901	tetrahydrofolylpolyglutamate biosyntheti...	1	1	0.04	141	0.03721	0.03721	Biological Process
GO:0048240	sperm capacitation	1	1	0.04	142	0.03721	0.03721	Biological Process
GO:0007493	endodermal cell fate determination	1	1	0.04	143	0.03721	0.03721	Biological Process
GO:0060962	regulation of ribosomal protein gene tra...	1	1	0.04	144	0.03721	0.03721	Biological Process
GO:0060963	positive regulation of ribosomal protein...	1	1	0.04	145	0.03721	0.03721	Biological Process
GO:0000011	vacuole inheritance	1	1	0.04	146	0.03721	0.03721	Biological Process
GO:1904030	negative regulation of cyclin-dependent ...	1	1	0.04	147	0.03721	0.03721	Biological Process
GO:0042817	pyridoxal metabolic process	1	1	0.04	148	0.03721	0.03721	Biological Process
GO:0038063	collagen-activated tyrosine kinase recep...	1	1	0.04	149	0.03721	0.03721	Biological Process
GO:0038065	collagen-activated signaling pathway	1	1	0.04	150	0.03721	0.03721	Biological Process
GO:0090071	negative regulation of ribosome biogenes...	1	1	0.04	151	0.03721	0.03721	Biological Process
GO:0030473	nuclear migration along microtubule	1	1	0.04	152	0.03721	0.03721	Biological Process
GO:0090520	sphingolipid mediated signaling pathway	1	1	0.04	153	0.03721	0.03721	Biological Process
GO:0006907	pinocytosis	1	1	0.04	154	0.03721	0.03721	Biological Process
GO:0097115	neurexin clustering involved in presynap...	1	1	0.04	155	0.03721	0.03721	Biological Process
GO:0045736	negative regulation of cyclin-dependent ...	1	1	0.04	156	0.03721	0.03721	Biological Process
GO:0072383	plus-end-directed vesicle transport alon...	1	1	0.04	157	0.03721	0.03721	Biological Process
GO:0072386	plus-end-directed organelle transport al...	1	1	0.04	158	0.03721	0.03721	Biological Process
GO:0044351	macropinocytosis	1	1	0.04	159	0.03721	0.03721	Biological Process
GO:2000619	negative regulation of histone H4-K16 ac...	1	1	0.04	160	0.03721	0.03721	Biological Process
GO:0034428	nuclear-transcribed mRNA catabolic proce...	1	1	0.04	161	0.03721	0.03721	Biological Process
GO:0009443	pyridoxal 5'-phosphate salvage	1	1	0.04	162	0.03721	0.03721	Biological Process
GO:0034964	box H/ACA snoRNA processing	1	1	0.04	163	0.03721	0.03721	Biological Process
GO:0071773	cellular response to BMP stimulus	35	4	1.3	164	0.03954	0.03954	Biological Process
GO:0030509	BMP signaling pathway	35	4	1.3	165	0.03954	0.03954	Biological Process
GO:0012501	programmed cell death	268	16	9.97	166	0.04025	0.04025	Biological Process
GO:0051299	centrosome separation	21	3	0.78	167	0.04118	0.04118	Biological Process
GO:0009187	cyclic nucleotide metabolic process	21	3	0.78	168	0.04118	0.04118	Biological Process
GO:0035335	peptidyl-tyrosine dephosphorylation	21	3	0.78	170	0.04118	0.04118	Biological Process
GO:0010830	regulation of myotube differentiation	9	2	0.33	171	0.04173	0.04173	Biological Process
GO:0001522	pseudouridine synthesis	9	2	0.33	172	0.04173	0.04173	Biological Process
GO:0007506	gonadal mesoderm development	9	2	0.33	173	0.04173	0.04173	Biological Process
GO:0048142	germarium-derived cystoblast division	9	2	0.33	174	0.04173	0.04173	Biological Process
GO:1901739	regulation of myoblast fusion	9	2	0.33	175	0.04173	0.04173	Biological Process
GO:0060142	regulation of syncytium formation by pla...	9	2	0.33	176	0.04173	0.04173	Biological Process
GO:0006999	nuclear pore organization	9	2	0.33	177	0.04173	0.04173	Biological Process
GO:0031573	intra-S DNA damage checkpoint	9	2	0.33	178	0.04173	0.04173	Biological Process
GO:0016358	dendrite development	125	9	4.65	180	0.04238	0.04238	Biological Process
GO:0071772	response to BMP	36	4	1.34	181	0.04324	0.04324	Biological Process
GO:0009891	positive regulation of biosynthetic proc...	359	20	13.36	182	0.04380	0.04380	Biological Process
GO:0031328	positive regulation of cellular biosynth...	359	20	13.36	183	0.04380	0.04380	Biological Process
GO:0051170	import into nucleus	53	5	1.97	184	0.04591	0.04591	Biological Process
GO:0000122	negative regulation of transcription by ...	127	9	4.73	185	0.04613	0.04613	Biological Process
GO:0008139	nuclear localization sequence binding	13	4	0.47	1	0.00091	0.00091	Molecular Function
GO:0004890	GABA-A receptor activity	2	2	0.07	2	0.00130	0.00130	Molecular Function
GO:0022851	GABA-gated chloride ion channel activity	3	2	0.11	6	0.00380	0.00380	Molecular Function
GO:0008270	zinc ion binding	125	11	4.51	8	0.00505	0.00505	Molecular Function
