GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0071230	cellular response to amino acid stimulus	8	1	0	1	0.0015	0.0015	Biological Process
GO:1902669	positive regulation of axon guidance	13	1	0	4	0.0025	0.0025	Biological Process
GO:0007562	eclosion	16	1	0	6	0.0030	0.0030	Biological Process
GO:0035096	larval midgut cell programmed cell death	20	1	0	9	0.0038	0.0038	Biological Process
GO:0045793	positive regulation of cell size	30	1	0.01	17	0.0057	0.0057	Biological Process
GO:0045886	negative regulation of synaptic growth a...	37	1	0.01	20	0.0070	0.0070	Biological Process
GO:0071902	positive regulation of protein serine/th...	38	1	0.01	23	0.0072	0.0072	Biological Process
GO:0038202	TORC1 signaling	39	1	0.01	25	0.0074	0.0074	Biological Process
GO:0030307	positive regulation of cell growth	41	1	0.01	27	0.0078	0.0078	Biological Process
GO:0008286	insulin receptor signaling pathway	45	1	0.01	28	0.0085	0.0085	Biological Process
GO:0009267	cellular response to starvation	63	1	0.01	46	0.0120	0.0120	Biological Process
GO:0031669	cellular response to nutrient levels	65	1	0.01	49	0.0123	0.0123	Biological Process
GO:0031668	cellular response to extracellular stimu...	67	1	0.01	50	0.0127	0.0127	Biological Process
GO:0071496	cellular response to external stimulus	74	1	0.01	54	0.0140	0.0140	Biological Process
GO:0010506	regulation of autophagy	80	1	0.02	58	0.0152	0.0152	Biological Process
GO:0007517	muscle organ development	82	1	0.02	59	0.0156	0.0156	Biological Process
GO:0042594	response to starvation	106	1	0.02	78	0.0201	0.0201	Biological Process
GO:0031667	response to nutrient levels	121	1	0.02	88	0.0230	0.0230	Biological Process
GO:0009991	response to extracellular stimulus	123	1	0.02	90	0.0233	0.0233	Biological Process
GO:0008340	determination of adult lifespan	127	1	0.02	93	0.0241	0.0241	Biological Process
GO:0010259	multicellular organism aging	130	1	0.02	95	0.0247	0.0247	Biological Process
GO:0007568	aging	134	1	0.03	99	0.0254	0.0254	Biological Process
GO:0006914	autophagy	138	1	0.03	100	0.0262	0.0262	Biological Process
GO:0061919	process utilizing autophagic mechanism	138	1	0.03	101	0.0262	0.0262	Biological Process
GO:0031329	regulation of cellular catabolic process	146	1	0.03	104	0.0277	0.0277	Biological Process
GO:0009894	regulation of catabolic process	155	1	0.03	108	0.0294	0.0294	Biological Process
GO:0007346	regulation of mitotic cell cycle	163	1	0.03	111	0.0309	0.0309	Biological Process
GO:0061061	muscle structure development	199	1	0.04	121	0.0378	0.0378	Biological Process
GO:0051726	regulation of cell cycle	248	1	0.05	139	0.0471	0.0471	Biological Process
GO:0030674	protein-macromolecule adaptor activity	46	1	0.01	1	0.011	0.011	Molecular Function
GO:0060090	molecular adaptor activity	47	1	0.01	2	0.011	0.011	Molecular Function
GO:0031931	TORC1 complex	3	1	0	1	0.00064	0.00064	Cellular Component
