GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0070935	3'-UTR-mediated mRNA stabilization	1	1	0	3	0.00057	0.00057	Biological Process
GO:0008315	G2/MI transition of meiotic cell cycle	2	1	0	5	0.00114	0.00114	Biological Process
GO:0009650	UV protection	2	1	0	7	0.00114	0.00114	Biological Process
GO:0045948	positive regulation of translational ini...	3	1	0	8	0.00171	0.00171	Biological Process
GO:0019985	translesion synthesis	6	1	0	10	0.00341	0.00341	Biological Process
GO:0070475	rRNA base methylation	8	1	0	13	0.00455	0.00455	Biological Process
GO:0045924	regulation of female receptivity	12	1	0.01	18	0.00682	0.00682	Biological Process
GO:0048137	spermatocyte division	16	1	0.01	21	0.00909	0.00909	Biological Process
GO:0000724	double-strand break repair via homologou...	36	1	0.02	30	0.02037	0.02037	Biological Process
GO:0000725	recombinational repair	36	1	0.02	31	0.02037	0.02037	Biological Process
GO:0006302	double-strand break repair	55	1	0.03	38	0.03100	0.03100	Biological Process
GO:0006310	DNA recombination	59	1	0.03	40	0.03323	0.03323	Biological Process
GO:0052907	23S rRNA (adenine(1618)-N(6))-methyltran...	1	1	0	2	0.00071	0.00071	Molecular Function
GO:0008494	translation activator activity	2	1	0	3	0.00143	0.00143	Molecular Function
GO:0003887	DNA-directed DNA polymerase activity	11	1	0.01	5	0.00782	0.00782	Molecular Function
GO:0003730	mRNA 3'-UTR binding	22	1	0.02	9	0.01560	0.01560	Molecular Function
GO:0043204	perikaryon	3	1	0	1	0.0019	0.0019	Cellular Component
GO:0005634	nucleus	1596	3	1.02	2	0.0395	0.0395	Cellular Component
