GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0070085	glycosylation	63	6	1.08	1	0.0358	0.00065	Biological Process
GO:1905879	regulation of oogenesis	33	4	0.56	3	0.0022	0.00223	Biological Process
GO:0007298	border follicle cell migration	108	7	1.85	6	0.0023	0.00231	Biological Process
GO:0001510	RNA methylation	36	4	0.62	7	0.0031	0.00309	Biological Process
GO:0019991	septate junction assembly	38	4	0.65	11	0.0038	0.00377	Biological Process
GO:0006493	protein O-linked glycosylation	19	3	0.32	12	0.0038	0.00383	Biological Process
GO:0036297	interstrand cross-link repair	7	2	0.12	18	0.0057	0.00573	Biological Process
GO:0071897	DNA biosynthetic process	45	4	0.77	20	0.0070	0.00696	Biological Process
GO:0008049	male courtship behavior	46	4	0.79	22	0.0075	0.00752	Biological Process
GO:0042157	lipoprotein metabolic process	46	4	0.79	23	0.0075	0.00752	Biological Process
GO:0009312	oligosaccharide biosynthetic process	9	2	0.15	29	0.0096	0.00961	Biological Process
GO:0006301	postreplication repair	9	2	0.15	30	0.0096	0.00961	Biological Process
GO:0006661	phosphatidylinositol biosynthetic proces...	28	3	0.48	34	0.0116	0.01160	Biological Process
GO:0018193	peptidyl-amino acid modification	262	10	4.48	35	0.0133	0.01326	Biological Process
GO:0010883	regulation of lipid storage	30	3	0.51	36	0.0140	0.01403	Biological Process
GO:2000765	regulation of cytoplasmic translation	11	2	0.19	37	0.0144	0.01436	Biological Process
GO:0060099	regulation of phagocytosis, engulfment	1	1	0.02	42	0.0171	0.01708	Biological Process
GO:0046952	ketone body catabolic process	1	1	0.02	43	0.0171	0.01708	Biological Process
GO:0060100	positive regulation of phagocytosis, eng...	1	1	0.02	44	0.0171	0.01708	Biological Process
GO:1903515	calcium ion transport from cytosol to en...	1	1	0.02	45	0.0171	0.01708	Biological Process
GO:0010520	regulation of reciprocal meiotic recombi...	1	1	0.02	46	0.0171	0.01708	Biological Process
GO:0015825	L-serine transport	1	1	0.02	47	0.0171	0.01708	Biological Process
GO:1901896	positive regulation of ATPase-coupled ca...	1	1	0.02	48	0.0171	0.01708	Biological Process
GO:0030710	regulation of border follicle cell delam...	1	1	0.02	49	0.0171	0.01708	Biological Process
GO:0006311	meiotic gene conversion	1	1	0.02	50	0.0171	0.01708	Biological Process
GO:0110029	negative regulation of meiosis I	1	1	0.02	51	0.0171	0.01708	Biological Process
GO:0046341	CDP-diacylglycerol metabolic process	1	1	0.02	52	0.0171	0.01708	Biological Process
GO:0006477	protein sulfation	1	1	0.02	53	0.0171	0.01708	Biological Process
GO:0006478	peptidyl-tyrosine sulfation	1	1	0.02	54	0.0171	0.01708	Biological Process
GO:1901569	fatty acid derivative catabolic process	1	1	0.02	55	0.0171	0.01708	Biological Process
GO:0009405	pathogenesis	1	1	0.02	56	0.0171	0.01708	Biological Process
GO:0034477	U6 snRNA 3'-end processing	1	1	0.02	57	0.0171	0.01708	Biological Process
GO:1905153	regulation of membrane invagination	1	1	0.02	58	0.0171	0.01708	Biological Process
GO:1905155	positive regulation of membrane invagina...	1	1	0.02	59	0.0171	0.01708	Biological Process
GO:0016024	CDP-diacylglycerol biosynthetic process	1	1	0.02	60	0.0171	0.01708	Biological Process
GO:0010248	establishment or maintenance of transmem...	1	1	0.02	61	0.0171	0.01708	Biological Process
GO:0035822	gene conversion	1	1	0.02	62	0.0171	0.01708	Biological Process
GO:0032351	negative regulation of hormone metabolic...	1	1	0.02	63	0.0171	0.01708	Biological Process
GO:0032353	negative regulation of hormone biosynthe...	1	1	0.02	64	0.0171	0.01708	Biological Process
GO:0032329	serine transport	1	1	0.02	65	0.0171	0.01708	Biological Process
GO:0045128	negative regulation of reciprocal meioti...	1	1	0.02	66	0.0171	0.01708	Biological Process
