GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0005975	carbohydrate metabolic process	104	6	0.71	2	0.02705	6.2e-05	Biological Process
GO:0009058	biosynthetic process	1576	21	10.77	4	0.03657	0.00035	Biological Process
GO:0006265	DNA topological change	5	2	0.03	5	0.00045	0.00045	Biological Process
GO:0006024	glycosaminoglycan biosynthetic process	10	2	0.07	10	0.00197	0.00197	Biological Process
GO:0019991	septate junction assembly	38	3	0.26	11	0.00210	0.00210	Biological Process
GO:0009225	nucleotide-sugar metabolic process	11	2	0.08	12	0.00240	0.00240	Biological Process
GO:0015012	heparan sulfate proteoglycan biosyntheti...	13	2	0.09	17	0.00338	0.00338	Biological Process
GO:0045475	locomotor rhythm	53	3	0.36	25	0.00543	0.00543	Biological Process
GO:0006302	double-strand break repair	55	3	0.38	26	0.00603	0.00603	Biological Process
GO:0050768	negative regulation of neurogenesis	55	3	0.38	27	0.00603	0.00603	Biological Process
GO:2000672	negative regulation of motor neuron apop...	1	1	0.01	29	0.00683	0.00683	Biological Process
GO:0042732	D-xylose metabolic process	1	1	0.01	32	0.00683	0.00683	Biological Process
GO:0010248	establishment or maintenance of transmem...	1	1	0.01	33	0.00683	0.00683	Biological Process
GO:0002101	tRNA wobble cytosine modification	1	1	0.01	34	0.00683	0.00683	Biological Process
GO:0010738	regulation of protein kinase A signaling	1	1	0.01	37	0.00683	0.00683	Biological Process
GO:1904812	rRNA acetylation involved in maturation ...	1	1	0.01	38	0.00683	0.00683	Biological Process
GO:0032353	negative regulation of hormone biosynthe...	1	1	0.01	40	0.00683	0.00683	Biological Process
GO:0051391	tRNA acetylation	1	1	0.01	41	0.00683	0.00683	Biological Process
GO:0030710	regulation of border follicle cell delam...	1	1	0.01	42	0.00683	0.00683	Biological Process
GO:0006310	DNA recombination	59	3	0.4	44	0.00733	0.00733	Biological Process
GO:0044262	cellular carbohydrate metabolic process	61	3	0.42	45	0.00804	0.00804	Biological Process
GO:0016334	establishment or maintenance of polarity...	22	2	0.15	47	0.00963	0.00963	Biological Process
GO:0035282	segmentation	198	5	1.35	50	0.01041	0.01041	Biological Process
GO:0048589	developmental growth	278	6	1.9	51	0.01045	0.01045	Biological Process
GO:0016051	carbohydrate biosynthetic process	23	2	0.16	52	0.01050	0.01050	Biological Process
GO:0008285	negative regulation of cell population p...	68	3	0.46	53	0.01084	0.01084	Biological Process
GO:0006790	sulfur compound metabolic process	70	3	0.48	54	0.01173	0.01173	Biological Process
GO:0030714	anterior/posterior axis specification, f...	2	1	0.01	56	0.01362	0.01362	Biological Process
GO:0006011	UDP-glucose metabolic process	2	1	0.01	57	0.01362	0.01362	Biological Process
GO:0042276	error-prone translesion synthesis	2	1	0.01	58	0.01362	0.01362	Biological Process
GO:0001661	conditioned taste aversion	2	1	0.01	59	0.01362	0.01362	Biological Process
GO:0044264	cellular polysaccharide metabolic proces...	27	2	0.18	61	0.01432	0.01432	Biological Process
GO:0005976	polysaccharide metabolic process	27	2	0.18	62	0.01432	0.01432	Biological Process
GO:0035285	appendage segmentation	28	2	0.19	65	0.01535	0.01535	Biological Process
GO:0036011	imaginal disc-derived leg segmentation	28	2	0.19	66	0.01535	0.01535	Biological Process
GO:0031326	regulation of cellular biosynthetic proc...	810	11	5.54	67	0.03331	0.01602	Biological Process
GO:2000178	negative regulation of neural precursor ...	29	2	0.2	68	0.01642	0.01642	Biological Process
GO:0007406	negative regulation of neuroblast prolif...	29	2	0.2	69	0.01642	0.01642	Biological Process
GO:0009889	regulation of biosynthetic process	813	11	5.56	70	0.03408	0.01645	Biological Process
GO:0007405	neuroblast proliferation	80	3	0.55	72	0.01680	0.01680	Biological Process
GO:0061351	neural precursor cell proliferation	81	3	0.55	74	0.01737	0.01737	Biological Process
GO:0009266	response to temperature stimulus	84	3	0.57	79	0.01912	0.01912	Biological Process
GO:2000647	negative regulation of stem cell prolife...	32	2	0.22	81	0.01980	0.01980	Biological Process
GO:0043543	protein acylation	86	3	0.59	82	0.02035	0.02035	Biological Process
GO:0097120	receptor localization to synapse	3	1	0.02	83	0.02037	0.02037	Biological Process
GO:0070940	dephosphorylation of RNA polymerase II C...	3	1	0.02	84	0.02037	0.02037	Biological Process
GO:0006002	fructose 6-phosphate metabolic process	3	1	0.02	85	0.02037	0.02037	Biological Process
GO:0007175	negative regulation of epidermal growth ...	3	1	0.02	86	0.02037	0.02037	Biological Process
GO:0000724	double-strand break repair via homologou...	36	2	0.25	90	0.02473	0.02473	Biological Process
GO:0000725	recombinational repair	36	2	0.25	91	0.02473	0.02473	Biological Process
GO:0072089	stem cell proliferation	93	3	0.64	92	0.02498	0.02498	Biological Process
GO:0052128	positive energy taxis	4	1	0.03	94	0.02706	0.02706	Biological Process
GO:0046956	positive phototaxis	4	1	0.03	95	0.02706	0.02706	Biological Process
GO:0007176	regulation of epidermal growth factor-ac...	4	1	0.03	96	0.02706	0.02706	Biological Process
GO:0046710	GDP metabolic process	4	1	0.03	97	0.02706	0.02706	Biological Process
GO:0048149	behavioral response to ethanol	39	2	0.27	100	0.02872	0.02872	Biological Process
GO:0042127	regulation of cell population proliferat...	174	4	1.19	101	0.02973	0.02973	Biological Process
GO:0007424	open tracheal system development	175	4	1.2	102	0.03028	0.03028	Biological Process
GO:0040007	growth	353	6	2.41	103	0.03054	0.03054	Biological Process
GO:1902692	regulation of neuroblast proliferation	41	2	0.28	104	0.03151	0.03151	Biological Process
GO:0007474	imaginal disc-derived wing vein specific...	41	2	0.28	105	0.03151	0.03151	Biological Process
GO:0010556	regulation of macromolecule biosynthetic...	782	10	5.34	107	0.03247	0.03247	Biological Process
GO:0035151	regulation of tube size, open tracheal s...	42	2	0.29	108	0.03295	0.03295	Biological Process
GO:2000177	regulation of neural precursor cell prol...	42	2	0.29	109	0.03295	0.03295	Biological Process
GO:0032496	response to lipopolysaccharide	5	1	0.03	111	0.03372	0.03372	Biological Process
GO:0090308	regulation of DNA methylation-dependent ...	5	1	0.03	112	0.03372	0.03372	Biological Process
GO:0090309	positive regulation of DNA methylation-d...	5	1	0.03	113	0.03372	0.03372	Biological Process
GO:0051036	regulation of endosome size	5	1	0.03	114	0.03372	0.03372	Biological Process
GO:0016336	establishment or maintenance of polarity...	5	1	0.03	117	0.03372	0.03372	Biological Process
