GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0003916	DNA topoisomerase activity	3	2	0.02	2	0.01468	0.00017	Molecular Function
GO:0034483	heparan sulfate sulfotransferase activit...	4	2	0.03	3	0.02194	0.00033	Molecular Function
GO:0004114	3',5'-cyclic-nucleotide phosphodiesteras...	6	2	0.05	5	0.00082	0.00082	Molecular Function
GO:0004653	polypeptide N-acetylgalactosaminyltransf...	7	2	0.05	6	0.00115	0.00115	Molecular Function
GO:0003887	DNA-directed DNA polymerase activity	11	2	0.08	11	0.00295	0.00295	Molecular Function
GO:0003712	transcription coregulator activity	90	4	0.68	16	0.00445	0.00445	Molecular Function
GO:0005391	sodium:potassium-exchanging ATPase activ...	1	1	0.01	18	0.00760	0.00760	Molecular Function
GO:0015016	[heparan sulfate]-glucosamine N-sulfotra...	1	1	0.01	19	0.00760	0.00760	Molecular Function
GO:0003918	DNA topoisomerase type II (double strand...	1	1	0.01	20	0.00760	0.00760	Molecular Function
GO:1990883	rRNA cytidine N-acetyltransferase activi...	1	1	0.01	21	0.00760	0.00760	Molecular Function
GO:0051392	tRNA N-acetyltransferase activity	1	1	0.01	22	0.00760	0.00760	Molecular Function
GO:0045127	N-acetylglucosamine kinase activity	1	1	0.01	24	0.00760	0.00760	Molecular Function
GO:0003983	UTP:glucose-1-phosphate uridylyltransfer...	1	1	0.01	26	0.00760	0.00760	Molecular Function
GO:0030158	protein xylosyltransferase activity	1	1	0.01	27	0.00760	0.00760	Molecular Function
GO:0000182	rDNA binding	2	1	0.02	31	0.01515	0.01515	Molecular Function
GO:0035255	ionotropic glutamate receptor binding	2	1	0.02	32	0.01515	0.01515	Molecular Function
GO:0004360	glutamine-fructose-6-phosphate transamin...	2	1	0.02	33	0.01515	0.01515	Molecular Function
GO:0008467	[heparan sulfate]-glucosamine 3-sulfotra...	2	1	0.02	34	0.01515	0.01515	Molecular Function
GO:0070548	L-glutamine aminotransferase activity	2	1	0.02	35	0.01515	0.01515	Molecular Function
GO:0003696	satellite DNA binding	2	1	0.02	36	0.01515	0.01515	Molecular Function
GO:0016427	tRNA (cytosine) methyltransferase activi...	2	1	0.02	37	0.01515	0.01515	Molecular Function
GO:0001784	phosphotyrosine residue binding	2	1	0.02	38	0.01515	0.01515	Molecular Function
GO:0051879	Hsp90 protein binding	3	1	0.02	42	0.02264	0.02264	Molecular Function
GO:0035254	glutamate receptor binding	3	1	0.02	44	0.02264	0.02264	Molecular Function
GO:0030971	receptor tyrosine kinase binding	3	1	0.02	45	0.02264	0.02264	Molecular Function
GO:0003713	transcription coactivator activity	36	2	0.27	47	0.03004	0.03004	Molecular Function
GO:0008420	RNA polymerase II CTD heptapeptide repea...	4	1	0.03	48	0.03008	0.03008	Molecular Function
GO:1990782	protein tyrosine kinase binding	4	1	0.03	49	0.03008	0.03008	Molecular Function
GO:0030544	Hsp70 protein binding	4	1	0.03	50	0.03008	0.03008	Molecular Function
GO:0004385	guanylate kinase activity	4	1	0.03	51	0.03008	0.03008	Molecular Function
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activ...	4	1	0.03	52	0.03008	0.03008	Molecular Function
GO:0005154	epidermal growth factor receptor binding	5	1	0.04	53	0.03746	0.03746	Molecular Function
GO:0004535	poly(A)-specific ribonuclease activity	5	1	0.04	54	0.03746	0.03746	Molecular Function
GO:0045309	protein phosphorylated amino acid bindin...	5	1	0.04	55	0.03746	0.03746	Molecular Function
