GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0071704	organic substance metabolic process	3143	446	353.2	7	0.00842	1.6e-17	Biological Process
GO:0044238	primary metabolic process	2979	428	334.77	8	0.02073	4.0e-17	Biological Process
GO:1901135	carbohydrate derivative metabolic proces...	319	87	35.85	9	0.01070	1.9e-16	Biological Process
GO:0009451	RNA modification	73	29	8.2	21	0.02569	2.4e-10	Biological Process
GO:0031365	N-terminal protein amino acid modificati...	13	11	1.46	23	0.00500	2.1e-09	Biological Process
GO:0046483	heterocycle metabolic process	1644	249	184.75	24	0.00611	2.1e-09	Biological Process
GO:0006139	nucleobase-containing compound metabolic...	1598	242	179.58	27	0.01092	4.6e-09	Biological Process
GO:0006479	protein methylation	52	22	5.84	32	0.00279	9.3e-09	Biological Process
GO:0044281	small molecule metabolic process	508	98	57.09	33	0.01196	1.3e-08	Biological Process
GO:0006725	cellular aromatic compound metabolic pro...	1685	250	189.35	35	0.01496	1.7e-08	Biological Process
GO:1901360	organic cyclic compound metabolic proces...	1724	251	193.74	42	0.03131	1.1e-07	Biological Process
GO:0006474	N-terminal protein amino acid acetylatio...	9	8	1.01	45	0.00015	2.0e-07	Biological Process
GO:0031167	rRNA methylation	17	11	1.91	47	0.00145	2.2e-07	Biological Process
GO:0006400	tRNA modification	36	16	4.05	54	0.01043	4.5e-07	Biological Process
GO:0008654	phospholipid biosynthetic process	46	18	5.17	60	0.00554	8.6e-07	Biological Process
GO:0016571	histone methylation	47	17	5.28	67	0.03426	6.2e-06	Biological Process
GO:0006487	protein N-linked glycosylation	24	11	2.7	83	0.00790	2.1e-05	Biological Process
GO:0006790	sulfur compound metabolic process	70	20	7.87	91	0.01129	5.3e-05	Biological Process
GO:0009312	oligosaccharide biosynthetic process	9	6	1.01	97	0.00012	0.00012	Biological Process
GO:0019919	peptidyl-arginine methylation, to asymme...	4	4	0.45	102	0.00016	0.00016	Biological Process
GO:0016266	O-glycan processing	4	4	0.45	103	0.00016	0.00016	Biological Process
GO:0007406	negative regulation of neuroblast prolif...	29	11	3.26	104	0.00017	0.00017	Biological Process
GO:1901607	alpha-amino acid biosynthetic process	21	9	2.36	106	0.00023	0.00023	Biological Process
GO:0018279	protein N-linked glycosylation via aspar...	7	5	0.79	112	0.00031	0.00031	Biological Process
GO:0000413	protein peptidyl-prolyl isomerization	18	8	2.02	116	0.00038	0.00038	Biological Process
GO:0005975	carbohydrate metabolic process	104	24	11.69	117	0.01601	0.00039	Biological Process
GO:0017196	N-terminal peptidyl-methionine acetylati...	5	4	0.56	119	0.00072	0.00072	Biological Process
GO:0034227	tRNA thio-modification	5	4	0.56	120	0.00072	0.00072	Biological Process
