GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0003824	catalytic activity	1846	350	216.66	2	0.00413	< 1e-30	Molecular Function
GO:0016741	transferase activity, transferring one-c...	72	46	8.45	3	0.00065	3.5e-26	Molecular Function
GO:0008168	methyltransferase activity	69	44	8.1	4	0.01095	5.1e-25	Molecular Function
GO:0016757	transferase activity, transferring glyco...	74	44	8.69	5	0.03249	3.3e-23	Molecular Function
GO:0016758	transferase activity, transferring hexos...	64	38	7.51	7	0.00014	3.9e-20	Molecular Function
GO:0016779	nucleotidyltransferase activity	41	29	4.81	8	0.00711	1.0e-18	Molecular Function
GO:0016747	transferase activity, transferring acyl ...	80	37	9.39	9	0.03037	7.3e-15	Molecular Function
GO:0016746	transferase activity, transferring acyl ...	85	38	9.98	10	0.02534	1.2e-14	Molecular Function
GO:0008276	protein methyltransferase activity	25	19	2.93	11	0.00541	1.4e-13	Molecular Function
GO:0008170	N-methyltransferase activity	26	18	3.05	12	0.00081	8.5e-12	Molecular Function
GO:0008194	UDP-glycosyltransferase activity	36	21	4.23	13	0.00010	2.0e-11	Molecular Function
GO:0042054	histone methyltransferase activity	21	15	2.46	14	0.03644	2.5e-10	Molecular Function
GO:0016407	acetyltransferase activity	29	17	3.4	15	0.00117	1.6e-09	Molecular Function
GO:0016853	isomerase activity	63	26	7.39	16	0.01698	1.9e-09	Molecular Function
GO:0016410	N-acyltransferase activity	25	15	2.93	21	0.00793	9.6e-09	Molecular Function
GO:0016409	palmitoyltransferase activity	15	10	1.76	31	0.01296	7.9e-07	Molecular Function
GO:0008649	rRNA methyltransferase activity	13	9	1.53	33	0.00087	1.8e-06	Molecular Function
GO:0008146	sulfotransferase activity	8	7	0.94	35	0.00575	2.1e-06	Molecular Function
GO:0016860	intramolecular oxidoreductase activity	20	11	2.35	38	0.01694	3.3e-06	Molecular Function
GO:0018024	histone-lysine N-methyltransferase activ...	13	8	1.53	49	0.00179	2.6e-05	Molecular Function
GO:0008171	O-methyltransferase activity	9	6	1.06	53	0.02412	0.00016	Molecular Function
GO:0016763	transferase activity, transferring pento...	9	6	1.06	54	0.02412	0.00016	Molecular Function
GO:0035242	protein-arginine omega-N asymmetric meth...	4	4	0.47	55	0.00019	0.00019	Molecular Function
GO:0034483	heparan sulfate sulfotransferase activit...	4	4	0.47	56	0.00019	0.00019	Molecular Function
GO:0016765	transferase activity, transferring alkyl...	21	9	2.46	58	0.03086	0.00031	Molecular Function
GO:0004812	aminoacyl-tRNA ligase activity	35	12	4.11	60	0.00039	0.00039	Molecular Function
GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	18	8	2.11	62	0.00051	0.00051	Molecular Function
GO:0016433	rRNA (adenine) methyltransferase activit...	5	4	0.59	65	0.00085	0.00085	Molecular Function
GO:0004659	prenyltransferase activity	5	4	0.59	66	0.00085	0.00085	Molecular Function
GO:0035241	protein-arginine omega-N monomethyltrans...	3	3	0.35	67	0.00161	0.00161	Molecular Function
GO:0003916	DNA topoisomerase activity	3	3	0.35	68	0.00161	0.00161	Molecular Function
GO:0051998	protein carboxyl O-methyltransferase act...	3	3	0.35	69	0.00161	0.00161	Molecular Function
GO:0003839	gamma-glutamylcyclotransferase activity	3	3	0.35	70	0.00161	0.00161	Molecular Function
GO:0070567	cytidylyltransferase activity	3	3	0.35	71	0.00161	0.00161	Molecular Function
GO:0042285	xylosyltransferase activity	3	3	0.35	72	0.00161	0.00161	Molecular Function
GO:0051377	mannose-ethanolamine phosphotransferase ...	3	3	0.35	74	0.00161	0.00161	Molecular Function
