GO.ID	Term	Annotated	Significant	Expected	Rank.in.Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0007443	Malpighian tubule morphogenesis	32	4	0.36	1	0.0004	0.00040	Biological Process
GO:0007614	short-term memory	20	3	0.22	10	0.0013	0.00133	Biological Process
GO:0045732	positive regulation of protein catabolic...	44	4	0.49	13	0.0014	0.00138	Biological Process
GO:0000972	transcription-dependent tethering of RNA...	6	2	0.07	15	0.0018	0.00180	Biological Process
GO:0007560	imaginal disc morphogenesis	312	10	3.49	16	0.0021	0.00215	Biological Process
GO:0006405	RNA export from nucleus	59	4	0.66	26	0.0041	0.00408	Biological Process
GO:0035220	wing disc development	308	9	3.45	37	0.0067	0.00669	Biological Process
GO:1902531	regulation of intracellular signal trans...	254	8	2.84	38	0.0068	0.00685	Biological Process
GO:0035120	post-embryonic appendage morphogenesis	262	8	2.93	42	0.0082	0.00821	Biological Process
GO:0007265	Ras protein signal transduction	115	5	1.29	43	0.0089	0.00890	Biological Process
GO:2001252	positive regulation of chromosome organi...	39	3	0.44	44	0.0092	0.00916	Biological Process
GO:0035114	imaginal disc-derived appendage morphoge...	268	8	3	45	0.0094	0.00937	Biological Process
GO:0022417	protein maturation by protein folding	1	1	0.01	50	0.0112	0.01120	Biological Process
GO:0035024	negative regulation of Rho protein signa...	1	1	0.01	51	0.0112	0.01120	Biological Process
GO:0034397	telomere localization	1	1	0.01	52	0.0112	0.01120	Biological Process
GO:0034398	telomere tethering at nuclear periphery	1	1	0.01	53	0.0112	0.01120	Biological Process
GO:1903061	positive regulation of protein lipidatio...	1	1	0.01	54	0.0112	0.01120	Biological Process
GO:1903059	regulation of protein lipidation	1	1	0.01	55	0.0112	0.01120	Biological Process
GO:0000416	positive regulation of histone H3-K36 me...	1	1	0.01	56	0.0112	0.01120	Biological Process
GO:0050746	regulation of lipoprotein metabolic proc...	1	1	0.01	57	0.0112	0.01120	Biological Process
GO:0050747	positive regulation of lipoprotein metab...	1	1	0.01	58	0.0112	0.01120	Biological Process
GO:0042817	pyridoxal metabolic process	1	1	0.01	59	0.0112	0.01120	Biological Process
GO:0071311	cellular response to acetate	1	1	0.01	60	0.0112	0.01120	Biological Process
GO:0052312	modulation of transcription in other org...	1	1	0.01	61	0.0112	0.01120	Biological Process
GO:0019083	viral transcription	1	1	0.01	62	0.0112	0.01120	Biological Process
GO:0052472	modulation by host of symbiont transcrip...	1	1	0.01	63	0.0112	0.01120	Biological Process
GO:0032897	negative regulation of viral transcripti...	1	1	0.01	64	0.0112	0.01120	Biological Process
GO:0071444	cellular response to pheromone	1	1	0.01	65	0.0112	0.01120	Biological Process
GO:0030715	oocyte growth in germarium-derived egg c...	1	1	0.01	66	0.0112	0.01120	Biological Process
GO:0046782	regulation of viral transcription	1	1	0.01	67	0.0112	0.01120	Biological Process
GO:0043921	modulation by host of viral transcriptio...	1	1	0.01	68	0.0112	0.01120	Biological Process
GO:0043922	negative regulation by host of viral tra...	1	1	0.01	69	0.0112	0.01120	Biological Process
GO:0044793	negative regulation by host of viral pro...	1	1	0.01	70	0.0112	0.01120	Biological Process
GO:0010157	response to chlorate	1	1	0.01	71	0.0112	0.01120	Biological Process
GO:1902473	regulation of protein localization to sy...	1	1	0.01	72	0.0112	0.01120	Biological Process
GO:1902474	positive regulation of protein localizat...	1	1	0.01	73	0.0112	0.01120	Biological Process
GO:0032488	Cdc42 protein signal transduction	1	1	0.01	74	0.0112	0.01120	Biological Process
GO:0032489	regulation of Cdc42 protein signal trans...	1	1	0.01	75	0.0112	0.01120	Biological Process
GO:0010034	response to acetate	1	1	0.01	76	0.0112	0.01120	Biological Process
GO:1905936	regulation of germ cell proliferation	1	1	0.01	77	0.0112	0.01120	Biological Process
GO:1905938	positive regulation of germ cell prolife...	1	1	0.01	78	0.0112	0.01120	Biological Process
GO:1902683	regulation of receptor localization to s...	1	1	0.01	79	0.0112	0.01120	Biological Process
GO:1902685	positive regulation of receptor localiza...	1	1	0.01	80	0.0112	0.01120	Biological Process
GO:0007489	maintenance of imaginal histoblast diplo...	1	1	0.01	81	0.0112	0.01120	Biological Process
GO:0007476	imaginal disc-derived wing morphogenesis	223	7	2.5	84	0.0116	0.01160	Biological Process
GO:0031058	positive regulation of histone modificat...	15	2	0.17	86	0.0118	0.01179	Biological Process
GO:0051304	chromosome separation	44	3	0.49	88	0.0128	0.01277	Biological Process
GO:0007472	wing disc morphogenesis	228	7	2.55	89	0.0130	0.01300	Biological Process
GO:0042221	response to chemical	734	15	8.22	90	0.0131	0.01311	Biological Process
GO:0034605	cellular response to heat	16	2	0.18	91	0.0134	0.01338	Biological Process
GO:0030154	cell differentiation	1260	22	14.11	92	0.0145	0.01447	Biological Process
GO:0006476	protein deacetylation	17	2	0.19	93	0.0151	0.01506	Biological Process
GO:0016575	histone deacetylation	17	2	0.19	94	0.0151	0.01506	Biological Process
GO:0035023	regulation of Rho protein signal transdu...	18	2	0.2	95	0.0168	0.01682	Biological Process
GO:0048869	cellular developmental process	1293	22	14.48	101	0.0194	0.01945	Biological Process
GO:0007088	regulation of mitotic nuclear division	53	3	0.59	103	0.0210	0.02104	Biological Process
GO:0000349	generation of catalytic spliceosome for ...	2	1	0.02	104	0.0223	0.02228	Biological Process
GO:0035080	heat shock-mediated polytene chromosome ...	2	1	0.02	105	0.0223	0.02228	Biological Process
GO:0071733	transcriptional activation by promoter-e...	2	1	0.02	106	0.0223	0.02228	Biological Process
GO:0009115	xanthine catabolic process	2	1	0.02	107	0.0223	0.02228	Biological Process
GO:0046110	xanthine metabolic process	2	1	0.02	108	0.0223	0.02228	Biological Process
GO:0000414	regulation of histone H3-K36 methylation	2	1	0.02	109	0.0223	0.02228	Biological Process
GO:0070293	renal absorption	2	1	0.02	110	0.0223	0.02228	Biological Process
GO:0019080	viral gene expression	2	1	0.02	111	0.0223	0.02228	Biological Process
GO:0031063	regulation of histone deacetylation	2	1	0.02	112	0.0223	0.02228	Biological Process
GO:0031065	positive regulation of histone deacetyla...	2	1	0.02	113	0.0223	0.02228	Biological Process
GO:0032876	negative regulation of DNA endoreduplica...	2	1	0.02	114	0.0223	0.02228	Biological Process
GO:0090311	regulation of protein deacetylation	2	1	0.02	115	0.0223	0.02228	Biological Process
GO:0090312	positive regulation of protein deacetyla...	2	1	0.02	116	0.0223	0.02228	Biological Process
GO:0008295	spermidine biosynthetic process	2	1	0.02	117	0.0223	0.02228	Biological Process
GO:0044788	modulation by host of viral process	2	1	0.02	118	0.0223	0.02228	Biological Process
GO:0001555	oocyte growth	2	1	0.02	119	0.0223	0.02228	Biological Process
GO:0035821	modulation of process of other organism	2	1	0.02	120	0.0223	0.02228	Biological Process
GO:0055050	astral spindle assembly involved in male...	2	1	0.02	121	0.0223	0.02228	Biological Process
GO:0051702	interaction with symbiont	2	1	0.02	122	0.0223	0.02228	Biological Process
GO:0008216	spermidine metabolic process	2	1	0.02	123	0.0223	0.02228	Biological Process
GO:0097017	renal protein absorption	2	1	0.02	124	0.0223	0.02228	Biological Process
GO:0055049	astral spindle assembly	2	1	0.02	125	0.0223	0.02228	Biological Process
GO:0048668	collateral sprouting	2	1	0.02	126	0.0223	0.02228	Biological Process
GO:0051851	modulation by host of symbiont process	2	1	0.02	127	0.0223	0.02228	Biological Process
GO:0006145	purine nucleobase catabolic process	2	1	0.02	128	0.0223	0.02228	Biological Process
GO:0048674	collateral sprouting of injured axon	2	1	0.02	129	0.0223	0.02228	Biological Process
GO:0007499	ectoderm and mesoderm interaction	2	1	0.02	130	0.0223	0.02228	Biological Process
GO:0051817	modulation of process of other organism ...	2	1	0.02	131	0.0223	0.02228	Biological Process
GO:0035601	protein deacylation	21	2	0.24	132	0.0226	0.02259	Biological Process
GO:0050911	detection of chemical stimulus involved ...	21	2	0.24	133	0.0226	0.02259	Biological Process
GO:0031929	TOR signaling	55	3	0.62	134	0.0232	0.02319	Biological Process
GO:0098732	macromolecule deacylation	22	2	0.25	135	0.0247	0.02467	Biological Process
GO:0010035	response to inorganic substance	57	3	0.64	136	0.0255	0.02547	Biological Process
GO:0043279	response to alkaloid	23	2	0.26	137	0.0268	0.02683	Biological Process
GO:0051783	regulation of nuclear division	59	3	0.66	139	0.0279	0.02785	Biological Process
