GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.elim	Fisher.classic	Ontology
GO:0042062	long-term strengthening of neuromuscular...	2	1	0	1	0.0027	0.0027	Biological Process
GO:0048589	developmental growth	278	3	0.37	2	0.0357	0.0043	Biological Process
GO:0007026	negative regulation of microtubule depol...	4	1	0.01	3	0.0053	0.0053	Biological Process
GO:0071632	optomotor response	4	1	0.01	5	0.0053	0.0053	Biological Process
GO:0033363	secretory granule organization	8	1	0.01	11	0.0106	0.0106	Biological Process
GO:0045478	fusome organization	9	1	0.01	13	0.0119	0.0119	Biological Process
GO:0048790	maintenance of presynaptic active zone s...	9	1	0.01	14	0.0119	0.0119	Biological Process
GO:0099558	maintenance of synapse structure	9	1	0.01	15	0.0119	0.0119	Biological Process
GO:0010256	endomembrane system organization	137	2	0.18	16	0.0129	0.0129	Biological Process
GO:1990709	presynaptic active zone organization	13	1	0.02	22	0.0172	0.0172	Biological Process
GO:0030518	intracellular steroid hormone receptor s...	13	1	0.02	24	0.0172	0.0172	Biological Process
GO:0071383	cellular response to steroid hormone sti...	14	1	0.02	25	0.0185	0.0185	Biological Process
GO:0043401	steroid hormone mediated signaling pathw...	14	1	0.02	26	0.0185	0.0185	Biological Process
GO:0048545	response to steroid hormone	14	1	0.02	27	0.0185	0.0185	Biological Process
GO:0032940	secretion by cell	166	2	0.22	28	0.0187	0.0187	Biological Process
GO:0140352	export from cell	168	2	0.22	29	0.0191	0.0191	Biological Process
GO:0030727	germarium-derived female germ-line cyst ...	16	1	0.02	32	0.0211	0.0211	Biological Process
GO:0046903	secretion	177	2	0.24	34	0.0211	0.0211	Biological Process
GO:0048135	female germ-line cyst formation	17	1	0.02	35	0.0224	0.0224	Biological Process
GO:0034331	cell junction maintenance	18	1	0.02	37	0.0237	0.0237	Biological Process
GO:0016199	axon midline choice point recognition	18	1	0.02	38	0.0237	0.0237	Biological Process
GO:0016198	axon choice point recognition	19	1	0.03	39	0.0250	0.0250	Biological Process
GO:0007009	plasma membrane organization	21	1	0.03	43	0.0276	0.0276	Biological Process
GO:0006936	muscle contraction	22	1	0.03	44	0.0289	0.0289	Biological Process
GO:0048134	germ-line cyst formation	23	1	0.03	49	0.0302	0.0302	Biological Process
GO:0007294	germarium-derived oocyte fate determinat...	24	1	0.03	50	0.0315	0.0315	Biological Process
GO:0043954	cellular component maintenance	24	1	0.03	51	0.0315	0.0315	Biological Process
GO:0071396	cellular response to lipid	24	1	0.03	52	0.0315	0.0315	Biological Process
GO:0009755	hormone-mediated signaling pathway	26	1	0.03	54	0.0341	0.0341	Biological Process
GO:0051047	positive regulation of secretion	26	1	0.03	55	0.0341	0.0341	Biological Process
GO:0030706	germarium-derived oocyte differentiation	27	1	0.04	56	0.0353	0.0353	Biological Process
GO:0030522	intracellular receptor signaling pathway	28	1	0.04	57	0.0366	0.0366	Biological Process
GO:0071456	cellular response to hypoxia	28	1	0.04	58	0.0366	0.0366	Biological Process
GO:0036294	cellular response to decreased oxygen le...	29	1	0.04	60	0.0379	0.0379	Biological Process
GO:0030716	oocyte fate determination	30	1	0.04	62	0.0392	0.0392	Biological Process
GO:0071453	cellular response to oxygen levels	30	1	0.04	63	0.0392	0.0392	Biological Process
GO:0000077	DNA damage checkpoint	31	1	0.04	64	0.0405	0.0405	Biological Process
GO:0003012	muscle system process	31	1	0.04	65	0.0405	0.0405	Biological Process
GO:0072553	terminal button organization	32	1	0.04	67	0.0418	0.0418	Biological Process
GO:0008355	olfactory learning	34	1	0.05	68	0.0443	0.0443	Biological Process
GO:0031570	DNA integrity checkpoint	35	1	0.05	69	0.0456	0.0456	Biological Process
GO:0099172	presynapse organization	38	1	0.05	72	0.0494	0.0494	Biological Process
